forest_type,plot,fdis_abundrela,feve_abundrela,fdiv_abundrela
Foothills,F53P1,0.295926806,0.700019482,0.628331879
Foothills,F53P2,0.259375351,0.690658435,0.558769111
Foothills,F54P1,0.245863204,0.772420258,0.691022768
Foothills,F54P2,0.278144529,0.821699844,0.718210632
Foothills,F54P3,0.346348807,0.563688131,0.566720186
Foothills,F54P4,0.197412977,0.806444494,0.400947951
Foothills,F54P5,0.281701964,0.798465457,0.665924021
Foothills,F54P6,0.243581608,0.71106562,0.59243662
P.macroloba,F5P1,0.324295254,0.618143995,0.526602145
P.macroloba,F5P2,0.271715518,0.712188922,0.612874386
P.macroloba,F5P3,0.272740426,0.658592346,0.777421763
P.macroloba,F6P1,0.330461328,0.563613238,0.764081612
P.macroloba,F6P2,0.310287017,0.708825494,0.717070323
P.macroloba,F6P3,0.342903313,0.679313852,0.756539975
P.macroloba,F7P1,0.343645434,0.580685383,0.649868116
P.macroloba,F7P2,0.28153768,0.658784992,0.552691175
P.macroloba,F8P1,0.338691311,0.589386222,0.498806291
P.macroloba,F8P2,0.294845991,0.621167041,0.637583006
P.macroloba,F9P1,0.22140352,0.724824386,0.632784978
P.macroloba,F9P2,0.334444619,0.846919299,0.787744062
P.macroloba,F9P3,0.275197842,0.752893132,0.741119534
