"","fdis_areabasal_sp","feve_areabasal_sp","fdiv_areabasal_sp"
"F50P3",0.215212959453493,0.592927978222482,0.709688895771619
"F50P4",0.23866582754984,0.83979409222962,0.54173693571394
"F51P1",0.206439968822799,0.667602386694537,0.782734788302195
"F51P2",0.196164236482312,0.552847171454442,0.723742731049146
"F51P3",0.253471217778755,0.626671180109722,0.648328483230702
"F52P1",0.277542033640429,0.773415189904505,0.625617592449269
"F52P2",0.260270958499027,0.765254416314652,0.755744393831709
"F52P3",0.224194003585309,0.79159084793211,0.770463355981026
"F52P4",0.263989553939959,0.65197526480361,0.60478567134933
"F52P5",0.272284580654734,0.680007439780361,0.765996978275793
"F52P6",0.201357525001835,0.668832825388671,0.679460432244372
"F52P7",0.21002521564587,0.610529989166866,0.720839627573507
"F53P1",0.311826528889583,0.84975342268541,0.675200212582422
"F53P2",0.206671193569606,0.778037615208265,0.812285954917594
"F54P1",0.207089171695664,0.782743755993271,0.683282746016561
"F54P2",0.271726487746078,0.88151611061634,0.690870128300505
"F54P3",0.269154108804622,0.541572872770156,0.867896384165674
"F54P4",0.272363746179279,0.77037380987153,0.745399262355173
"F54P5",0.28732394479838,0.780360751412019,0.759832169667854
"F54P6",0.193339390185344,0.602683395031682,0.849101406049584
"F5P1",0.332697699924589,0.699954812893512,0.782044854505115
"F5P2",0.171936843863308,0.872785467217915,0.788715551183857
"F5P3",0.183935969823907,0.794953910923417,0.881159751502909
"F6P1",0.208322242461056,0.752097555171612,0.516188947850321
"F6P2",0.240518263005995,0.754483656281134,0.887182515260409
"F6P3",0.231329332922264,0.79437161830026,0.696244835136266
"F7P1",0.36244323079156,0.808885317419825,0.839908787092804
"F7P2",0.267873748223764,0.890876902449523,0.728670868067131
"F8P1",0.357394943173068,0.732813667061499,0.696243121318359
"F8P2",0.262138999311408,0.826205022115094,0.804207843012061
"F9P1",0.1397593020197,0.706643447190701,0.870543535693657
"F9P2",0.270906706872624,0.891456482520054,0.631153588827764
"F9P3",0.21374804337408,0.693751647060285,0.890589827994967
