plot,forest_type,longitude,latitude,cwm_af,cwm_afe,cwm_cfms,cwm_dm,cwm_n,cwm_p
F34P3,Foothills,-84.0806336,10.3135173,325357.536,14.3908,371.624,0.4756,22.776,1.1464
F34P4,Foothills,-84.0846711,10.3187463,169228.4608,14.88692308,348.8519231,0.409230769,25.28923077,1.255769231
F35P1,Foothills,-84.1650578,10.2855145,1383073.646,11.104,393.674,0.4195,19.33225,0.9655
F35P2,Foothills,-84.1730493,10.2882215,1404845.365,13.27969697,369.2878788,0.382727273,23.71484848,1.231212121
F36P1,Foothills,-84.1570649,10.3290489,993024.0015,12.09176471,412.2752941,0.497058824,20.62617647,1.105
F36P2,Foothills,-84.1589519,10.3308419,1669740.157,11.73434783,399.0026087,0.347173913,22.29065217,1.173043478
F37P1,P.macroloba,-84.0468537,10.4043607,1233986.71,12.20805556,425.395,0.430555556,23.64861111,1.038055556
F37P2,P.macroloba,-84.0512664,10.4162307,1007023.666,11.69744681,420.7434043,0.460212766,23.71425532,1.005957447
F37P3,P.macroloba,-84.0502667,10.418732,1224822.767,11.33921053,413.8797368,0.469736842,22.71368421,0.963684211
F37P4,P.macroloba,-84.0571824,10.4108581,1146572.886,11.86375,417.2325,0.48775,22.86125,1.0035
F38P1,P.macroloba,-84.098572,10.376008,978186.7221,14.44517241,381.1624138,0.390344828,25.15586207,1.18
F38P2,Foothills,-84.1013397,10.3676343,1225170.742,12.77026316,406.07,0.399736842,23.27947368,1.082894737
F38P3,Q.paraensis,-84.093436,10.3809823,993920.8639,10.09321429,446.7625,0.624642857,19.51071429,0.808214286
F38P4,P.macroloba,-84.0913523,10.3853795,396410.1471,13.73235294,401.8588235,0.525588235,25.03735294,1.137058824
F39P1,P.macroloba,-83.9960084,10.3313444,400179.4953,12.95605263,419.9502632,0.52,25.91342105,1.038947368
F39P2,P.macroloba,-83.9980687,10.3332305,445615.8919,15.09967742,401.1554839,0.476451613,28.05645161,1.21516129
F3P1,P.macroloba,-84.0363955,10.5839798,1274660.585,11.686,428.464,0.425,23.20333333,1.023666667
F3P2,P.macroloba,-84.0389963,10.5868753,974659.1443,11.595,430.4354545,0.45,24.75545455,1.031818182
F3P3,P.macroloba,-84.0434666,10.5870618,786984.3872,13.68641026,413.2292308,0.553589744,23.74153846,1.054615385
F3P4,P.macroloba,-84.0468366,10.5867776,1438180.271,10.9966,431.3308,0.439,22.2648,0.95
F40P1,P.macroloba,-83.9962286,10.343027,973012.576,13.0208,418.9892,0.428,23.926,1.0028
F40P2,P.macroloba,-83.9963695,10.3473148,816945.7367,12.09538462,426.4366667,0.496666667,22.11487179,0.909487179
F40P3,P.macroloba,-83.9986894,10.3524672,883936.3344,11.88296296,411.1848148,0.447777778,23.40814815,0.982592593
F40P4,P.macroloba,-84.0038574,10.3543243,1028152.824,12.9795,394,0.3755,24.846,1.1265
F41P1,Foothills,-84.0093151,10.2659814,54949.43429,16.59380952,385.7290476,0.486666667,24.52333333,1.134285714
F41P2,Foothills,-84.0134041,10.267491,531256.2439,11.93722222,428.5294444,0.484444444,21.71,0.955555556
F41P3,Foothills,-84.0143658,10.2640865,253122.5362,14.91230769,388.1619231,0.508076923,24.35653846,1.105
F41P4,Foothills,-84.0109991,10.2634054,714284.2874,13.9,398.7378261,0.486086957,20.7373913,1.02
F41P5,Foothills,-84.0083697,10.2695576,208666.8783,16.27,368.1929167,0.42,27.29416667,1.23625
F41P6,P.macroloba,-83.9952261,10.267953,233169.3248,13.8369697,422.0563636,0.506969697,26.61363636,1.128787879
F42P1,P.macroloba,-84.0107738,10.3472099,1164872.043,11.626,430.2216,0.5104,23.0396,1.0144
F42P2,P.macroloba,-84.0092627,10.3497784,1341669.721,12.13382353,420.8017647,0.484117647,23.215,1.072058824
F42P3,P.macroloba,-84.0050403,10.3498023,482601.9146,13.43076923,394.9319231,0.484230769,23.99346154,0.994230769
F42P4,Q.paraensis,-84.0077658,10.344184,980774.2475,10.90588235,426.3692157,0.549215686,21.54705882,0.977058824
F43P1,P.macroloba,-84.0015353,10.323204,455360.7257,12.44486486,428.0078378,0.514054054,24.27216216,1.069459459
F43P2,Q.paraensis,-84.008256,10.3241874,851307.9211,12.38085714,414.3274286,0.556285714,21.35371429,0.95
F43P3,P.macroloba,-83.9987572,10.324131,901479.0593,12.87204545,425.9381818,0.519090909,23.36522727,1.019318182
F44P1,Q.paraensis,-84.1155173,10.6638577,2037375.776,9.999555556,433.486,0.400888889,19.44977778,0.918888889
F44P2,Q.paraensis,-84.1127646,10.6662797,1672529.369,11.32557692,425.7257692,0.4625,22.36,1.068269231
F44P3,P.macroloba,-84.1107653,10.6536999,1335423.299,11.21433333,432.6185,0.4795,23.23916667,1.061666667
F44P4,P.macroloba,-84.1111978,10.6581828,1739621.542,10.93759259,436.6533333,0.419444444,20.96018519,0.942407407
F45P1,Q.paraensis,-84.0843067,10.7026788,1480755.856,11.1484375,421.4798438,0.45625,21.44734375,0.97265625
F45P2,P.macroloba,-84.0823594,10.700078,1416374.147,11.79294118,419.9217647,0.428431373,22.68078431,1.050588235
F46P1,Q.paraensis,-84.0719112,10.7516056,1158025.46,10.51820513,423.1533333,0.561025641,20.07384615,0.887435897
F46P2,Q.paraensis,-84.0690556,10.7494203,1992441.561,10.4998,431.4936,0.4596,20.8544,1.0148
F47P1,P.macroloba,-84.0511006,10.7091117,1223139.175,11.61087719,426.1591228,0.443508772,22.10070175,0.97877193
F47P2,Q.paraensis,-84.0470962,10.7077556,1637929.25,10.37530612,440.1381633,0.503877551,20.48183673,0.984489796
F47P3,Q.paraensis,-84.0467599,10.7113552,1637262.205,10.49823529,431.7639216,0.427843137,21.20039216,0.968039216
F48P1,Q.paraensis,-84.0353032,10.6904144,805986.3978,10.63459459,425.4359459,0.523513514,22.15351351,0.921351351
F48P2,P.macroloba,-84.0381514,10.6904685,1007956.646,11.91895833,436.2585417,0.507291667,23.0575,1.023333333
F49P1,P.macroloba,-84.1005513,10.6399875,1571739.317,11.06428571,427.4284127,0.386190476,23.05380952,1.034603175
F49P2,P.macroloba,-84.1039852,10.6388814,1630182.669,11.45283333,423.84,0.409,20.71816667,0.985333333
F49P3,P.macroloba,-84.1027717,10.6359353,1573627.383,11.42769231,428.2026923,0.426538462,22.62653846,1.019038462
F4P1,P.macroloba,-84.039014,10.5296889,1845739.064,10.60659574,432.6882979,0.336808511,22.34851064,0.948510638
F4P2,P.macroloba,-84.0355138,10.531299,1648512.928,11.55788462,420.7325,0.384423077,22.22692308,1.04
F50P1,Q.paraensis,-84.0064314,10.6851905,1467561.195,11.12918367,425.2285714,0.45755102,21.64979592,0.983469388
