"","plot","feve_sp","fdiv_sp","fdis_sp"
"100","F52P1",0.728847917795236,0.685381057692374,0.278386970852719
"101","F52P2",0.69313692622936,0.657547366372268,0.260119991132274
"102","F52P3",0.622672215986593,0.559709923619289,0.254698808255365
"103","F52P4",0.743464555290599,0.664570449485068,0.293446214523726
"104","F52P5",0.474301691385796,0.703567583882524,0.169351767163531
"105","F52P6",0.5625,0.760242782761353,0.183274099716884
"106","F52P7",0.475023750230159,0.552140338985976,0.249642200119832
"107","F53P1",0.857878780583954,0.73258445707371,0.313920782158164
"108","F53P2",0.907132164506777,0.671455923222341,0.31678965871938
"109","F54P1",0.721149421181582,0.794617864085218,0.217434218201137
"110","F54P2",0.657114554459793,0.735098551045928,0.247797341475717
"111","F54P3",0.641705229910638,0.701500643770177,0.365665424686933
"112","F54P4",0.857213811939935,0.634861136146105,0.257119722423194
"113","F54P5",0.64533828592535,0.763568694764296,0.292594003195636
"114","F54P6",0.63281079446792,0.594452042371728,0.250358793884349
"115","F5P1",0.562785439868618,0.560647867281304,0.269426561416354
"116","F5P2",0.842919368869201,0.624873325422521,0.240012191130107
"117","F5P3",0.64568223697895,0.726942810056262,0.210555160618079
"118","F6P1",0.447845533849567,0.850406033913995,0.259001489607307
"119","F6P2",0.549620942427188,0.502061189296208,0.303487711560004
"120","F6P3",0.849261371331671,0.70055695453158,0.30212496362199
"121","F7P1",0.651225162744715,0.507194497947513,0.352428468132097
"122","F7P2",0.701770679033626,0.528648128174678,0.294961918771279
"123","F8P1",0.698581363205063,0.589189369218725,0.24363933407288
"124","F8P2",0.76498448436844,0.532928723309795,0.151928518193588
"125","F9P1",0.536211096930956,0.453140909926276,0.205005660821335
"126","F9P2",0.615530671390978,0.459040021731044,0.323949032370702
"127","F9P3",0.36321244893978,0.429677478412608,0.177558492887285
