"","plot","feve_sp","fdiv_sp","fdis_sp"
"1","F10P1",0.708740745488566,0.879333927483217,0.318910864731959
"2","F10P2",0.534848614842803,0.569433510500685,0.297233321905856
"3","F10P3",0.596029751504125,0.469130622230599,0.274366479443342
"4","F10P4",0.641157931923071,0.783993484299448,0.234617209570048
"5","F11P1",0.578868834960543,0.645723886882993,0.212881929860273
"6","F11P2",0.480220952891111,0.633247523435695,0.190722397680128
"7","F11P3",0.653856510085203,0.690980305182104,0.28003309822282
"8","F12P1",0.639468601410765,0.808592727931012,0.174751768317041
"9","F12P2",0.433622015777447,0.632864650499782,0.238187502972765
"10","F12P3",0.520424650780268,0.40570276710976,0.270118903633158
"11","F12P4",0.506467572495279,0.453249738831097,0.27091528765709
"12","F13P1",0.710704298962954,0.65624087403188,0.226136058558366
"13","F13P2",0.538027528792333,0.782054271698752,0.20327284080319
"14","F13P3",0.640318385849272,0.619018119510504,0.188090603409248
"15","F13P4",0.412278327455727,0.658026232664819,0.26523472899385
"16","F1P1",0.774591754515569,0.962067690598646,0.207470885806274
"17","F1P2",0.708515575739572,0.69021419845779,0.210901582750187
"18","F1P3",0.810000393026853,0.510779359926974,0.334704468372057
"19","F1P4",0.51754676207983,0.440005494214321,0.255650367171146
"20","F2P1",0.79815729248892,0.621197763099463,0.283656812304614
"21","F2P2",0.829326820903533,0.556056499030026,0.228569102200715
"22","F2P3",0.548543455864437,0.539069660105125,0.295525236538
"23","F30P1",0.554554263491963,0.582647372710833,0.26367040518323
"24","F30P2",0.62731021113896,0.597145708853247,0.315724096670665
"25","F30P3",0.485628216936665,0.47671521009697,0.266796104376172
"26","F30P4",0.67659083436344,0.544650404745216,0.306726943583148
"27","F31P1",0.608649313173199,0.824843868656555,0.215525505111591
"28","F31P2",0.521961782316062,0.575471739760777,0.27367211611912
"29","F32P1",0.454545454545455,0.612886914512743,0.279941116301564
"30","F32P2",0.545454545454545,0.69169022712516,0.251335601190743
"31","F32P3",0.521079787317978,0.595596753124264,0.271811738571274
"32","F33P1",0.461538461538462,0.896806335123628,0.173473887465701
"33","F33P2",0.584024297052582,0.59998982180079,0.301207289517967
"34","F33P3",0.765231928801738,0.513992260021047,0.322826524416946
"35","F33P4",0.712997789337899,0.636236910110555,0.240674404325889
