forest_type,plot,fdis_abundrela_sp,feve_abundrela_sp,fdiv_abundrela_sp
Q.paraensis,F52P7,0.249053936,0.642843175,0.705866471
Foothills,F53P1,0.316641357,0.863300086,0.728640438
Foothills,F53P2,0.316849326,0.947625571,0.716338652
Foothills,F54P1,0.230318115,0.794541061,0.770183907
Foothills,F54P2,0.247674044,0.854709821,0.785111904
Foothills,F54P3,0.365222009,0.740524747,0.719259063
Foothills,F54P4,0.258679539,0.856532463,0.638730296
Foothills,F54P5,0.288188075,0.795125427,0.698888762
Foothills,F54P6,0.239605591,0.727863057,0.679268624
P.macroloba,F5P1,0.270245545,0.729232095,0.569599249
P.macroloba,F5P2,0.241805469,0.830750986,0.74677041
P.macroloba,F5P3,0.213096903,0.702590507,0.845991197
P.macroloba,F6P1,0.258874266,0.648493804,0.877669345
P.macroloba,F6P2,0.305051308,0.804854406,0.783346477
P.macroloba,F6P3,0.302094355,0.848837225,0.841119462
P.macroloba,F7P1,0.347431381,0.715686343,0.683412919
P.macroloba,F7P2,0.295659947,0.80418416,0.717376019
P.macroloba,F8P1,0.24373774,0.697740103,0.584354114
P.macroloba,F8P2,0.151725122,0.640053537,0.635189943
P.macroloba,F9P1,0.205006477,0.701281919,0.630248139
P.macroloba,F9P2,0.324177173,0.846251466,0.800575124
P.macroloba,F9P3,0.177584554,0.701957174,0.792746141
