PCNM8,PCNM7,PCNM5,PCNM6,PCNM40,PCNM4,CLAY,TEMP,PRECDRIEST,ELEV,redundancy
0.044920629,0.04800896,0.051609051,0.016978176,0.005252365,-0.043984908,-1.028537398,0.289282637,0.692306771,-0.155968526,-0.158996431
-0.018038852,0.097923318,0.032777342,0.0248081,-0.002621813,-0.031186779,0.30355219,0.289282637,0.692306771,-0.206134907,1.035314194
-0.066613449,0.024069264,-0.035767174,-0.043357701,-0.001869305,0.026045777,0.424695296,0.289282637,1.028240276,-0.159827478,0.879985954
-0.056903299,-0.044638297,-0.04304004,-0.077082983,-0.005954104,0.035950719,0.424695296,0.289282637,1.028240276,-0.101943192,0.993215848
0.063776261,0.054391416,-0.00560127,0.085924392,2.55E-05,0.048752182,1.253314138,0.738413382,-0.223875514,-0.796554627,-0.820987894
0.066614302,0.05567452,-0.003358609,0.077219168,5.71E-05,0.057443621,1.059485169,0.738413382,-0.223875514,-0.796554627,-0.515318713
-0.048886793,0.087141938,0.028245354,0.101926877,5.31E-05,0.102054594,1.059485169,0.738413382,-0.223875514,-0.703939769,0.055904534
-0.07896188,0.091233244,0.038494524,0.10910854,-0.000341998,0.113309298,1.059485169,0.738413382,0.264755038,-0.437672052,-0.849841422
-0.082101249,-0.007551924,-0.050237595,-0.063921573,0.003944744,0.034511482,-0.059877126,0.468934935,1.058779685,-0.360493004,-0.227339238
-0.082426966,-0.007544213,-0.050593758,-0.064183665,0.008401873,0.034596515,0.30355219,0.468934935,1.058779685,-0.360493004,0.178512387
-0.05839412,-0.044573277,-0.044650947,-0.078258658,0.006097054,0.036342238,0.667466079,0.468934935,1.058779685,-0.437672052,-0.049624229
-0.098830965,-0.006162937,-0.056096469,-0.060060887,0.00221229,0.046640318,0.788124612,0.468934935,1.028240276,-0.360493004,-0.331319255
0.100365336,-0.047980148,0.052268864,0.060404351,0.003387521,0.036944831,-1.51310982,-0.519152704,0.845003819,0.924538151,2.159678869
0.071644044,-0.114456524,0.024720691,0.019545653,-0.002625629,0.054415068,-1.852310515,-0.698805002,0.845003819,1.0017172,0.903671328
0.071868749,-0.1144745,0.024846626,0.019636046,-0.005582778,0.054312961,-1.610024304,-0.698805002,0.845003819,1.171511106,1.534485825
0.085962906,-0.082251658,0.038654755,0.039427435,0.002752959,0.045723306,-1.416195335,-0.698805002,0.783925,1.059601486,0.552210235
0.100147027,-0.047917096,0.052147142,0.060335227,0.006455282,0.037034624,-1.537338441,-0.519152704,0.845003819,0.74702634,1.69000276
0.04191089,0.047258773,0.064966994,0.044705156,7.68E-05,-0.015588075,-0.205248853,-0.159848108,0.783925,0.349554241,1.413612614
-0.046800372,0.041787027,-0.04837587,-0.022456481,-0.001550778,0.046757343,0.037037358,0.289282637,1.028240276,-0.202275955,-0.272561274
-0.096523238,0.042305997,-0.055528704,-0.031345967,0.001894565,0.048576083,0.400466675,0.468934935,1.028240276,-0.237006526,-0.390359104
-0.028942826,-0.076213646,-0.035663179,-0.086836654,0.00667593,0.036599956,0.400466675,0.468934935,1.028240276,-0.283313955,0.877191125
-0.027848667,-0.076782025,-0.035301518,-0.086244279,0.001209261,0.036842024,-1.149680503,0.289282637,1.028240276,-0.260160241,-0.011526896
-0.02743963,-0.075800987,-0.033298633,-0.085393455,-0.008153674,0.035679574,-0.205248853,-0.070021959,1.058779685,0.15660662,0.8732206
-0.026016339,-0.077043748,-0.033636017,-0.084874817,-0.012023002,0.036519389,-1.052766019,-0.070021959,1.119858504,0.349554241,0.279181806
-0.02524101,-0.029056571,-0.02489136,-0.060546923,-0.000880718,0.027914611,-0.205248853,0.109630339,1.058779685,0.083286524,0.126131769
0.007611457,-0.001650384,0.019252621,-0.072044118,-0.005053979,0.105945537,1.127325308,0.648587233,-1.170597208,-0.78497777,-0.83952977
0.019410444,0.007187906,0.019626065,-0.061224434,-4.12E-05,0.110523003,0.642752886,0.648587233,-1.170597208,-0.746388245,-0.342339563
0.031885964,0.017350916,0.019334612,-0.049171408,-0.000938095,0.114269153,0.52160978,0.648587233,-1.017900161,-0.78497777,-0.541917417
0.031687072,0.016954968,0.019328833,-0.049171657,0.00037528,0.11424833,1.00569763,0.648587233,-1.07897898,-0.78497777,-0.781625673
0.042529078,-0.063858371,0.115969589,-0.088582902,0.001846774,0.130446456,0.982438154,0.558761084,-0.987360751,-0.746388245,-0.519954509
0.042482876,-0.064079855,0.116070785,-0.088199118,-0.00194972,0.130467877,0.496896587,0.558761084,-0.987360751,-0.746388245,-0.665231778
-0.050703886,-0.151933586,0.136273313,-0.021420213,0.007726225,0.115436765,0.618524265,0.558761084,-1.07897898,-0.823567294,-0.193862253
-0.050482593,-0.152248526,0.136341164,-0.020919726,0.008437482,0.115381788,0.73966737,0.558761084,-0.987360751,-0.823567294,-0.395404187
-0.118674456,-0.08247487,0.116239463,0.010143686,-0.007332968,0.125301808,1.224239792,0.558761084,-0.743045475,-0.746388245,-0.587985101
-0.118445368,-0.082554882,0.116048398,0.010923274,-0.005368087,0.124863664,0.73966737,0.558761084,-0.743045475,-0.746388245,-0.465284874
-0.118296588,-0.082851536,0.116063533,0.01086496,-0.003470896,0.124729585,0.860810476,0.558761084,-0.743045475,-0.746388245,-0.836667978
-0.027966083,-0.050380163,0.071103654,0.023944942,1.92E-05,0.072184508,0.860810476,0.558761084,-0.559809018,-0.823567294,0.330936778
-0.064753306,-0.072464067,0.085298038,0.004479701,0.000249633,0.095993994,0.497381159,0.558761084,-0.590348428,-0.823567294,-0.192095443
-0.042510178,0.125731903,0.033120001,-0.061035698,-0.002732417,0.138492675,0.73966737,0.648587233,-0.926281932,-0.78497777,-0.95148129
-0.041353121,0.126078858,0.032590465,-0.0614028,0.00252392,0.138143364,0.860810476,0.648587233,-0.926281932,-0.750247198,-0.614375979
-0.041632367,0.126337755,0.032660457,-0.061201906,0.000195479,0.138212049,0.860810476,0.648587233,-0.865203113,-0.746388245,-0.710468335
-0.188863879,0.2112876,-0.108995237,0.105783595,3.06E-05,0.074960722,0.788124612,0.738413382,0.050979172,-0.862156818,-1.630051667
-0.175626014,0.204116035,-0.123390188,0.087314422,-8.16E-05,0.063906849,0.981469009,0.738413382,-0.010099647,-0.823567294,-0.779098237
0.10810236,-0.13808751,0.019753967,0.059744381,0.006235981,-0.038356199,-0.592422218,0.558761084,-0.284954333,-0.823567294,-0.588868181
0.108687178,-0.137602566,0.019302651,0.059807829,-0.000590229,-0.038687379,0.981953581,0.558761084,-0.254414923,-0.839003104,-0.285070163
0.109643644,-0.137602966,0.018879023,0.059544484,-0.005795101,-0.039253471,0.73966737,0.558761084,-0.193336104,-0.823567294,-0.569955963
0.094404761,-0.115895352,-0.001627653,0.084180692,0.004938961,-0.058733556,0.860810476,0.558761084,-0.162796695,-0.842862056,-1.139808659
-0.017619294,-0.076694349,0.022571941,-0.094240192,-0.001172757,0.086016741,0.497865732,0.558761084,-1.353833665,-0.746388245,-0.470062104
-0.017605228,-0.076768389,0.02241027,-0.09401666,0.001175388,0.085820449,1.345382898,0.558761084,-1.353833665,-0.750247198,-0.130805683
-0.023542957,-0.085629741,0.029159398,-0.090826485,0.000285305,0.091351672,1.103096687,0.558761084,-1.414912484,-0.746388245,-0.661672168
0.102525996,-0.068379205,-0.013069636,0.01848035,4.42E-06,0.064569817,-1.440423957,-0.698805002,1.272555552,0.87437177,1.397248622
0.105512935,-0.059045909,-0.00301414,0.024627892,4.10E-05,0.060340894,-0.108334368,-0.698805002,1.272555552,0.920679199,2.149391534
0.024320548,-0.004258402,-0.044668071,0.039469017,-0.005731117,0.079717223,0.134436415,-0.159848108,1.089319095,0.334118431,0.025393769
0.024678916,-0.004305698,-0.044478751,0.039515488,-0.008083394,0.079558186,0.133951843,-0.159848108,1.089319095,0.357272146,-0.215747501
0.058573557,-0.038919146,-0.033523251,0.027176947,0.001066093,0.074706629,-0.714049896,-0.159848108,1.180937323,0.480758623,0.240198035
0.094643892,-0.074518454,-0.023967021,0.012291678,-0.005964334,0.069150243,-0.350620579,-0.339500406,1.180937323,0.565655576,1.03631364
0.023838824,-0.004449202,-0.044933676,0.039275309,-0.002560157,0.079976423,-0.350136007,0.109630339,1.089319095,0.334118431,-0.11683306
-0.001163316,0.070099259,0.121196099,0.043707871,-0.00345091,-0.068140335,-1.319280851,-1.147935747,-0.010099647,1.264125964,-0.280849677
-0.001291678,0.069565598,0.121081517,0.04339361,-0.004324857,-0.067954425,-1.198137745,-1.597066492,-0.010099647,1.43391987,-0.525325606
-0.001923361,0.06769155,0.120554762,0.042164754,-0.004230228,-0.067271221,-1.682710168,-1.956371088,-0.162796695,1.80052035,0.551531682
-0.001841536,0.068153058,0.120688171,0.042409473,-0.00306592,-0.067417429,-1.319280851,-1.686892641,-0.162796695,1.723341302,0.53404021
0.017706589,0.056103129,0.119723076,0.044666228,-2.97E-05,-0.062327304,-1.803853273,-2.046197237,-0.346033152,1.970314256,-0.165279453
0.037160788,0.044044036,0.118391599,0.046984053,0.000115454,-0.057427471,-2.046139484,-1.77671879,-0.43765138,1.985750066,-0.322547304
-0.001920339,0.069527509,0.120939337,0.042905477,0.005899543,-0.067785333,-1.440423957,-1.237761896,0.050979172,1.183087963,0.83582453
-0.001994704,0.069705085,0.120936729,0.042923975,0.008163256,-0.067820487,-1.198137745,-1.237761896,0.234215629,1.426201965,0.1954253
-0.167740961,0.068432844,-0.207031746,-0.24224034,-0.000179128,-0.095827189,0.439232469,0.828239532,0.509070314,-0.78497777,-0.54828959
-0.164416796,0.072331777,-0.212386364,-0.240684574,-0.005688542,-0.084758167,0.439232469,0.828239532,0.509070314,-0.78497777,-0.234547049
-0.157026826,0.080264642,-0.206731473,-0.234496017,0.00554564,-0.085677858,0.633061437,0.828239532,0.509070314,-0.78497777,0.402681009
0.024624048,0.225740361,0.145198256,0.134218061,0.0003818,-0.128728083,-0.762022566,-0.070021959,0.631227952,0.168183477,-0.745102421
0.077351787,0.202697698,0.157278853,0.149519789,-1.43E-05,-0.119861426,0.30355219,-0.159848108,0.631227952,0.256939383,-0.231655911
0.076541029,0.188234437,0.155700168,0.140694034,3.98E-05,-0.112648825,0.788609185,-0.159848108,0.631227952,0.233785668,-0.098255477
0.021757309,0.1964552,-0.028087241,0.173578548,0.002652925,0.049570671,0.032191634,0.738413382,0.600688543,-0.669209197,-0.792221515
0.069843988,0.209779302,-0.028317105,0.16670271,2.78E-05,0.048240857,0.32341966,0.738413382,0.600688543,-0.669209197,-0.886291279
0.13739455,0.148262309,-0.085330606,-0.033937136,0.000591093,-0.011588863,1.582338812,0.738413382,-0.926281932,-0.669209197,-1.32446695
0.137430676,0.148298629,-0.0854177,-0.033922934,-0.000264945,-0.011547293,1.388994416,0.738413382,-0.926281932,-0.707798721,-1.025806243
-0.070277292,-0.008134765,0.014507304,0.033275323,-0.000317423,-0.079472776,1.195165447,0.738413382,-1.934082446,-0.707798721,1.578985253
-0.10656663,-0.036173369,0.005842515,0.067423963,9.09E-07,-0.088716866,1.4859089,0.738413382,-1.934082446,-0.707798721,1.22368943
-0.070276516,-0.008134532,0.014507285,0.03327496,-0.000317429,-0.079472528,0.710593025,0.738413382,-1.934082446,-0.707798721,-0.501776958
