PCNM8,PCNM35,PCNM9,PCNM6,PCNM10,PCNM15,PCNM13,PCNM7,PCNM3,TEMP,TEMPSD,Mg,CLAY,ELEV,fdis
0.155634444,0.037633395,-0.021122871,-0.0785943,-0.033134008,0.157713224,0.126310996,0.123417465,-0.142599927,0.289282637,0.166030508,1.434303459,-0.122871541,-0.464684719,0.866664923
0.142424162,-0.033469131,-0.007987587,-0.101634871,-0.023733464,0.130512702,0.047025119,0.088007126,-0.142646304,-0.070021959,-0.078396167,0.006620968,0.265270969,-0.098084239,0.77680932
0.142533033,-0.034028318,-0.007200172,-0.100911722,-0.023661863,0.130111326,0.046699263,0.088067425,-0.142666635,0.01980419,0.003079391,3.481348207,-0.607443963,-0.256301289,0.990087005
0.142522953,-0.034116336,-0.007213059,-0.100853678,-0.023540974,0.130280168,0.046725561,0.087994056,-0.142723533,0.109630339,0.003079391,2.547055989,-0.025957057,-0.128955859,0.524112245
0.006059162,0.006059117,0.001754342,0.093784639,0.063157573,0.169966695,0.040378165,-0.075530553,-0.157560345,0.648587233,-0.257642396,-0.171839343,0.8656562,-0.823567294,1.150265177
0.006172011,0.00606797,0.001787884,0.093718453,0.06312398,0.170018939,0.040385258,-0.07545406,-0.15759371,0.648587233,-0.159871726,-0.003876697,0.8656562,-0.808131484,1.160882272
0.004530185,0.006462071,0.002566352,0.095542498,0.062974733,0.167783239,0.040067313,-0.076331617,-0.157209162,0.648587233,-0.502069071,-0.329304324,0.768741716,-0.823567294,1.245231015
-0.015330348,-0.008906118,0.05360638,0.066245197,0.040023545,-0.103486666,-0.031584445,-0.009912774,-0.162945734,0.738413382,-0.143576614,-0.22432767,0.8656562,-0.746388245,0.653361765
-0.014695224,-0.009013649,0.053735536,0.065539587,0.039782898,-0.103854003,-0.031749063,-0.009217774,-0.163075527,0.648587233,0.214915843,-0.255820666,1.059485169,-0.746388245,0.990947148
-0.014857894,-0.00913966,0.053426868,0.065449313,0.039997109,-0.103642161,-0.031725384,-0.009377874,-0.163041395,0.648587233,-0.143576614,-0.203332339,1.253314138,-0.746388245,0.784574182
-0.014058229,-0.009296006,0.053546588,0.064523101,0.039700403,-0.104078177,-0.031930363,-0.008499298,-0.163187189,0.648587233,0.214915843,-0.308308993,0.671827231,-0.746388245,1.118489993
-0.170952196,0.012951355,0.029655548,0.233606834,0.065618445,-0.048145818,-0.001290246,-0.161027459,-0.080223701,0.109630339,-0.355413066,0.174583614,0.284169294,-0.206134907,1.623435992
-0.17096657,0.012720397,0.029858189,0.233871119,0.065955718,-0.048088652,-0.001325344,-0.161167767,-0.08043906,0.199456488,-0.502069071,0.930415521,-0.006089587,-0.345057194,1.668453034
-0.170861876,0.013314744,0.029279315,0.233056505,0.064980038,-0.048250414,-0.001233406,-0.160713171,-0.079821342,0.109630339,-0.355413066,-0.108853351,0.574912747,-0.5148511,1.251487901
-0.191169545,-0.006868005,-0.012189374,0.243026667,-0.070208879,-0.050496322,-0.010400638,-0.167047733,-0.080600928,0.648587233,-0.029510832,0.090602291,0.788124612,-0.719375579,0.84955353
0.204028706,-0.021674783,-0.069069184,-0.08295163,-0.005921777,-0.084902816,0.024853191,-0.061874443,0.129384334,0.648587233,-0.127281502,5.38142564,0.100031773,-0.823567294,-2.920916592
0.156140346,0.067529938,0.002724287,-0.052922917,0.007688533,-0.033965863,-0.003837137,-0.021370273,0.152671469,0.648587233,-0.127281502,5.171472333,0.196946258,-0.823567294,-2.51715628
0.203685691,-0.021476157,-0.069209937,-0.083197584,-0.00593904,-0.085131579,0.024636787,-0.061688556,0.129295136,0.648587233,-0.127281502,3.628315523,-0.142254438,-0.823567294,-2.372839779
0.203382346,-0.021269975,-0.069319,-0.083419791,-0.005961162,-0.08534478,0.024458118,-0.061518268,0.129236211,0.648587233,0.214915843,5.181969998,-0.258551819,-0.823567294,-2.035031143
0.092451516,0.011143169,0.046792799,-0.020339862,0.038116562,0.044902013,-0.041635735,0.017855368,0.174923597,0.648587233,-0.371708178,-0.171839343,1.253314138,-0.823567294,0.392919928
0.092616652,0.010943564,0.047043584,-0.020016983,0.038158308,0.045210164,-0.041583339,0.017706968,0.175000705,0.648587233,0.100850061,-0.297811327,0.8656562,-0.823567294,1.060131974
0.092933919,0.010761988,0.04638163,-0.020450514,0.038069349,0.044551337,-0.041544824,0.017446016,0.174713185,0.648587233,0.28009629,-0.171839343,0.8656562,-0.823567294,0.744700703
0.013829427,-0.004764342,-0.044666875,0.034956668,0.026130342,0.096028591,-0.003520618,-0.007631778,-0.02134474,0.379108786,1.143737209,-0.159242144,0.545838401,-0.209993859,0.913380138
0.013398285,-0.002611016,-0.044194827,0.034704188,0.026003038,0.096900938,-0.003894296,-0.00796082,-0.021221289,0.379108786,0.654883859,-0.319856425,0.545838401,-0.248583384,0.683040637
0.02159385,-0.003634937,-0.086488886,0.04085879,0.054109524,0.008355486,-0.038326203,-0.000384447,-0.020842521,0.289282637,0.817834976,-0.292562495,0.085979173,-0.190699097,0.365434472
0.021200947,-0.000839608,-0.086115609,0.040562042,0.054056544,0.008926316,-0.038993078,-0.000817128,-0.020710587,0.199456488,0.817834976,-0.231676036,0.933496339,-0.128955859,0.590702013
-0.100293959,0.054838394,0.130886381,-0.142596919,0.011539871,-0.016435818,-0.004264233,-0.016459625,-0.052385502,-1.956371088,-2.32712158,-0.213830004,-1.73116741,1.858404636,-1.50071336
-0.100469992,0.054701035,0.130785693,-0.142571629,0.011515105,-0.016082945,-0.004255306,-0.016386071,-0.052336044,-1.956371088,-2.32712158,-0.257920199,-1.73116741,2.105377591,0.188256705
0.025164783,0.080254842,-0.109294981,-0.028833926,0.090883037,-0.047271061,0.063487172,0.010655295,-0.067560794,-4.56132941,-1.805678006,-0.240074168,-1.852310515,3.664394367,-1.942603962
0.000476482,0.003588792,-0.091440772,-0.025055642,0.066218663,0.017447024,-0.01126504,0.036097275,-0.064517058,-4.022372516,-1.805678006,-0.260019732,-1.610024304,3.456010937,-1.908434832
0.000652274,0.002998987,-0.09168301,-0.024847756,0.066261231,0.017389681,-0.011155736,0.036259139,-0.064551502,-4.022372516,-1.805678006,-0.308308993,-1.876539136,3.351819222,-1.677721108
0.038269036,0.003473907,0.043161329,-0.006646762,-0.00663213,0.063904895,-0.259195203,-0.021691217,0.003554354,-0.339500406,-0.208757061,-0.335602923,-1.391966714,0.561796624,-1.208038377
-0.041644246,0.240632364,-0.173413478,0.001615453,0.07288452,0.028451176,-0.127400118,0.096917499,0.020685151,-0.070021959,0.850425199,-0.339801989,-0.641364033,0.179760335,-1.771106879
0.038219023,0.005509048,0.043217794,-0.006868835,-0.006785414,0.063952934,-0.259486699,-0.022089072,0.003525277,-0.249674257,0.866720311,-0.300960627,-0.762022566,0.530925005,-2.006123146
0.071311398,-0.018025287,0.113451841,0.019275912,-0.044714677,0.029263268,0.078553925,-0.114865005,-0.008047579,-0.519152704,-0.241347284,-0.345050822,-1.610024304,0.770180054,-1.804280487
0.063391142,0.030199481,0.16766244,-0.049720184,-0.054627297,-0.087280605,-0.009330053,-0.10945828,-0.053803687,-0.698805002,-1.626431778,-0.358697787,-1.004308777,1.090473105,-0.018021324
0.085293579,-0.278188254,0.179857403,-0.028092713,-0.05453118,-0.035458996,-0.063507666,-0.09468304,-0.055351654,-1.058109598,-1.626431778,-0.162391444,-1.610024304,1.33744606,0.581849782
0.063606863,0.032485768,0.168022253,-0.04992381,-0.054625762,-0.087263322,-0.010203224,-0.110002744,-0.053802336,-1.058109598,-1.626431778,-0.312508059,-1.852310515,1.028729866,-0.895750452
0.061614569,0.261047701,0.189577704,-0.038058541,-0.044399277,0.088781364,-0.042720292,-0.087052574,-0.058002629,-1.058109598,-1.626431778,-0.367095919,-1.585795683,1.271843869,-1.495740056
-0.146783755,-0.18101509,0.040836367,-0.130032691,0.035831834,0.229297501,-0.039136547,0.012055299,-0.037919998,-2.315675684,-1.773087783,-0.200183039,-1.828081894,2.186415592,0.9707298
-0.161463964,0.072103337,0.014871309,-0.124036209,0.039087697,0.207088774,-0.015654153,0.018042997,-0.031607076,-1.866544939,-2.783384707,0.241768673,-1.828081894,2.225005116,1.108657812
-0.100530238,0.051314016,0.130461491,-0.142274515,0.011298122,-0.017126334,-0.003841449,-0.016061554,-0.052253451,-0.249674257,-0.730200635,0.232320774,-0.665108081,0.488476528,0.395559209
-0.100697923,0.051307611,0.130256293,-0.142171602,0.011236144,-0.016612913,-0.003850184,-0.01598064,-0.052168677,-0.249674257,-0.371708178,0.231271007,-0.907394292,0.515489195,0.818294144
-0.07963904,-0.029204122,0.009865141,-0.004090991,-0.028568988,0.0032233,-0.086291813,0.084333199,0.032638476,0.558761084,1.469639443,-0.250571833,0.788609185,-0.5148511,0.728626955
-0.055823132,0.000585151,0.070796923,0.025330789,-0.064268263,0.137646626,-0.10245948,0.066957912,0.02710495,0.738413382,1.094851874,-0.340851755,0.545838401,-0.669209197,-0.080987967
-0.088400896,-0.051447658,0.095752344,-0.001809755,-0.092563235,0.076015322,-0.040298815,0.066628685,0.039189894,0.738413382,1.094851874,-0.345050822,0.546322974,-0.696221864,0.243310889
0.011334648,0.149312163,0.072830657,0.08828469,-0.050074789,0.130021103,0.025894358,0.042995453,0.012374665,0.558761084,0.752654529,-0.276815997,0.424695296,-0.476261576,0.168989968
0.016184648,-0.3529262,-0.075753276,-0.002398163,0.029088989,-0.041358531,-0.016418175,0.049744786,-0.060789769,0.199456488,0.67117897,-0.179187709,0.061265979,-0.05177681,0.725200194
-0.015092541,-0.158729303,-0.071491853,-0.020756192,0.039917283,0.055662133,-0.02280927,0.052390172,-0.062528253,0.01980419,0.18232562,-0.297811327,-0.059877126,0.067850715,0.695644868
0.044920629,0.129482311,-0.086531213,0.016978176,0.019180052,-0.148561018,-0.001092094,0.04800896,-0.05873244,0.289282637,0.345276737,-0.304109927,-1.028537398,-0.155968526,-0.262419548
-0.018038852,0.175345045,-0.049148092,0.0248081,0.051826737,-0.159811773,0.171888217,0.097923318,-0.048977181,0.289282637,0.345276737,-0.198083506,0.30355219,-0.206134907,-1.007904004
-0.066613449,0.191723004,-0.124827933,-0.043357701,0.04315523,0.060136887,-0.056719312,0.024069264,0.020630128,0.289282637,1.225212768,-0.341901522,0.424695296,-0.159827478,-1.335812613
-0.056903299,0.055722627,-0.025040018,-0.077082983,0.000185893,-0.05596366,0.06906849,-0.044638297,0.014726998,0.289282637,1.225212768,-0.189685374,0.424695296,-0.101943192,-0.889961609
0.063776261,0.023170366,0.095988433,0.085924392,-0.073625664,-0.040542746,0.054296815,0.054391416,0.17669992,0.738413382,0.752654529,-0.129848681,1.253314138,-0.796554627,1.372651546
0.066614302,0.008344623,0.10039246,0.077219168,-0.07444171,-0.04986347,0.038306953,0.05567452,0.172238208,0.738413382,0.5734083,-0.171839343,1.059485169,-0.796554627,0.413511299
-0.048886793,0.103696706,0.148125356,0.101926877,-0.065676894,0.070861696,-0.012772031,0.087141938,0.14706088,0.738413382,0.5734083,-0.119351016,1.059485169,-0.703939769,-0.092354153
-0.07896188,-0.076177648,0.147405131,0.10910854,-0.068269814,0.085374311,-0.011085992,0.091233244,0.138866284,0.738413382,0.166030508,-0.056365024,1.059485169,-0.437672052,1.02111582
