PCNM5,PCNM35,PCNM24,PCNM14,PCNM12,PRECCV,TEMPSD,feve_sp
0.15108802,0.051307611,-0.009323592,0.019293766,-0.01375486,-0.592499871,-0.371708178,0.853656505
-0.105811782,-0.029204122,-0.068922452,0.014299629,0.031234854,-0.963177131,1.469639443,-1.017088848
-0.093221027,0.000585151,0.132170204,-0.041318753,0.016672071,-0.963177131,1.094851874,0.937505178
-0.126609265,-0.051447658,-0.202022545,0.004146866,-0.073981996,-0.963177131,1.094851874,0.641772808
-0.04721918,0.149312163,0.076728285,-0.073501153,0.108589827,-0.963177131,0.752654529,0.454690653
0.063934079,-0.3529262,-0.079576141,0.042149896,-0.00083866,-0.777838501,0.67117897,0.072278261
0.075134928,-0.158729303,-0.090370841,-0.016484635,0.087690584,-0.777838501,0.18232562,1.651742123
0.051609051,0.129482311,-0.005916911,0.104765899,-0.075599726,-0.777838501,0.345276737,-1.436729886
0.032777342,0.175345045,0.230631348,0.121827101,-0.194593616,-0.777838501,0.345276737,-0.207355163
-0.035767174,0.191723004,0.068008945,-0.017682267,0.15622099,-0.963177131,1.225212768,0.382729642
-0.04304004,0.055722627,-0.049350138,0.039542155,0.098194146,-0.963177131,1.225212768,-0.652420122
-0.00560127,0.023170366,0.039887494,-0.25307998,0.071579896,-0.036483982,0.752654529,0.237023443
-0.003358609,0.008344623,0.094876336,-0.160344252,0.084520808,-0.036483982,0.5734083,-0.696713621
0.028245354,0.103696706,0.030886232,0.175701949,0.117012193,-0.036483982,0.5734083,-1.574868102
0.038494524,-0.076177648,-0.137037942,0.178919928,0.115987071,-0.221822612,0.166030508,-0.912397577
-0.050237595,-0.110615791,0.102034216,-0.005963214,0.198089255,-0.963177131,1.33927855,0.05105115
-0.050593758,-0.109435091,0.101644157,-0.005909468,0.197965486,-0.963177131,1.33927855,-0.784106264
-0.044650947,0.060862428,-0.050957357,0.03974708,0.097744789,-0.963177131,1.33927855,-0.679375966
-0.056096469,0.005254529,-0.153515527,-0.032893977,-0.069398194,-0.963177131,1.062261651,0.208327386
0.052268864,-0.055694043,-0.031499641,-0.05607376,-0.034380138,-0.963177131,-0.078396167,1.478392111
0.024720691,-0.021124346,0.026349942,-0.040303536,0.06513486,-0.777838501,-0.290232619,1.097828419
0.024846626,-0.021003967,0.02604838,-0.040268805,0.064841254,-0.777838501,-0.290232619,0.787706455
0.038654755,0.281460257,-0.00757319,-0.051729183,0.023181605,-0.777838501,0.068259838,-0.218344032
0.052147142,-0.055790651,-0.031253516,-0.056118096,-0.03415296,-0.963177131,-0.078396167,1.57097985
0.064966994,-0.000927725,-0.053360094,0.062406535,0.109840545,-0.777838501,1.013376316,0.31382088
-0.04837587,0.087315163,0.038533274,0.039605012,-0.143273775,-0.963177131,1.062261651,0.204974432
-0.055528704,-0.046154578,0.213973106,0.031466688,-0.156081245,-0.963177131,1.062261651,-1.177546093
-0.035663179,0.017492242,-0.035760912,0.017889355,-0.015884526,-0.963177131,1.062261651,0.07270895
-0.035301518,0.018738757,-0.036383256,0.017613955,-0.016127759,-0.963177131,1.029671427,-1.37681401
-0.033298633,0.007523383,-0.032513494,0.017766146,-0.015061096,-0.963177131,1.078556763,-0.475066214
-0.033636017,0.014253838,-0.035117752,0.017289999,-0.015878289,-0.963177131,-0.013215721,-0.887433152
-0.02489136,-0.383467027,-0.072409583,0.034589815,-0.01251116,-0.963177131,1.078556763,0.354616006
0.019252621,-0.02849241,-0.031222687,0.277598434,0.015681065,0.704870536,0.328981625,-0.393594806
0.019626065,-0.005911859,0.058369493,0.205243676,0.041319261,0.704870536,0.328981625,-0.441472604
0.019334612,0.057044748,0.095259205,0.090395714,0.064869576,0.519531907,0.198620731,-1.536826141
0.019328833,0.056684059,0.095466731,0.090574008,0.064312818,0.519531907,0.068259838,-0.850654203
0.115969589,0.010825075,0.021032614,-0.085880886,-0.029982126,0.704870536,-0.713905523,-0.3318096
0.116070785,0.011295085,0.020613899,-0.085729631,-0.029407972,0.704870536,-0.713905523,1.211427619
0.136273313,0.006543257,0.03974988,0.026227523,-0.001997672,0.890209166,-0.567249518,-0.732018771
0.136341164,0.005870001,0.038400474,0.026486583,-0.001257139,0.704870536,-0.567249518,1.255157334
0.116239463,-0.008413478,-0.0884682,-0.023886328,-0.048610653,0.519531907,-0.844266417,0.068684016
0.116048398,-0.009586058,-0.090723202,-0.023646479,-0.04781206,0.519531907,-0.844266417,1.016403407
0.116063533,-0.009993252,-0.090731472,-0.023435559,-0.047914512,0.519531907,-0.844266417,1.557867145
0.071103654,-0.088842145,0.278073796,0.230539256,0.077703021,0.519531907,-0.127281502,-0.627349616
0.085298038,0.077806419,-0.036536723,0.153103255,-0.044845693,0.519531907,-0.713905523,-0.918955233
0.033120001,-0.001420897,0.006011893,-0.20542271,0.025063396,0.519531907,0.198620731,1.665410519
0.032590465,-0.002373271,0.005310867,-0.206078942,0.025459715,0.519531907,0.198620731,0.798397061
0.032660457,-0.001842058,0.005095685,-0.205846184,0.025640368,0.519531907,0.08455495,-0.534823184
-0.108995237,-0.023117287,0.001268059,-0.032774966,-0.087441328,-0.221822612,0.557113189,0.386000991
-0.123390188,0.018520575,-0.127500901,-0.079775591,-0.086901558,-0.221822612,0.736359417,0.246730019
0.019753967,-0.003584484,-0.070860254,-0.005957115,0.022011527,0.334193277,-0.192461949,0.39995432
0.019302651,-0.00331951,-0.070495818,-0.006404855,0.02206062,0.334193277,-0.062101056,0.126196792
0.018879023,-0.003883098,-0.069787991,-0.00646946,0.021984144,0.334193277,0.003079391,-1.38771921
-0.001627653,-0.062926004,-0.107889019,0.070609178,0.040152154,0.334193277,-0.176166837,0.3974315
0.022571941,0.065230395,-0.078813184,-0.089467461,-0.197033053,0.890209166,-0.453183736,-0.367512025
0.02241027,0.064790486,-0.078484114,-0.089103718,-0.196984268,0.890209166,-0.453183736,-2.351048392
0.029159398,-0.171270036,0.180808065,0.015167756,-0.173295377,0.890209166,-0.860561528,-0.843794878
-0.013069636,-0.011686619,-0.125524388,0.055767331,0.093365687,-0.777838501,-1.023512645,-0.129617712
-0.00301414,0.02427004,-0.265957222,0.067707727,0.097862053,-0.963177131,-1.414595326,1.586918301
-0.044668071,0.012353506,0.006465485,-0.018307963,0.025912872,-0.963177131,-0.045805944,-0.713598367
-0.044478751,0.012065719,0.006816666,-0.018139513,0.025768975,-0.963177131,-0.045805944,2.048172862
-0.033523251,-0.036126537,0.126182327,0.018053467,0.052558067,-0.963177131,-0.159871726,-0.360783161
-0.023967021,0.026346487,0.125071211,0.032866275,0.079436402,-0.963177131,-0.159871726,-0.382323138
-0.044933676,0.01403141,0.006017743,-0.018615916,0.026398645,-0.963177131,-0.045805944,-1.153475258
0.121196099,-0.050605239,0.096364816,-0.003524958,-0.020620245,-0.407161242,-1.26793932,1.548669969
0.121081517,-0.050718393,0.096623113,-0.003621606,-0.020107127,-0.407161242,-1.26793932,2.582249312
0.120554762,-0.050933114,0.097489364,-0.003836021,-0.018285619,-0.036483982,-1.544956219,0.705889085
0.120688171,-0.050820913,0.097347345,-0.003736398,-0.018700423,-0.036483982,-1.544956219,1.443378903
0.119723076,0.013521081,-0.150099642,0.026486703,0.013291428,0.334193277,-1.398300214,0.04380993
0.118391599,-0.017582406,-0.26824254,0.05178884,0.042612971,0.519531907,-1.756792671,1.465719067
0.120939337,-0.050182196,0.096973826,-0.003222633,-0.019865037,-0.407161242,-0.958332198,0.713051669
0.120936729,-0.0500374,0.096925753,-0.003112602,-0.020004252,-0.407161242,-1.561251331,-0.111384685
-0.207031746,-0.013117352,-0.162717091,0.060972866,-0.064352339,-0.407161242,2.202919469,-0.094604355
-0.212386364,0.012587329,0.073995599,0.018356402,-0.117685,-0.407161242,1.958492794,1.149714937
-0.206731473,0.010323738,0.02388616,0.046761621,-0.083820584,-0.407161242,1.958492794,-0.421150885
0.145198256,0.147328216,-0.081724497,0.065185102,-0.108493212,-0.777838501,1.306688326,-1.084215373
0.157278853,-0.126120701,-0.026239708,-0.009565553,-0.188242461,-0.777838501,1.013376316,0.832299985
0.155700168,0.114264215,-0.037478895,-0.025511958,-0.137037481,-0.777838501,1.013376316,1.371398365
-0.028087241,-0.195566906,0.164757741,0.021501712,-0.085414069,-0.777838501,1.502229666,-0.260634944
-0.028317105,0.026476277,-0.187124316,-0.014797449,-0.044912184,-0.777838501,1.502229666,0.82408476
-0.085330606,0.013225199,-0.058751161,0.114068588,0.185168953,0.334193277,0.231210955,-0.480602401
-0.0854177,0.013315358,-0.058577133,0.114247514,0.185247143,0.334193277,0.231210955,-1.187667914
0.014507304,0.010929771,5.84E-05,0.050128238,-0.025891898,1.631563685,1.355573661,-0.437190288
0.005842515,-0.007396112,0.023912515,0.018436844,-0.025910423,1.631563685,1.355573661,1.339704665
0.014507285,0.010930527,5.75E-05,0.050127919,-0.025891593,1.631563685,1.355573661,-0.428913664
