PCNM3,PCNM4,PCNM48,PCNM7,PCNM5,PCNM10,TEMPSD,redundancy
-0.142599927,0.033598171,-0.026950254,0.123417465,-0.060511407,-0.033134008,0.166030508,0.827817268
-0.142646304,0.029884005,-0.192808842,0.088007126,-0.058424649,-0.023733464,-0.078396167,0.798210829
-0.142666635,0.029345837,0.135894734,0.088067425,-0.058847505,-0.023661863,0.003079391,-0.235740222
-0.142723533,0.029328982,0.079832474,0.087994056,-0.058910886,-0.023540974,0.003079391,-0.346415155
-0.157560345,-0.060009491,-0.201714023,-0.075530553,-0.124810003,0.063157573,-0.257642396,1.747964135
-0.15759371,-0.05998685,-0.158650744,-0.07545406,-0.124825951,0.06312398,-0.159871726,-0.033845368
-0.157209162,-0.060742254,0.364213155,-0.076331617,-0.125011349,0.062974733,-0.502069071,0.699116383
-0.162945734,-0.02909931,-0.314839134,-0.009912774,-0.116486281,0.040023545,-0.143576614,3.14743476
-0.163075527,-0.028780261,0.059876874,-0.009217774,-0.116414777,0.039782898,0.214915843,-0.637984832
-0.163041395,-0.028706677,-0.106418804,-0.009377874,-0.116325452,0.039997109,-0.143576614,-0.691446546
-0.163187189,-0.028290205,0.357086901,-0.008499298,-0.116208861,0.039700403,0.214915843,-0.461499419
-0.080223701,-0.12040185,0.005816308,-0.161027459,-0.100732081,0.065618445,-0.355413066,0.217451687
-0.08043906,-0.120475407,0.115045468,-0.161167767,-0.100998973,0.065955718,-0.502069071,-1.067356898
-0.079821342,-0.120248935,-0.121305177,-0.160713171,-0.100226055,0.064980038,-0.355413066,1.028578096
-0.080600928,-0.126850128,5.27E-09,-0.167047733,-0.100192383,-0.070208879,-0.029510832,1.152004281
0.129384334,-0.164788276,-0.049841043,-0.061874443,-0.113474585,-0.005921777,-0.127281502,-1.826554899
0.152671469,-0.147443598,1.90E-05,-0.021370273,-0.115665879,0.007688533,-0.127281502,-0.491258633
0.129295136,-0.164793457,-0.000596148,-0.061688556,-0.113547167,-0.00593904,-0.127281502,-0.330747157
0.129236211,-0.164799939,0.058882647,-0.061518268,-0.113623764,-0.005961162,0.214915843,-1.524844497
0.174923597,-0.126086841,0.058085693,0.017855368,-0.114239662,0.038116562,-0.371708178,-0.761221486
0.175000705,-0.125997441,0.003117476,0.017706968,-0.114090211,0.038158308,0.100850061,-2.093584114
0.174713185,-0.126194376,-0.061320278,0.017446016,-0.11412595,0.038069349,0.28009629,-0.034512434
-0.02134474,0.080553138,-0.025618717,-0.007631778,-0.051099998,0.026130342,1.143737209,0.322919721
-0.021221289,0.080837946,-0.059471563,-0.00796082,-0.051367143,0.026003038,0.654883859,0.023595676
-0.020842521,0.079729191,0.066829193,-0.000384447,-0.045676297,0.054109524,0.817834976,-0.536929038
-0.020710587,0.080024379,0.027713027,-0.000817128,-0.045921794,0.054056544,0.817834976,-0.393391616
-0.052385502,-0.173325106,-0.004446788,-0.016459625,0.151556242,0.011539871,-2.32712158,1.053338638
-0.052336044,-0.17330442,0.001818456,-0.016386071,0.151484992,0.011515105,-2.32712158,0.957209499
-0.067560794,-0.094678195,8.93E-05,0.010655295,0.106150743,0.090883037,-1.805678006,-0.567355349
-0.064517058,-0.080175192,0.00632432,0.036097275,0.088522915,0.066218663,-1.805678006,0.068527387
