PCNM7,PCNM3,PCNM29,PCNM48,PCNM8,PCNM43,PCNM34,PCNM15,PCNM46,TEMPSD,redundancy_sp
-0.114456524,-0.008021417,-0.00169211,0.006577473,0.071644044,-0.033281222,0.031498919,0.028454961,0.002085317,-0.290232619,-0.414911092
-0.1144745,-0.00804317,-0.001851827,0.027584646,0.071868749,-0.012285966,0.031491916,0.028219807,0.024897425,-0.290232619,0.46622157
-0.082251658,-0.007622643,-0.037563314,0.021869796,0.085962906,-0.018527096,0.055545617,0.062966983,-0.026665545,0.068259838,0.846153616
-0.047917096,-0.007305943,0.00138993,-0.007260671,0.100147027,0.015726655,0.006173343,0.079416312,-0.020857844,-0.078396167,-0.503350365
0.047258773,0.008199262,0.019955118,2.28E-05,0.04191089,-0.000335815,-0.031620907,-0.189137489,1.83E-05,1.013376316,-1.302372104
0.041787027,0.01442479,0.002145828,0.026913664,-0.046800372,0.049025345,0.268627667,-0.037732816,-0.167095402,1.062261651,-0.911794617
0.042305997,0.022461697,-0.020612874,-0.02696844,-0.096523238,-0.048926684,-0.042980232,-0.040455372,0.167644055,1.062261651,-0.563874837
-0.076213646,0.008712491,-0.010775208,0.004144542,-0.028942826,0.000714569,-0.036641551,-0.030518636,-0.030221617,1.062261651,0.116059017
-0.076782025,0.008566376,-0.011015361,0.000785608,-0.027848667,0.055175361,-0.035808282,-0.030608961,0.043450308,1.029671427,1.430252265
-0.075800987,0.008696449,-0.009781303,-0.019935632,-0.02743963,-0.198165857,-0.041088661,-0.031438853,-0.081754422,1.078556763,0.395454583
-0.077043748,0.008422811,-0.010690859,-0.016060385,-0.026016339,-0.006180024,-0.037538553,-0.031198704,0.080957175,-0.013215721,2.298938517
-0.029056571,0.012110511,-0.006078727,-4.95E-06,-0.02524101,-0.00043121,-0.019341136,-0.038173004,-9.64E-06,1.078556763,0.018691564
-0.001650384,-0.091765499,-0.062659605,0.008292976,0.007611457,-0.024530945,-0.148542267,0.006287499,-0.016128763,0.328981625,0.72808312
0.007187906,-0.082363895,0.081853176,7.15E-05,0.019410444,-0.000273793,0.040852944,-0.017624586,-0.000160346,0.328981625,-0.359456507
0.017350916,-0.072891694,0.044280594,0.095592341,0.031885964,-0.017005198,0.064628797,-0.03734359,0.019847816,0.198620731,-1.361830717
0.016954968,-0.072973871,0.043995446,-0.100257273,0.031687072,0.013122003,0.064700248,-0.037138426,-0.021197328,0.068259838,-1.552773481
-0.063858371,0.030996791,0.003967921,0.048128151,0.042529078,0.043401162,0.026263731,0.161261388,0.006894197,-0.713905523,0.004869118
-0.064079855,0.031286552,0.003952016,-0.048008064,0.042482876,-0.043806667,0.027055532,0.161148232,-0.0072854,-0.713905523,-0.619201183
-0.151933586,0.070533701,-0.028881803,0.014556159,-0.050703886,0.0531094,0.031854514,-0.123445258,-0.00060097,-0.567249518,1.127564302
-0.152248526,0.070903713,-0.029128164,-0.014724652,-0.050482593,0.037171777,0.032069209,-0.123183211,0.040658005,-0.567249518,-0.377372154
-0.08247487,0.089744123,0.008589573,0.024314283,-0.118674456,-0.033562275,-0.057624105,-0.04138684,-0.102718049,-0.844266417,-0.679308986
-0.082554882,0.090116366,0.008153769,0.00063626,-0.118445368,-0.040858996,-0.05717807,-0.040565953,-0.005795558,-0.844266417,-0.161923938
-0.082851536,0.090056158,0.007847543,-0.024143004,-0.118296588,-0.013867535,-0.056484067,-0.04053049,0.067132243,-0.844266417,-0.394258745
-0.050380163,0.136974249,-0.08749635,5.78E-05,-0.027966083,0.000212921,0.138122295,-0.080713101,-0.000184371,-0.127281502,0.254288809
-0.072464067,0.118561012,0.094044076,-0.000126018,-0.064753306,-0.001490405,0.206752064,0.025305801,-0.001160578,-0.713905523,-0.633819602
0.125731903,-0.030362017,-0.011407583,0.410148427,-0.042510178,-0.061078401,-0.00111904,-0.194372931,0.194686999,0.198620731,-2.506187359
0.126078858,-0.031028436,-0.012174229,-0.422149337,-0.041353121,0.055607699,-0.001439068,-0.195116249,-0.157585927,0.198620731,-0.268247921
0.126337755,-0.030782021,-0.011618427,0.013899024,-0.041632367,0.005592111,-0.00158568,-0.194644424,-0.036483809,0.08455495,-0.775741847
0.2112876,0.150437963,-0.071319238,5.48E-06,-0.188863879,6.36E-05,-0.170799266,0.052821479,-0.000175851,0.557113189,-0.168297718
0.204116035,0.163513319,0.096593693,-1.85E-06,-0.175626014,0.000448205,0.126827421,0.118510102,0.000207471,0.736359417,-1.448755287
-0.13808751,0.184179367,-0.010334159,0.027681667,0.10810236,0.104470284,0.021685982,0.08753315,0.292315263,-0.192461949,0.128403874
-0.137602566,0.18435806,-0.009787782,0.115851811,0.108687178,-0.006250029,0.019869921,0.087646087,-0.021814232,-0.062101056,0.625312295
-0.137602966,0.184191578,-0.009849355,-0.146694838,0.109643644,-0.101121471,0.019608451,0.086840075,-0.279692541,0.003079391,1.851770845
-0.115895352,0.18094349,-0.021388919,-0.005626688,0.094404761,0.026030627,-0.086739547,-0.063903843,0.027671122,-0.176166837,-1.218559537
-0.076694349,-0.099662686,0.039901394,0.065003947,-0.017619294,-0.029056915,-0.122808449,0.097277602,0.055513501,-0.453183736,1.308391541
-0.076768389,-0.099701437,0.039515867,-0.065136477,-0.017605228,0.02912749,-0.123261971,0.097532716,-0.05564137,-0.453183736,2.21985206
-0.085629741,-0.092206648,-0.090579626,0.000339982,-0.023542957,0.002266011,0.152527098,0.058541045,-0.001517907,-0.860561528,1.578250743
-0.068379205,-0.037280649,-0.02492708,5.95E-07,0.102525996,-0.000299301,-0.083547595,-0.130400428,5.33E-06,-1.023512645,-0.143164673
-0.059045909,-0.03657543,0.012562458,3.27E-06,0.105512935,-0.001690788,0.044994123,-0.155628192,4.07E-05,-1.414595326,0.221116334
-0.004258402,-0.021302644,0.030120893,-0.005834105,0.024320548,0.146338053,0.03278805,0.005983492,0.027455742,-0.045805944,0.443606813
-0.004305698,-0.021392762,0.030024982,0.008140164,0.024678916,0.187176242,0.032340533,0.00555755,0.086020339,-0.045805944,-0.388038103
-0.038919146,-0.02993679,-0.113976897,0.026942375,0.058573557,0.063289661,-0.218802771,-0.050425589,-0.168119672,-0.159871726,1.718616867
-0.074518454,-0.037731501,-0.00740109,-0.002045974,0.094643892,0.075620643,0.119221585,-0.075323792,0.129622213,-0.159871726,1.931828923
-0.004449202,-0.021163287,0.030294262,-0.036751809,0.023838824,0.09575129,0.033581366,0.006604087,-0.080467061,-0.045805944,0.683361236
0.070099259,0.013731175,0.005111633,0.014042182,-0.001163316,-0.498232613,-0.022687878,0.017795847,0.014573561,-1.26793932,-0.79261622
0.069565598,0.01375163,0.00531206,0.010057134,-0.001291678,-0.345384426,-0.022946809,0.017835972,0.002951487,-1.26793932,-1.012042416
0.06769155,0.013825638,0.00600336,-0.007789436,-0.001923361,0.313127196,-0.02391882,0.017877539,-0.03168335,-1.544956219,1.022021463
0.068153058,0.013819502,0.005892282,-0.005244288,-0.001841536,0.21237876,-0.023747731,0.017837985,-0.022289485,-1.544956219,0.356371142
0.056103129,0.011961016,0.025125088,3.83E-06,0.017706589,0.000195762,0.064482238,-0.054808047,6.88E-05,-1.398300214,-1.302001578
0.044044036,0.010030911,-0.011992336,4.62E-06,0.037160788,-0.000756546,-0.101137826,-0.116174398,-0.000132487,-1.756792671,0.109672182
0.069527509,0.013820676,0.005628419,-0.00491996,-0.001920339,0.145755398,-0.023409359,0.017558628,0.014402928,-0.958332198,0.029773132
0.069705085,0.013823468,0.005600596,-0.006291381,-0.001994704,0.182309781,-0.023395018,0.017489156,0.021059677,-1.561251331,0.619387311
0.068432844,0.102327481,-0.017437414,-6.11E-06,-0.167740961,-5.80E-05,-0.01326561,-0.097524568,9.35E-05,2.202919469,-0.304523033
0.072331777,0.104013866,-0.009263743,0.077736778,-0.164416796,0.086899592,0.01943497,0.026747939,-0.072121432,1.958492794,0.274447494
0.080264642,0.104357822,0.02040118,-0.07755181,-0.157026826,-0.086632174,-0.04274535,-0.061494733,0.072034506,1.958492794,0.65334288
0.225740361,0.005177866,-0.034154508,2.94E-05,0.024624048,5.39E-05,0.111659712,-0.099665068,-0.000143892,1.306688326,-1.863416729
0.202697698,0.004816576,0.025863126,2.27E-06,0.077351787,0.00021945,-0.024743448,0.03402343,4.46E-05,1.013376316,-0.552709022
0.188234437,0.006132775,-0.02418871,1.37E-06,0.076541029,0.000211018,0.012945901,0.074042905,1.81E-05,1.013376316,-1.871501603
0.1964552,0.004977723,0.006893151,-5.68E-05,0.021757309,0.012896669,-0.015880786,-0.033143062,-0.001089701,1.502229666,-1.16945936
0.209779302,-0.003658067,-0.055807372,1.49E-05,0.069843988,0.000224379,-0.013637595,0.059175587,-0.000423092,1.502229666,-0.763339404
0.148262309,-0.128974098,0.022515361,0.058257138,0.13739455,0.006610976,0.074769401,-0.135024558,0.000773915,0.231210955,-0.455249369
0.148298629,-0.129085196,0.022579226,-0.05874868,0.137430676,-0.006515314,0.074579403,-0.13512153,-0.001148203,0.231210955,0.046008271
-0.008134765,-0.003639306,-0.319351679,-0.000179825,-0.070277292,-0.000694908,0.004395346,0.019083438,-0.000490093,1.355573661,0.217725367
-0.036173369,-0.007793189,0.488910605,-7.71E-05,-0.10656663,2.20E-05,-0.016829891,-0.004526384,-7.24E-07,1.355573661,-1.841771515
-0.008134532,-0.00363929,-0.319379629,-0.000155999,-0.070276516,-0.000695287,0.004396623,0.01908352,-0.000490048,1.355573661,0.20279107
