PCNM7,PCNM48,PCNM29,PCNM3,PCNM15,PCNM34,pH,PREC,PRECDRIEST,rao
0.072331777,0.077736778,-0.009263743,0.104013866,0.026747939,0.01943497,-0.699101477,0.223263609,0.509070314,-0.075135787
0.080264642,-0.07755181,0.02040118,0.104357822,-0.061494733,-0.04274535,-0.437427774,0.223263609,0.509070314,0.234121535
0.225740361,2.94E-05,-0.034154508,0.005177866,-0.099665068,0.111659712,-0.437427774,0.243483109,0.631227952,0.647808221
0.202697698,2.27E-06,0.025863126,0.004816576,0.03402343,-0.024743448,0.609267041,0.233373359,0.631227952,1.142644271
0.188234437,1.37E-06,-0.02418871,0.006132775,0.074042905,0.012945901,0.609267041,0.233373359,0.631227952,1.218089964
0.1964552,-5.68E-05,0.006893151,0.004977723,-0.033143062,-0.015880786,0.347593337,-0.093508552,0.600688543,1.54709085
0.209779302,1.49E-05,-0.055807372,-0.003658067,0.059175587,-0.013637595,-0.17575407,-0.093508552,0.600688543,0.173470869
0.148262309,0.058257138,0.022515361,-0.128974098,-0.135024558,0.074769401,0.085919633,-1.465064613,-0.926281932,1.113532713
0.148298629,-0.05874868,0.022579226,-0.129085196,-0.13512153,0.074579403,-0.17575407,-1.465064613,-0.926281932,0.148383373
-0.008134765,-0.000179825,-0.319351679,-0.003639306,0.019083438,0.004395346,0.085919633,-2.735523176,-1.934082446,-1.283212261
-0.036173369,-7.71E-05,0.488910605,-0.007793189,-0.004526384,-0.016829891,0.085919633,-2.735523176,-1.934082446,1.234214971
-0.008134532,-0.000155999,-0.319379629,-0.00363929,0.01908352,0.004396623,0.347593337,-2.735523176,-1.934082446,-0.361541072
