PCNM4,PCNM10,PCNM5,CLAY,OrganicMatter,PRECDRIEST,TEMPMIN,feve
0.095993994,0.081159098,0.085298038,0.497381159,-0.002980921,-0.590348428,0.558220608,-1.347803357
0.138492675,-0.027500354,0.033120001,0.73966737,-0.502123859,-0.926281932,0.642417778,-1.130163473
0.138143364,-0.027683565,0.032590465,0.860810476,-0.78183681,-0.926281932,0.642417778,-0.716156432
0.138212049,-0.027789483,0.032660457,0.860810476,-0.07049784,-0.865203113,0.642417778,-1.776488808
0.074960722,0.099484772,-0.108995237,0.788124612,-0.622689786,0.050979172,0.810812118,-0.693530473
0.063906849,0.077606617,-0.123390188,0.981469009,-0.78183681,-0.010099647,0.895009288,-0.079467247
-0.038356199,0.04145296,0.019753967,-0.592422218,0.850625842,-0.284954333,0.558220608,-1.089723517
-0.038687379,0.041506546,0.019302651,0.981953581,-0.78183681,-0.254414923,0.558220608,-0.826314808
-0.039253471,0.041566115,0.018879023,0.73966737,-0.458720125,-0.193336104,0.558220608,-1.076505091
-0.058733556,0.064674755,-0.001627653,0.860810476,-0.796304721,-0.162796695,0.558220608,-0.425025637
0.086016741,0.083184451,0.022571941,0.497865732,0.544388387,-1.353833665,0.474023438,-0.798277593
0.085820449,0.08325705,0.02241027,1.345382898,-0.907225374,-1.353833665,0.474023438,-2.352747909
0.091351672,0.093572633,0.029159398,1.103096687,-0.398437162,-1.414912484,0.558220608,-0.865896228
0.064569817,0.012544486,-0.013069636,-1.440423957,1.619836456,1.272555552,-0.873131283,1.0568061
0.060340894,0.017034414,-0.00301414,-0.108334368,-0.940983833,1.272555552,-0.620539773,2.17156096
0.079717223,0.053967256,-0.044668071,0.134436415,-0.35262211,1.089319095,-0.115356753,-0.859521963
0.079558186,0.053966658,-0.044478751,0.133951843,-0.461131444,1.089319095,-0.115356753,0.890249955
0.074706629,0.033243106,-0.033523251,-0.714049896,0.636018492,1.180937323,-0.367948263,-0.452412724
0.069150243,0.006734927,-0.023967021,-0.350620579,0.013898308,1.180937323,-0.367948263,0.046355456
0.079976423,0.053925838,-0.044933676,-0.350136007,-0.053618611,1.089319095,-0.115356753,-1.450802327
-0.068140335,0.013943634,0.121196099,-1.319280851,1.523383714,-0.010099647,-1.125722793,0.501571228
-0.067954425,0.013806007,0.121081517,-1.198137745,0.353894222,-0.010099647,-1.125722793,0.407626786
-0.067271221,0.013352065,0.120554762,-1.682710168,2.097277526,-0.162796695,-1.715102983,1.228162047
-0.067417429,0.013512342,0.120688171,-1.319280851,0.493750698,-0.162796695,-1.715102983,1.722716068
-0.062327304,0.017321804,0.119723076,-1.803853273,2.712163754,-0.346033152,-1.967694493,-0.866606206
-0.057427471,0.020505778,0.118391599,-2.046139484,3.946758846,-0.43765138,-2.051891663,1.569618302
-0.067785333,0.014092753,0.120939337,-1.440423957,1.590900633,0.050979172,-1.378314303,1.48954326
-0.067820487,0.014184245,0.120936729,-1.198137745,0.247796207,0.234215629,-1.209919963,0.61242671
-0.095827189,0.026665854,-0.207031746,0.439232469,-0.793893402,0.509070314,0.895009288,-0.320104735
-0.084758167,0.005880591,-0.212386364,0.439232469,-0.511769133,0.509070314,0.895009288,0.623699802
-0.085677858,0.033951878,-0.206731473,0.633061437,-0.707085935,0.509070314,0.895009288,0.085821866
-0.128728083,0.06084897,0.145198256,-0.762022566,-0.099433663,0.631227952,-0.031159583,-0.867357809
-0.119861426,0.048240736,0.157278853,0.30355219,-0.92892724,0.631227952,-0.199553923,0.58994552
-0.112648825,0.051685317,0.155700168,0.788609185,-1.331617437,0.631227952,-0.199553923,0.29377621
0.049570671,-0.017013733,-0.028087241,0.032191634,-0.994032841,0.600688543,0.726614948,-0.696027269
0.048240857,-0.033610897,-0.028317105,0.32341966,-1.022968664,0.600688543,0.726614948,0.087755194
-0.011588863,-0.071278606,-0.085330606,1.582338812,-0.991621523,-0.926281932,0.726614948,-0.608708464
-0.011547293,-0.071198785,-0.0854177,1.388994416,-0.998855478,-0.926281932,0.726614948,-0.289766418
-0.079472776,-0.490145839,0.014507304,1.195165447,-0.719142528,-1.934082446,0.642417778,0.750505246
-0.088716866,-0.508871074,0.005842515,1.4859089,-0.73119912,-1.934082446,0.642417778,1.975810381
-0.079472528,-0.490140636,0.014507285,0.710593025,-0.839708455,-1.934082446,0.642417778,1.032194121
