PCNM10,PCNM38,fdis_sp
-0.033134008,-0.060183234,-1.888671112
-0.023733464,0.119458377,0.418157739
-0.023661863,0.172562833,-0.212266
-0.023540974,0.172431954,-0.41946981
0.063157573,-0.022622451,-0.236394295
0.06312398,-0.020734854,-0.113174002
0.062974733,0.028800968,-0.322411381
0.040023545,0.021498502,-0.872341655
0.039782898,0.019818648,-0.748775739
0.039997109,-0.000345195,-2.005026323
0.039700403,-0.004871215,-0.818362526
0.065618445,-0.005140259,0.744384328
0.065955718,-0.002636992,1.267675344
0.064980038,-0.009355127,0.037194449
-0.070208879,-5.61E-05,0.512629776
-0.005921777,-0.111139921,-1.48966271
0.007688533,-0.002768416,-0.497842744
-0.00593904,-0.134555124,0.193708633
-0.005961162,-0.152563098,-0.021824058
0.038116562,-0.008726545,0.177524466
0.038158308,0.013469601,-1.15280759
0.038069349,-0.018170499,-0.111835325
0.026130342,-0.00194387,0.17451828
0.026003038,-0.001008468,1.466413046
0.054109524,-0.069052242,0.386451728
0.054056544,-0.069296941,0.668279848
0.011539871,0.00023349,-0.244282083
0.011515105,-0.000784791,-0.675226234
0.090883037,0.002535018,1.536880317
0.066218663,0.003308852,0.894071675
0.066261231,0.00042093,0.073664653
-0.00663213,0.015935979,-3.007823713
0.07288452,-0.003784851,0.753905355
-0.006785414,0.019672283,0.135024967
-0.044714677,-0.099751351,-0.024952183
-0.054627297,0.006953585,1.330215941
-0.05453118,-0.001642774,0.473147532
-0.054625762,-0.006151658,-0.075559044
-0.044399277,0.007735071,1.958725819
0.035831834,-0.000706582,-1.037217994
0.039087697,0.000246606,0.03845246
0.011298122,-0.003953164,2.09705205
0.011236144,-0.005088462,0.642842901
-0.028568988,0.037084252,0.266968614
-0.064268263,-0.036983205,-0.763436741
-0.092563235,0.002870023,0.130721575
-0.050074789,0.023520651,1.169400751
0.029088989,-0.007848216,0.395359747
0.039917283,0.008423499,0.53968421
0.019180052,0.007238721,-1.35189635
0.051826737,-0.006617971,0.752851254
0.04315523,0.042241,-0.16633049
0.000185893,-0.016182602,-0.303640115
-0.073625664,-0.00184794,1.281649409
-0.07444171,0.013190864,0.672453126
-0.065676894,0.007041637,-1.473705894
-0.068269814,-0.018496099,1.197599497
0.029208399,-0.021589003,1.305294743
0.029149981,-0.014406415,1.397941805
-3.98E-05,0.016158682,0.855599101
0.020549164,-0.291037602,0.923488795
-0.017559464,-0.021382092,0.148520754
-0.044576549,-0.120800063,4.04950044
-0.044603202,-0.1275732,-1.199977093
-0.030544897,-0.041102154,-0.438148457
-0.017521333,-0.014289827,0.279466729
0.105422999,-0.002048359,-0.647272448
-0.006130073,0.068600465,-0.686014088
0.029482287,-0.059511235,-0.32190447
-0.026765268,0.193634372,0.117493682
-0.026913809,0.180654477,0.517191562
-0.02631488,0.152178387,0.504386909
-0.02680454,0.145608284,-2.177523947
-0.000515803,-0.000945401,-0.164108015
0.0176035,-0.394229196,1.3591039
-0.002264651,3.26E-05,0.057342638
-0.023043447,-0.008246353,-0.912309556
-0.022654038,-0.026805747,0.349889656
-0.043339078,-0.010897958,-0.652788579
-0.04338344,-0.002514102,0.24198785
0.003841431,-0.211684997,-0.135229844
0.003850144,-0.114448059,0.050144704
0.05046189,0.013433455,-0.888735012
0.050480395,0.146508257,-0.232192361
0.050507324,0.15640119,0.640445372
0.038925283,0.001885899,-0.629281799
0.081159098,0.023335942,0.136265479
-0.027500354,-0.015717627,-1.938147447
-0.027683565,0.004531166,-0.216708299
-0.027789483,0.011194919,-1.768860293
0.099484772,-0.009478528,-0.7917236
0.077606617,-0.006256786,0.392942045
0.04145296,0.025641374,0.171505091
0.041506546,0.00371475,0.078815762
0.041566115,-0.009859938,-0.496153605
0.064674755,0.389436233,-1.619641966
0.083184451,0.007344882,1.098019545
0.08325705,-0.006493167,-0.49740101
0.093572633,0.028924471,0.559182249
0.012544486,-0.000297586,0.035046034
0.017034414,0.000478413,0.62138721
0.053967256,-0.112233301,1.958201187
0.053966658,-0.114922142,0.535625005
0.033243106,0.074430229,-0.129228034
0.006734927,0.367344257,-0.276483296
0.053925838,-0.110319222,0.459944583
0.013943634,-0.018663554,0.634445595
0.013806007,-0.020098828,1.075709552
0.013352065,-0.010378006,-0.477206356
0.013512342,-0.00670139,-0.740519815
0.017321804,-0.000240848,0.462229255
0.020505778,-0.01053836,0.705820415
0.014092753,0.030636066,-0.709004876
0.014184245,0.040705807,-0.100439897
0.026665854,0.004868372,0.091775694
0.005880591,0.008357198,0.793854985
0.033951878,-0.00801265,-0.073960912
0.06084897,0.001142108,0.051895552
0.048240736,0.000425581,0.673214963
0.051685317,0.002662334,-0.590591042
-0.017013733,0.014420811,0.077243392
-0.033610897,-0.005205325,0.626014594
-0.071278606,-0.000975189,0.135927479
-0.071198785,-0.010412644,-1.814198613
-0.490145839,0.001902457,-0.91016651
-0.508871074,0.000137968,-1.677033486
-0.490140636,0.001902291,-2.612582958
