PCNM15,PCNM29,PCNM5,PCNM19,PCNM54,PCNM4,PCNM25,SAND,TEMPMIN,elevation,fdiv_sp
-0.031438853,-0.009781303,-0.033298633,0.009940705,-1.70E-06,0.035679574,0.067924488,0.264361986,0.221431927,0.15660662,0.154884066
-0.031198704,-0.010690859,-0.033636017,0.01027338,-1.92E-06,0.036519389,0.064845665,0.851145419,-0.031159583,0.349554241,0.813440006
-0.038173004,-0.006078727,-0.02489136,-0.147122749,1.14E-08,0.027914611,0.097090557,0.146911339,0.221431927,0.083286524,-1.063251823
0.006287499,-0.062659605,0.019252621,-0.058824741,-2.34E-06,0.105945537,0.104583228,-1.027595133,0.558220608,-0.78497777,0.973429703
-0.017624586,0.081853176,0.019626065,-0.033799835,-3.76E-09,0.110523003,-0.005508806,-0.557792544,0.558220608,-0.746388245,-1.410755889
-0.03734359,0.044280594,0.019334612,0.00784037,1.89E-05,0.114269153,-0.109475604,-0.32289125,0.642417778,-0.78497777,-1.241074798
-0.037138426,0.043995446,0.019328833,0.00792734,-1.85E-05,0.11424833,-0.109529088,-0.792224036,0.642417778,-0.78497777,-2.363078574
0.161261388,0.003967921,0.115969589,-0.065793804,0.000132549,0.130446456,-0.023936013,-0.746183382,0.558220608,-0.746388245,-1.574581869
0.161148232,0.003952016,0.116070785,-0.066303505,-0.000132105,0.130467877,-0.023813417,-0.392891836,0.558220608,-0.746388245,-0.995022011
-0.123445258,-0.028881803,0.136273313,-0.054311138,2.59E-07,0.115436765,0.048787355,-0.510342483,0.558220608,-0.823567294,0.771745814
-0.123183211,-0.029128164,0.136341164,-0.055051019,-6.51E-06,0.115381788,0.049426693,-0.74571358,0.474023438,-0.823567294,0.070074775
-0.04138684,0.008589573,0.116239463,-0.079904705,2.97E-06,0.125301808,0.00460141,-0.980145071,0.558220608,-0.746388245,-2.089001507
-0.040565953,0.008153769,0.116048398,-0.081035131,4.22E-06,0.124863664,0.005424785,-0.862694424,0.558220608,-0.746388245,-0.722265013
-0.04053049,0.007847543,0.116063533,-0.081248863,-9.57E-07,0.124729585,0.005777141,-0.863164227,0.558220608,-0.746388245,-1.808214786
-0.080713101,-0.08749635,0.071103654,-0.111880142,-5.53E-09,0.072184508,-0.087079925,-0.745243777,0.558220608,-0.823567294,0.74668985
0.025305801,0.094044076,0.085298038,0.280043422,3.56E-08,0.095993994,0.057485469,-0.393361638,0.558220608,-0.823567294,-0.466982726
-0.194372931,-0.011407583,0.033120001,0.028304111,2.71E-06,0.138492675,0.029668245,-0.74571358,0.642417778,-0.78497777,0.658533459
-0.195116249,-0.012174229,0.032590465,0.028373162,-1.26E-05,0.138143364,0.031311389,-0.745243777,0.642417778,-0.750247198,-0.174255652
-0.194644424,-0.011618427,0.032660457,0.028202749,9.95E-06,0.138212049,0.030642863,-0.863164227,0.642417778,-0.746388245,-1.68005585
0.052821479,-0.071319238,-0.108995237,0.277672338,2.92E-10,0.074960722,-0.026187378,-0.702961544,0.810812118,-0.862156818,-0.635755966
0.118510102,0.096593693,-0.123390188,-0.308426861,-4.92E-10,0.063906849,-0.019850128,-0.796922062,0.895009288,-0.823567294,0.049142495
0.08753315,-0.010334159,0.019753967,-0.076705075,3.18E-05,-0.038356199,0.039570299,0.546243539,0.558220608,-0.823567294,0.17858236
0.087646087,-0.009787782,0.019302651,-0.075477059,7.45E-06,-0.038687379,0.038854584,-0.863164227,0.558220608,-0.839003104,-0.556886994
0.086840075,-0.009849355,0.018879023,-0.074559881,-4.03E-05,-0.039253471,0.039060019,-0.74571358,0.558220608,-0.823567294,0.209732985
-0.063903843,-0.021388919,-0.001627653,0.017675679,2.83E-06,-0.058733556,0.087428616,-0.745243777,0.558220608,-0.842862056,-2.107852395
0.097277602,0.039901394,0.022571941,0.129342852,3.38E-05,0.086016741,0.009888488,-0.299870923,0.474023438,-0.746388245,0.741434201
0.097532716,0.039515867,0.02241027,0.129353564,-3.39E-05,0.085820449,0.00954001,-1.12155565,0.474023438,-0.750247198,0.931714975
0.058541045,-0.090579626,0.029159398,0.051484594,-6.79E-07,0.091351672,-0.078755758,-0.886184553,0.558220608,-0.746388245,1.029045123
-0.130400428,-0.02492708,-0.013069636,0.015321204,1.44E-11,0.064569817,-0.070651274,1.720280207,-0.873131283,0.87437177,-0.302525911
-0.155628192,0.012562458,-0.00301414,0.038329888,8.95E-11,0.060340894,-0.101996769,0.07644095,-0.620539773,0.920679199,-1.103443883
0.005983492,0.030120893,-0.044668071,-0.035599739,-2.95E-06,0.079717223,-0.012574132,-0.041009697,-0.115356753,0.334118431,0.46102593
0.00555755,0.030024982,-0.044478751,-0.035602691,-1.74E-06,0.079558186,-0.012080015,-0.510812285,-0.115356753,0.357272146,0.416328057
-0.050425589,-0.113976897,-0.033523251,0.17724673,8.65E-06,0.074706629,0.008567425,0.663694186,-0.367948263,0.480758623,0.732396293
-0.075323792,-0.00740109,-0.023967021,-0.014911553,2.20E-06,0.069150243,0.035433313,0.193891597,-0.367948263,0.565655576,0.776328112
0.006604087,0.030294262,-0.044933676,-0.035568292,-6.21E-06,0.079976423,-0.013577067,0.310872442,-0.115356753,0.334118431,0.494715891
0.017795847,0.005111633,0.121196099,0.006205036,7.39E-07,-0.068140335,0.074036827,1.485378913,-1.125722793,1.264125964,0.94700092
0.017835972,0.00531206,0.121081517,0.006315912,3.93E-07,-0.067954425,0.074092729,1.368398069,-1.125722793,1.43391987,0.536946659
0.017877539,0.00600336,0.120554762,0.00630412,-8.81E-07,-0.067271221,0.07420334,1.837730855,-1.715102983,1.80052035,0.572697827
0.017837985,0.005892282,0.120688171,0.006161668,-6.04E-07,-0.067417429,0.074177452,1.485378913,-1.715102983,1.723341302,0.31739783
-0.054808047,0.025125088,0.119723076,0.033072719,9.84E-11,-0.062327304,-0.029966961,1.72075001,-1.967694493,1.970314256,0.619210388
-0.116174398,-0.011992336,0.118391599,0.043848494,2.09E-10,-0.057427471,-0.102704571,1.955181502,-2.051891663,1.985750066,-0.321968231
0.017558628,0.005628419,0.120939337,0.005047552,9.66E-08,-0.067785333,0.073997997,1.720280207,-1.378314303,1.183087963,0.70753592
0.017489156,0.005600596,0.120936729,0.004764319,1.64E-07,-0.067820487,0.073950456,1.367928266,-1.209919963,1.426201965,0.698663481
-0.097524568,-0.017437414,-0.207031746,0.006769178,-4.93E-11,-0.095827189,-0.164513444,-0.327589276,0.895009288,-0.78497777,-1.218899707
0.026747939,-0.009263743,-0.212386364,-0.082064185,1.87E-05,-0.084758167,0.134436121,-0.233628758,0.895009288,-0.78497777,-0.667855506
-0.061494733,0.02040118,-0.206731473,-0.057618507,-1.86E-05,-0.085677858,0.078286104,-0.421549793,0.895009288,-0.78497777,1.213974312
-0.099665068,-0.034154508,0.145198256,0.06081501,-4.12E-09,-0.128728083,0.044672727,0.893427652,-0.031159583,0.168183477,1.527768855
0.03402343,0.025863126,0.157278853,-0.033054012,1.49E-09,-0.119861426,-0.240359564,-0.233628758,-0.199553923,0.256939383,-0.096569871
0.074042905,-0.02418871,0.155700168,-0.099547039,-8.40E-10,-0.112648825,0.04619964,-0.534302415,-0.199553923,0.233785668,0.703965094
-0.033143062,0.006893151,-0.028087241,-0.055429868,-2.83E-07,0.049570671,-0.189954086,0.029460691,0.726614948,-0.669209197,-0.806609224
0.059175587,-0.055807372,-0.028317105,-0.119082348,9.28E-10,0.048240857,0.28623364,-0.252890664,0.726614948,-0.669209197,-1.095419723
-0.135024558,0.022515361,-0.085330606,-0.111567379,-5.45E-06,-0.011588863,0.04445955,-1.379477271,0.726614948,-0.669209197,-2.044746892
-0.13512153,0.022579226,-0.0854177,-0.111504014,5.42E-06,-0.011547293,0.044320719,-1.191556236,0.726614948,-0.707798721,-1.658718079
0.019083438,-0.319351679,0.014507304,0.023384186,0.707106669,-0.079472776,-0.013988632,-1.004105003,0.642417778,-0.707798721,-0.495820837
-0.004526384,0.488910605,0.005842515,0.007626754,2.48E-08,-0.088716866,0.00179387,-1.285986556,0.642417778,-0.707798721,-0.999982942
0.01908352,-0.319379629,0.014507285,0.023383984,-0.707106819,-0.079472528,-0.013988703,-0.72222345,0.642417778,-0.707798721,2.263499812
