PCNM7,PCNM3,PCNM8,PCNM15,PCNM48,PCNM10,PCNM4,PCNM34,PCNM5,TEMPSD,uniqueness
0.044044036,0.010030911,0.037160788,-0.116174398,4.62E-06,0.020505778,-0.057427471,-0.101137826,0.118391599,-1.756792671,-0.314651213
0.069527509,0.013820676,-0.001920339,0.017558628,-0.00491996,0.014092753,-0.067785333,-0.023409359,0.120939337,-0.958332198,0.173009904
0.069705085,0.013823468,-0.001994704,0.017489156,-0.006291381,0.014184245,-0.067820487,-0.023395018,0.120936729,-1.561251331,-0.375944539
0.068432844,0.102327481,-0.167740961,-0.097524568,-6.11E-06,0.026665854,-0.095827189,-0.01326561,-0.207031746,2.202919469,0.983908034
0.072331777,0.104013866,-0.164416796,0.026747939,0.077736778,0.005880591,-0.084758167,0.01943497,-0.212386364,1.958492794,0.147818002
0.080264642,0.104357822,-0.157026826,-0.061494733,-0.07755181,0.033951878,-0.085677858,-0.04274535,-0.206731473,1.958492794,0.434520924
0.225740361,0.005177866,0.024624048,-0.099665068,2.94E-05,0.06084897,-0.128728083,0.111659712,0.145198256,1.306688326,1.769864185
0.202697698,0.004816576,0.077351787,0.03402343,2.27E-06,0.048240736,-0.119861426,-0.024743448,0.157278853,1.013376316,0.683350369
0.188234437,0.006132775,0.076541029,0.074042905,1.37E-06,0.051685317,-0.112648825,0.012945901,0.155700168,1.013376316,1.812982223
0.1964552,0.004977723,0.021757309,-0.033143062,-5.68E-05,-0.017013733,0.049570671,-0.015880786,-0.028087241,1.502229666,1.297885133
0.209779302,-0.003658067,0.069843988,0.059175587,1.49E-05,-0.033610897,0.048240857,-0.013637595,-0.028317105,1.502229666,0.265827588
0.148262309,-0.128974098,0.13739455,-0.135024558,0.058257138,-0.071278606,-0.011588863,0.074769401,-0.085330606,0.231210955,1.541149957
0.148298629,-0.129085196,0.137430676,-0.13512153,-0.05874868,-0.071198785,-0.011547293,0.074579403,-0.0854177,0.231210955,1.693110413
-0.008134765,-0.003639306,-0.070277292,0.019083438,-0.000179825,-0.490145839,-0.079472776,0.004395346,0.014507304,1.355573661,0.26358353
-0.036173369,-0.007793189,-0.10656663,-0.004526384,-7.71E-05,-0.508871074,-0.088716866,-0.016829891,0.005842515,1.355573661,2.194459725
-0.008134532,-0.00363929,-0.070276516,0.01908352,-0.000155999,-0.490140636,-0.079472528,0.004396623,0.014507285,1.355573661,1.276495424
