Familia,genero,Especie,coespec,AF(mm2),AFE(mm2mg-1),CFMS(Mgg-1),DM(gcm3-1),N(mgg-1),P(mgg-1),rasgo de:
COMBRETACEAE,Terminalia,cf.oblonga,TERMOL,5512.7,14.72,427.8,0.53,24.9,1.6,ADINA
COMBRETACEAE,Terminalia,sp.,TERMSP,3944.16,16.07,350.5,0.65,24.24,1.58,
BURSERACEAE,Tetragastris,panamensis,TETRPA,60288.54,12.25,520,0.76,16.09,0.64,FERNANDO
STERCULIACEAE,Theobroma,angustifolium,THEOAN,10815.4,15.33,472.01,0.49,23,1.4,ADINA
STERCULIACEAE,Theobroma,sp.,THEOSP,17632.42,12.8,435.13,0.48,22.2,1.2,
Clusiaceae,Tovomita,weddelliana,TOVOWE,15067.11,13.52,369.65,0.56,18.36,0.89,
ANNONACEAE,Unonopsis,pittieri,UNONPI,9687.8,14.86,427.94,0.42,29.9,1.5,ADINA
ANNONACEAE,Unonopsis,sp.,UNONSP,9687.8,14.86,427.94,0.42,29.9,1.5,
HUMIRIACEAE,Vantanea,barbourii,VANTOC,4863.8,5.96,502.49,0.79,15,0.4,ADINA
FABACEAE/PAP.,Vatairea,lundellii,VATALU,32248.15,12.92,451.42,0.7,21.4,0.8,ADINA
MYRISTICACEAE,Virola,koschnyi,VIROKO,21919.11,12.89,320,0.41,19.27,0.79,FERNANDO
MYRISTICACEAE,Virola,multiflora,VIROMU,3262.96,14.81,412.78,0.45,21.4,0.7,ADINA
MYRISTICACEAE,Virola,sebifera,VIROSE,19451.62,17.19,320,0.37,27.17,1.07,FERNANDO
MYRISTICACEAE,Virola,sp.,VIROSP,14877.9,14.96,350.93,0.41,22.61,0.85,
VERBENACEAE,Vitex,cooperi,VITECO,14796.25,15.74,300,0.51,24.75,1.89,FERNANDO
VOCHYSIACEAE,Vochysia,allenii,VOCHAL,3400.96,9.3,391.14,0.37,2.3,0.7,ADINA
VOCHYSIACEAE,Vochysia,ferruginea,VOCHFE,4042.13,13.18,370,0.31,21.84,0.76,FERNANDO
VOCHYSIACEAE,Vochysia,guatemalensis,VOCHGU,7888.38,11.27,301.76,0.38,23.6,1.3,AQUINO
ARECACEAE,Welfia,regia,WELFRE,3553833.17,8.63,440,0.12,17.7,0.77,FERNANDO
ANNONACEAE,Xylopia,sericophylla,XYLOSE,1955.46,15.99,450,0.54,23.92,0.81,FERNANDO
RUTACEAE,Zanthoxylum,panamense,ZANTPA,45713.7,15.91,367.48,0.49,28.1,1.5,ADINA
Fabaceae/Mim.,Zygia,sp.,ZYGISP,38014.91,16.23,471.14,0.53,31.41,1.16,
