Familia,genero,Especie,coespec,AF(mm2),AFE(mm2mg-1),CFMS(Mgg-1),DM(gcm3-1),N(mgg-1),P(mgg-1),rasgo de:
FABACEAE/PAP.,Dipteryx,panamensis,DIPTPA,29148.11,11,446.37,0.87,25.6,1.4,ADINA
FABACEAE/PAP.,Dussia,sp.01,DUSS01,122491.92,13.41,320,0.55,28.23,2.3,
FABACEAE/PAP.,Dussia,sp.02,DUSS02,122491.92,13.41,320,0.55,28.23,2.3,
FABACEAE/PAP.,Dussia,macroprophyllata,DUSSMA,122491.92,13.41,320,0.55,28.23,2.3,FERNANDO
CLUSIACEAE,Dystovomita,paniculata,DYSTPA,33818.67,13.81,190,0.47,17,0.79,FERNANDO
SAPOTACEAE,Elaeoluma,glabrescens,ELAEGL,5091.08,8.47,397.09,0.6,16.3,0.7,ADINA
FABACEAE/MIM.,Enterolobium,schomburgkii,ENTESC,8408.24,6.58,548.59,0.58,34,0.9,ADINA
LECYTHIDACEAE,Eschweilera,sp.01,ESCH01,7608.16,8.74,469.77,0.69,22.3,0.9,
LECYTHIDACEAE,Eschweilera,sp.02,ESCH02,7608.16,8.74,469.77,0.69,22.3,0.9,
LECYTHIDACEAE,Eschweilera,sp.03,ESCH03,7608.16,8.74,469.77,0.69,22.3,0.9,
LECYTHIDACEAE,Eschweilera,calyculata,ESCHCA,7608.16,8.74,469.77,0.69,22.3,0.9,
LECYTHIDACEAE,Eschweilera,integrifolia,ESCHIN,7608.16,8.74,469.77,0.69,22.3,0.9,
LECYTHIDACEAE,Eschweilera,longirachis,ESCHLO,7608.16,8.74,469.77,0.69,22.3,0.9,ADINA
MYRTACEAE,Eugenia,sp.01,EUGE01,3379.34,13.7,351.94,0.73,23.9,0.9,
ARECACEAE,Euterpe,precatoria,EUTEPR,2190170.22,8.97,470,0.6,19.78,1.01,FERNANDO
MORACEAE,Ficus,sp.,FICUSP,9257.55,17.77,421.93,0.63,24.64,0.95,
CLUSIACEAE,Garcinia,madruno,GARCMA,5519.12,9.93,482.13,0.66,18.5,1,ADINA
CLUSIACEAE,Garcinia,sp.,GARCSP,5519.12,9.93,482.13,0.66,18.5,1,
TILIACEAE,Goethalsia,meiantha,GOETME,9545.35,27.5,380,0.36,33.05,0.74,FERNANDO
LECYTHIDACEAE,Grias,cauliflora,GRIACA,86514.16,9.26,295.9,0.55,17.4,1.4,ADINA
MELIACEAE,Guarea,sp.01,GUAR01,61130.53,17.45,344.81,0.61,28.11,1.5,
MELIACEAE,Guarea,sp.02,GUAR02,61130.53,17.45,344.81,0.61,28.11,1.5,
MELIACEAE,Guarea,sp.03,GUAR03,61130.53,17.45,344.81,0.61,28.11,1.5,
MELIACEAE,Guarea,bullata,GUARBU,34307.03,24.21,370.5,0.6,26.6,1.7,ADINA
MELIACEAE,Guarea,gentryi,GUARGE,60481.21,15.3,398.52,0.61,25.6,1.1,ADINA
MELIACEAE,Guarea,glabra,GUARGL,72124.2,18.19,300,0.67,28.38,1.59,FERNANDO
MELIACEAE,Guarea,grandifolia,GUARGR,61130.53,17.45,344.81,0.61,28.11,1.5,
MELIACEAE,Guarea,aff.hoffmanniana,GUARHO,61130.53,17.45,344.81,0.61,28.11,1.5,
