PCNM10,PCNM8,PCNM3,PCNM4,PCNM13,PCNM15,PCNM35,PCNM9,TEMPSD,TEMPMIN,Mg,fdiv
-0.033134008,0.155634444,-0.142599927,0.033598171,0.126310996,0.157713224,0.037633395,-0.021122871,0.166030508,0.221431927,1.434303459,0.896547393
-0.023733464,0.142424162,-0.142646304,0.029884005,0.047025119,0.130512702,-0.033469131,-0.007987587,-0.078396167,-0.031159583,0.006620968,0.735359956
-0.023661863,0.142533033,-0.142666635,0.029345837,0.046699263,0.130111326,-0.034028318,-0.007200172,0.003079391,0.053037587,3.481348207,0.994133925
-0.023540974,0.142522953,-0.142723533,0.029328982,0.046725561,0.130280168,-0.034116336,-0.007213059,0.003079391,0.053037587,2.547055989,1.215629595
0.063157573,0.006059162,-0.157560345,-0.060009491,0.040378165,0.169966695,0.006059117,0.001754342,-0.257642396,0.642417778,-0.171839343,1.237974738
0.06312398,0.006172011,-0.15759371,-0.05998685,0.040385258,0.170018939,0.00606797,0.001787884,-0.159871726,0.642417778,-0.003876697,0.620596457
0.062974733,0.004530185,-0.157209162,-0.060742254,0.040067313,0.167783239,0.006462071,0.002566352,-0.502069071,0.558220608,-0.329304324,1.227040775
0.040023545,-0.015330348,-0.162945734,-0.02909931,-0.031584445,-0.103486666,-0.008906118,0.05360638,-0.143576614,0.642417778,-0.22432767,1.384794412
0.039782898,-0.014695224,-0.163075527,-0.028780261,-0.031749063,-0.103854003,-0.009013649,0.053735536,0.214915843,0.642417778,-0.255820666,-0.118563873
0.039997109,-0.014857894,-0.163041395,-0.028706677,-0.031725384,-0.103642161,-0.00913966,0.053426868,-0.143576614,0.642417778,-0.203332339,-0.394853614
0.039700403,-0.014058229,-0.163187189,-0.028290205,-0.031930363,-0.104078177,-0.009296006,0.053546588,0.214915843,0.642417778,-0.308308993,0.750669163
0.065618445,-0.170952196,-0.080223701,-0.12040185,-0.001290246,-0.048145818,0.012951355,0.029655548,-0.355413066,0.053037587,0.174583614,1.272881033
