PCNM16,PCNM7,PCNM3,PCNM18,CLAY,TEMPSD,ELEV,rao_sp
-0.086625126,0.123417465,-0.142599927,0.007382947,-0.122871541,0.166030508,-0.464684719,0.075538138
-0.01525989,0.088007126,-0.142646304,0.057198972,0.265270969,-0.078396167,-0.098084239,-0.925473408
-0.013013061,0.088067425,-0.142666635,0.058234959,-0.607443963,0.003079391,-0.256301289,-0.156330608
-0.012927333,0.087994056,-0.142723533,0.058143915,-0.025957057,0.003079391,-0.128955859,1.19438935
0.072596963,-0.075530553,-0.157560345,0.058556675,0.8656562,-0.257642396,-0.823567294,0.25809106
0.072703895,-0.07545406,-0.15759371,0.058665872,0.8656562,-0.159871726,-0.808131484,2.049002319
0.071888057,-0.076331617,-0.157209162,0.060417457,0.768741716,-0.502069071,-0.823567294,0.755072819
-0.02286747,-0.009912774,-0.162945734,-0.057535797,0.8656562,-0.143576614,-0.746388245,0.84143534
-0.022655396,-0.009217774,-0.163075527,-0.057840031,1.059485169,0.214915843,-0.746388245,-0.69308421
-0.022993291,-0.009377874,-0.163041395,-0.058776503,1.253314138,-0.143576614,-0.746388245,-1.375376016
-0.022754452,-0.008499298,-0.163187189,-0.059270826,0.671827231,0.214915843,-0.746388245,-0.665185524
-0.057028108,-0.161027459,-0.080223701,0.016937045,0.284169294,-0.355413066,-0.206134907,2.672014203
-0.056791766,-0.161167767,-0.08043906,0.016736931,-0.006089587,-0.502069071,-0.345057194,1.786612339
-0.057412058,-0.160713171,-0.079821342,0.017259544,0.574912747,-0.355413066,-0.5148511,0.987574238
-0.075090746,-0.167047733,-0.080600928,0.011639587,0.788124612,-0.029510832,-0.719375579,-0.096872619
0.092014083,-0.061874443,0.129384334,0.030114799,0.100031773,-0.127281502,-0.823567294,-1.687590163
-0.139439708,-0.021370273,0.152671469,-0.131304571,0.196946258,-0.127281502,-0.823567294,-0.879236428
0.091571122,-0.061688556,0.129295136,0.029726489,-0.142254438,-0.127281502,-0.823567294,-0.683383124
0.091207305,-0.061518268,0.129236211,0.029434603,-0.258551819,0.214915843,-0.823567294,-1.309641874
-0.13492125,0.017855368,0.174923597,-0.136351371,1.253314138,-0.371708178,-0.823567294,1.044804456
-0.134975842,0.017706968,0.175000705,-0.136419408,0.8656562,0.100850061,-0.823567294,-0.542115831
-0.134546347,0.017446016,0.174713185,-0.136378783,0.8656562,0.28009629,-0.823567294,0.397367309
0.157088673,-0.007631778,-0.02134474,-0.173804452,0.545838401,1.143737209,-0.209993859,-0.482033623
0.157787105,-0.00796082,-0.021221289,-0.17360159,0.545838401,0.654883859,-0.248583384,-1.449071499
-0.013447055,-0.000384447,-0.020842521,0.056654467,0.085979173,0.817834976,-0.190699097,-0.534910251
-0.01346621,-0.000817128,-0.020710587,0.057800109,0.933496339,0.817834976,-0.128955859,0.369679041
0.043616795,-0.016459625,-0.052385502,0.039959155,-1.73116741,-2.32712158,1.858404636,0.47730617
