PCNM7,PCNM4,PCNM5,PCNM8,PCNM16,PCNM10,TEMPMIN,TEMPSD,PRECDRIEST,PREC,data_parcelas_qeco,ELEV,cwm_afe,cwm_cfms,cwm_dm,cwm_n,cwm_p
0.123417465,0.033598171,-0.060511407,0.155634444,-0.086625126,-0.033134008,0.221431927,0.166030508,-0.254414923,0.071617362,-0.122871541,-0.464684719,0.084157739,-0.623499113,-2.162800636,0.97245365,0.782400457
0.088007126,0.029884005,-0.058424649,0.142424162,-0.01525989,-0.023733464,-0.031159583,-0.078396167,0.203676219,1.082592345,0.265270969,-0.098084239,-0.79794774,0.776414493,0.648001736,-0.2962086,-0.855971991
0.088067425,0.029345837,-0.058847505,0.142533033,-0.013013061,-0.023661863,0.053037587,0.003079391,0.020439762,0.678202352,-0.607443963,-0.256301289,-0.015499174,-0.593179785,-0.75443687,0.902418143,1.041051953
0.087994056,0.029328982,-0.058910886,0.142522953,-0.012927333,-0.023540974,0.053037587,0.003079391,0.020439762,0.364800107,-0.025957057,-0.128955859,0.154361239,-0.782884591,-0.094072124,1.330152622,1.436217683
-0.075530553,-0.060009491,-0.124810003,0.006059162,0.072596963,0.063157573,0.642417778,-0.257642396,-1.873003627,-1.084264036,0.8656562,-0.823567294,-1.808580219,0.84740231,2.139545566,-1.033400759,-1.443295631
-0.07545406,-0.05998685,-0.124825951,0.006172011,0.072703895,0.06312398,0.642417778,-0.159871726,-1.842464218,-1.084264036,0.8656562,-0.808131484,-2.081756008,-0.055686702,1.732760887,-1.812687907,-1.33085613
-0.076331617,-0.060742254,-0.125011349,0.004530185,0.071888057,0.062974733,0.558220608,-0.502069071,-1.811924808,-1.202211118,0.768741716,-0.823567294,-1.894882899,1.206968027,0.80433467,-0.909455613,-1.199608971
-0.009912774,-0.02909931,-0.116486281,-0.015330348,-0.02286747,0.040023545,0.642417778,-0.143576614,-1.68976717,-1.438105281,0.8656562,-0.746388245,-0.331521536,0.770085907,1.671743185,-0.729410821,-1.025573469
-0.009217774,-0.028780261,-0.116414777,-0.014695224,-0.022655396,0.039782898,0.642417778,0.214915843,-1.628688351,-1.333637866,1.059485169,-0.746388245,-0.912584374,0.974716412,-0.61303077,-0.611523654,-0.406842153
-0.009377874,-0.028706677,-0.116325452,-0.014857894,-0.022993291,0.039997109,0.642417778,-0.143576614,-1.68976717,-1.26960945,1.253314138,-0.746388245,-0.414639448,1.001639019,-0.136124157,0.620775673,-0.023578708
-0.008499298,-0.028290205,-0.116208861,-0.014058229,-0.022754452,0.039700403,0.642417778,0.214915843,-1.628688351,-1.26960945,0.671827231,-0.746388245,-1.051021799,0.861684235,0.046453483,0.352435724,0.552234223
-0.161027459,-0.12040185,-0.100732081,-0.170952196,-0.057028108,0.065618445,0.053037587,-0.355413066,-1.231676027,-0.369841715,0.284169294,-0.206134907,-0.966545974,0.65965932,1.637046844,-1.720796692,-1.159702746
-0.161167767,-0.120475407,-0.100998973,-0.17096657,-0.056791766,0.065955718,0.137234757,-0.502069071,-1.231676027,-0.379951464,-0.006089587,-0.345057194,-0.224397432,-0.541441089,0.527472949,-1.220496962,-0.93553812
-0.160713171,-0.120248935,-0.100226055,-0.170861876,-0.057412058,0.064980038,0.053037587,-0.355413066,-1.231676027,-0.369841715,0.574912747,-0.5148511,-0.668331831,0.289375029,1.474663021,-1.57461521,-1.340733306
-0.167047733,-0.126850128,-0.100192383,-0.191169545,-0.075090746,-0.070208879,0.642417778,-0.029510832,-2.086779494,-2.068279687,0.788124612,-0.719375579,-0.850817851,1.219088283,1.074509322,-0.263672228,-0.694936247
