"","PCNM5","PCNM10","PCNM3","PCNM7","PCNM36","PCNM49","PCNM51","SAND","TEMPSD","PRECCV","ELEV","feve_sp"
"1",-0.0605114069231723,-0.0331340075709584,-0.142599926566264,0.12341746538846,0.0813892388867327,0.104233487228239,-0.0459173789879477,-0.102084033319911,0.166030508060289,0.148854647446062,-0.464684719035487,0.0528759465795741
"2",-0.0584246494691944,-0.0237334635197287,-0.142646304296454,0.0880071255589574,-0.0550855245244913,-0.16742559880385,0.0106435018192384,-0.384435388994967,-0.0783961672525779,-0.0364839822171715,-0.0980842393936147,0.056832119112846
"3",-0.0588475047774486,-0.0236618631666805,-0.142666634880075,0.0880674253683875,-0.0544609854953896,0.145706797293876,-0.0172358657507991,0.0858370020711411,0.00307939118504451,0.148854647446062,-0.256301288502212,0.153417536038832
"4",-0.0589108864396483,-0.0235409741960146,-0.142723532659167,0.0879940555973848,-0.054675447240816,-0.0784468590866802,0.0457796497942232,-0.571886621797541,0.00307939118504451,0.148854647446062,-0.128955858731878,-1.25211195543111
"5",-0.12481000335092,0.0631575728164553,-0.157560345264787,-0.0755305532163138,0.00307835451851578,-0.0319794716558224,0.000516121778934304,-0.665847139493067,-0.257642395815347,1.26088642542546,-0.823567293842793,0.911470087637958
"6",-0.124825951199813,0.0631239799122394,-0.157593709539721,-0.075454060200756,0.00317581584237701,0.0860163317730674,-0.0383699081526906,-0.684639243032173,-0.1598717256902,1.26088642542546,-0.808131484173661,-0.0344652506864327
"7",-0.125011349068464,0.0629747327506698,-0.157209161535488,-0.0763316170764288,0.00554282694176323,-0.0543683384029461,0.0382484935047032,-0.496248405052643,-0.502069071128214,1.44622505508869,-0.823567293842793,1.33158365219882
"8",-0.116486281357633,0.0400235451227753,-0.162945734147368,-0.00991277449253582,-0.008263569987427,-0.0813515355857847,0.0187677136362191,-0.684639243032173,-0.143576614002676,1.26088642542546,-0.746388245497135,0.161918687264089
"9",-0.116414777004401,0.039782897987017,-0.163075527016696,-0.00921777369215955,-0.00839741064961082,0.326288992970184,-0.093840517311032,-0.966520796118751,0.214915843122863,1.26088642542546,-0.746388245497135,1.09559905611422
"10",-0.116325452184886,0.0399971090453049,-0.163041394915282,-0.00937787404675265,-0.00938040228703873,-0.346773185550977,0.0992083476384144,-1.15397202892133,-0.143576614002676,1.26088642542546,-0.746388245497135,-1.3932442861351
"11",-0.116208861400255,0.0397004025825148,-0.16318718935667,-0.00849929845198961,-0.00967470403420744,0.0997074507342286,-0.0233661711852973,-0.590678725336647,0.214915843122863,1.26088642542546,-0.746388245497135,-0.325750237286735
"12",-0.100732081148471,0.065618444698787,-0.0802237010155381,-0.161027459442815,0.0156625537851855,-0.0255148914519161,0.010102847263853,-0.590678725336647,-0.355413065940494,1.07554779576223,-0.206134907077535,0.629471870274764
"13",-0.100998972703586,0.065955717709429,-0.0804390603343348,-0.16116776717261,0.01527376032378,-0.0338158516577268,0.019846450176727,-0.121345939447494,-0.502069071128214,1.07554779576223,-0.345057194099718,0.909833860745799
"14",-0.10022605487124,0.0649800384383978,-0.0798213424643938,-0.160713170858329,0.0162804331693505,0.0620475504862251,-0.0311245780732163,-1.26672465015596,-0.355413065940494,1.07554779576223,-0.514851100460164,-1.57810368284678
