PCNM4,PCNM2,PCNM6,PCNM16,PCNM5,PCNM9
0.138212049,0.022661564,-0.061201906,-0.057365445,0.032660457,0.072444143
0.074960722,-0.081999307,0.105783595,0.16166485,-0.108995237,0.038755591
0.063906849,-0.068186041,0.087314422,-0.099689304,-0.123390188,0.088090886
-0.038356199,-0.022402521,0.059744381,0.072900007,0.019753967,-0.019937479
-0.038687379,-0.022446244,0.059807829,0.072472089,0.019302651,-0.019481672
-0.039253471,-0.022407657,0.059544484,0.072565904,0.018879023,-0.019589788
-0.058733556,-0.023673384,0.084180692,0.202048028,-0.001627653,0.025414309
0.086016741,0.041098624,-0.094240192,0.002387193,0.022571941,-0.163240995
0.085820449,0.041091002,-0.09401666,0.002546666,0.02241027,-0.163157221
0.091351672,0.040568013,-0.090826485,-0.104609026,0.029159398,-0.147561984
0.064569817,-0.072621712,0.01848035,-0.121125932,-0.013069636,-0.117573063
0.060340894,-0.065088031,0.024627892,-0.144152794,-0.00301414,-0.112732406
0.079717223,-0.086640909,0.039469017,-0.018815514,-0.044668071,-0.086312068
0.079558186,-0.086814404,0.039515488,-0.019151349,-0.044478751,-0.086471597
0.074706629,-0.083809767,0.027176947,0.03616961,-0.033523251,-0.107276176
0.069150243,-0.080122314,0.012291678,-0.055504821,-0.023967021,-0.116389258
0.079976423,-0.086244956,0.039275309,-0.018567217,-0.044933676,-0.085990791
-0.068140335,0.162199399,0.043707871,0.041803931,0.121196099,0.043265605
-0.067954425,0.162363942,0.04339361,0.041471678,0.121081517,0.043782096
-0.067271221,0.162882761,0.042164754,0.040492036,0.120554762,0.045381327
-0.067417429,0.162837061,0.042409473,0.04080001,0.120688171,0.044987847
-0.062327304,0.160028326,0.044666228,-0.041814498,0.119723076,0.020172766
-0.057427471,0.156705972,0.046984053,-0.110888034,0.118391599,-0.007258781
-0.067785333,0.162743205,0.042905477,0.042037516,0.120939337,0.043555556
-0.067820487,0.162727838,0.042923975,0.042262194,0.120936729,0.043309037
-0.095827189,0.040835959,-0.24224034,0.045990102,-0.207031746,-0.077436605
-0.084758167,0.044278646,-0.240684574,0.027192366,-0.212386364,-0.040485772
-0.085677858,0.050212351,-0.234496017,-0.143375341,-0.206731473,-0.082806032
-0.128728083,0.087126288,0.134218061,-0.010079928,0.145198256,-0.136498473
-0.119861426,0.101729364,0.149519789,-0.041479286,0.157278853,-0.082015542
-0.112648825,0.11371503,0.140694034,0.116402919,0.155700168,-0.09029199
0.049570671,-0.174133878,0.173578548,-0.057764265,-0.028087241,-0.032744681
0.048240857,-0.174544853,0.16670271,-0.124806884,-0.028317105,-0.054981729
-0.011588863,0.037313607,-0.033937136,0.178691113,-0.085330606,0.149450581
-0.011547293,0.037346507,-0.033922934,0.178729861,-0.0854177,0.149583966
-0.079472776,0.000712209,0.033275323,0.0105109,0.014507304,-0.175204453
-0.088716866,0.001591078,0.067423963,-0.03183535,0.005842515,-0.178066766
-0.079472528,0.000712206,0.03327496,0.010511588,0.014507285,-0.175202849
