Ca,Mg,K,P,OrganicMatter,SAND,LIMO,CLAY,pH,ACIDITY
0.129,0.159,0.046,0.92,5.3,16.52,12.5,70.99,4.47,3.608
0.11,0.196,0.076,2.67,6.14,19.02,20,60.99,4.36,3.436
0.204,0.255,0.101,1.73,5.48,19.01,17.5,63.49,4.44,3.361
0.061,0.185,0.042,2.32,5.35,21.52,15,63.49,4.36,3.951
0.144,0.242,0.079,4.56,7.5,29.01,15,55.99,4.26,4.02
0.113,0.114,0.049,3.49,5.43,21.51,17.5,60.99,4.3,3.72
0.177,0.139,0.039,1.34,4.27,21.52,15,63.49,4.48,3.171
0.151,0.209,0.066,3.89,7.22,19.01,17.5,63.49,4.17,5.248
0.25,0.2,0.04,2.2,4.93,22.42,15.6,61.99,4.5,2.66
0.42,0.17,0.04,2,4.27,20.42,13.6,65.98,4.6,2.53
0.311,0.279,0.103,3.37,11.04,49.01,17.5,33.5,4.56,2.328
0.1,0.112,0.038,1.96,4.27,19.01,15,65.99,4.38,3.774
0.148,0.134,0.054,2.88,5.61,21.51,17.5,60.99,4.27,4.511
0.278,0.157,0.066,1.3,4.21,21.52,15,63.49,4.41,3.338
0.368,0.422,0.089,6.75,9.77,31,13,56,4.4,4.425
0.122,0.158,0.036,0.88,3.75,13.51,13,73.49,5.44,2.867
0.154,0.228,0.064,2.79,5.86,18.52,13,68.49,4.3,3.829
0.277,0.184,0.118,3.92,14.23,74,10,16,4.26,3.679
0.076,0.083,0.03,0.47,3.61,39.01,17.5,43.49,4.72,1.329
0.115,0.222,0.059,1.48,6.05,36.51,15,48.5,4.48,2.848
0.153,0.186,0.062,1.86,5.6,26.51,25,48.49,4.28,3.937
0.156,0.237,0.072,3.26,10.15,51.51,17.5,30.99,4.57,2.685
0.192,0.237,0.073,2.33,7.57,41.51,20,38.49,4.52,2.567
0.22,0.15,0.118,3.86,7.29,44,17.5,38.5,4.33,2.177
0.201,0.176,0.103,2.99,13.83,69,12.5,18.5,4.44,1.731
0.193,0.156,0.109,2.26,8.98,66.51,12.5,21,4.4,2.044
0.356,0.215,0.11,2.17,16.21,76.5,12.5,11,4.79,1.568
0.234,0.201,0.148,1.86,9.56,69,12.5,18.5,4.56,1.897
0.141,0.249,0.109,3.44,18.76,74.01,17.5,8.5,4.3,2.524
0.233,0.14,0.08,0.89,23.88,79,17.5,3.5,4.7,0.564
0.629,0.171,0.087,2.61,14.11,74,10,16,4.6,1.584
1.166,0.35,0.093,1.47,8.54,66.5,12.5,21,4.94,1.999
0.7,0.41,0.05,1,4.22,30.41,14.8,54.79,4.8,4.19
0.24,0.15,0.07,3.5,5.39,32.41,12.8,54.79,4.3,5.13
0.17,0.1,0.05,2.5,4.58,28.41,12.8,58.79,4.4,4.89
0.18,0.14,0.04,2.3,7.1,56.4,13.6,30,4.4,2.92
0.22,0.18,0.02,1.5,3.66,32.41,15.6,51.99,4.8,1.35
0.27,0.12,0.02,1.1,1.99,26.01,12,62,4.8,2.83
0.31,0.15,0.04,1.8,3.39,38.01,15.6,46.39,4.7,1.77
0.24,0.13,0.07,3.9,3.27,32,15.6,52.4,4.5,2.06
0.4,0.2,0.04,1.7,3.4,8.02,13.6,78.38,4.6,2.29
0.38,0.24,0.04,1.5,3.37,12.02,13.6,74.39,4.5,2.64
1.46,0.49,0.14,1.9,4.53,16.01,13.6,70.39,4.6,2.31
1.39,0.6,0.07,2,4.48,10.01,13.6,76.39,4.6,2.72
1.18,0.59,0.08,1.9,4.03,22.01,17.6,60.39,4.7,1.77
