familia,genero,especie,autoridad,Estrato,Diseminacion,Rep.Vegetativa,Sist.Sexual,Polinizacion,Tasacrecimiento
RUBIACEAE,Psychotria,eurycarpa,Standl.,2,V(13),0,"H(1,2,3,15)","I(1,2,15)",5
RUBIACEAE,Psychotria,luxurians,Rusby,1,"V(13,15)",0,"H(1,15)",I(66),3
RUBIACEAE,Psychotria,panamensis,Standl.,1,V(13),0,H(1),I(66),3
FABACEAE/PAP.,Pterocarpus,rohrii,Vahl,3,"W(1,23)",1,"H(1,3)",I(1),6
VOCHYSIACEAE,Qualea,polychroma,Stafleu,4,W(66),0,H(33),I(33),2
BOMBACACEAE,Quararibea,bracteolosa,(Ducke)Cuatrec.,2,V(66),0,"H(1,3,15)","MA(1,15)",5
BOMBACACEAE,Quararibea,obliquifolia,(Standl.)Standl.,2,V(66),0,H(44),MA(22),5
BOMBACACEAE,Quararibea,ochrocalyx,(K.Schum.)Vischer,2,V(66),0,"H(1,3,15)","MA(1,15)",5
BOMBACACEAE,Quararibea,parvifolia,Standl.,2,na,0,"H(1,2,3)","MA(1,2)",5
QUIINACEAE,Quiina,schippii,Standl.,2,V(15),0,D(37),I(66),3
APOCYNACEAE,Rauvolfia,aphlebia,(Standl.)A.H.Gentry,2,V(66),0,H(44),I(33),1
APOCYNACEAE,Rauvolfia,purpurascens,Standl.,2,W(66),0,"H(1,3,15)","I(1,15)",3
LAURACEAE,Rhodostemonodaphne,kunthiana,(Nees)Rohwer,3,V(66),0,H(1),I(66),1
EUPHORBIACEAE,Richeria,obovata,(Mull.Arg.)Pax&K.Hoffm.,2,V(13),0,D(66),I(66),4
VIOLACEAE,Rinorea,dasyadena,A.Robyns,1,A(66),0,H(33),I(33),5
VIOLACEAE,Rinorea,squamata,S.F.Blake,1,A(66),1,H(33),I(33),5
ANNONACEAE,Rollinia,pittieri,Saff.,3,V(13)-NV(14),1,"H(1,15)",I(15),6
FLACOURTIACEAE,Ryania,speciosa,Vahl,2,V(15),0,"H(1,3)",I(15),5
HUMIRIACEAE,Sacoglottis,trichogyna,Cuatrec.,4,V(15),1,H(1),I(15),1
EUPHORBIACEAE,Sapium,aucuparium,Jacq.,3,V(13),1,M(41),I(66),6
EUPHORBIACEAE,Sapium,glandulosum,(L.)Morong,2,"V(13,15)",0,"M(1,15)","I(1,15)",5
FABACEAE/CAES.,Sclerolobium,costaricense,N.Zamora&Poveda,3,W(37),0,H(44),I(66),2
SIMAROUBACEAE,Simarouba,amara,Aubl.,4,V(34),1,"D(2,3,15)","I(2,4,15)",2
RUBIACEAE,Simira,maxonii,(Standl.)Steyerm.,2,"W(1,15)-NV(15)",0,"H(1,3,15)","I(1,4,15)",3
MONIMIACEAE,Siparuna,guianensis,Aubl.,2,V(13),1,"D(3,59)-M(33)",I(66),3
ELAEOCARPACEAE,Sloanea,geniculata,DamonA.Sm.,3,A(66)-V(13),0,H(1),I(15)W(66),3
ELAEOCARPACEAE,Sloanea,latifolia,(Rich.)k.Schum,3,A(66)-V(13),0,H(44),I(66)-W(66),4
ELAEOCARPACEAE,Sloanea,medusula,K.Schum.&Pittier,4,A(66)-V(13),0,"H(1,3)",I(15)-(66),5
ARECACEAE,Socratea,exorrhiza,(Mart.)H.Wendl.,3,V(13),0,"M(1,15)","I(1,15)",5
MORACEAE,Sorocea,cufodontisii,W.C.Burger,2,"V(13,33)",0,M(45),I(66),5
MORACEAE,Sorocea,pubivena,Hemsl.,2,"V(13,15)",0,"D(1,2,3,4,15)","W(1,2,4,15)",5
MALPIGHIACEAE,Spachea,correae,Cuatrec.&Croat,4,"W(1,33)",1,H(1),I(1),1
APOCYNACEAE,Stemmadenia,donnell-smithii,(Rose)Woodson,2,"V(13,33)",1,"H(1,2,3,15)","I(1,2,4,15)",5
STERCULIACEAE,Sterculia,apetala,(Jacq.)H.Karst.,2,A(66)-V(66),1,M(33),I(33),5
STERCULIACEAE,Sterculia,recordiana,Standl.,4,"NV(15,37)",0,"M(1,13,15,33)","I(1,33)",6
FABACEAE/MIM.,Stryphnodendron,microstachyum,Poepp.&Endl.,4,NV(15),1,"H(1,3)","I(1,15)",4
STYRACACEAE,Styrax,argenteus,C.Presl,2,V(66),0,H(37),I(66),1
FABACEAE/PAP.,Swartzia,cubensis,(Britton&P.Wilson)Standl.,4,V(37)-NV(37),0,"H(1,2,3,15)","I(1,2,4,15)",3
FABACEAE/PAP.,Swartzia,simplex,(Sw.)Spreng.,1,V(37)-NV(37),1,"H(1,2,3,15)","I(1,2,4,15)",5
