familia,genero,especie,autoridad,Estrato,Diseminacion,Rep.Vegetativa,Sist.Sexual,Polinizacion,Tasacrecimiento
CHLORANTHACEAE,Hedyosmum,scaberrimum,Standl.,1,V(46),0,"D(1,2,3,15)",I(15)-W(46),1
OLACACEAE,Heisteria,concinna,Standl.,1,V(13),1,"H(1,33)",I(669,6
MELASTOMATACEAE,Henriettea,tuberculosa,(Donn.Sm.)L.O.Williams,2,"V(9,13,15)",0,"H(1,2,3,15,33)","I(1,33)",6
HERNANDIACEAE,Hernandia,didymantha,Donn.Sm.,3,V(15),1,"M(1,3)","I(1,15)",1
HERNANDIACEAE,Hernandia,stenura,Standl.,4,V(15),0,"M(1,2,3,15)","I(1,2,15)",3
RUBIACEAE,Hippotis,albiflora,H.Karst.,1,V(66),0,D(51),I(66),5
CHRYSOBALANACEAE,Hirtella,lemsii,L.O.Williams&Prance,2,NV(15),1,"H(1,2,3,15)",I(15),5
CHRYSOBALANACEAE,Hirtella,media,Standl.,2,V(34),1,H(38),I(35),3
CHRYSOBALANACEAE,Hirtella,triandra,Sw.,3,NV(33),1,H(38),I(35),6
HUMIRIACEAE,Humiriastrum,diguense,Cuatrec.,4,V(66),0,H(44),I(66),6
EUPHORBIACEAE,Hyeronima,alchorneoides,Allemao,4,V(13),1,"D(1,15)","I(1,15)",1
EUPHORBIACEAE,Hyeronima,oblonga,(Tul.)Mull.Arg.,2,V(13),1,"D(2,3,15)","I(2,4,15)",1
FABACEAE/PAP.,Hymenolobium,mesoamericanum,H.C.Lima,4,"W(1,15)",0,H(1),I(15),3
AQUIFOLIACEAE,Ilex,skutchii,EdwinexT.R.Dudley&W.J.Hahn,4,V(13),0,"D(1,15)","I(1,15)",3
FABACEAE/MIM.,Inga,acuminata,Benth.,2,"V(25,33)",0,"H(1,15)","A(1,25)-I(15,25)",1
FABACEAE/MIM.,Inga,alba,(Sw.)Willd.,4,"V(25,33)",1,H(55),I(15)-A(25),4
FABACEAE/MIM.,Inga,allenii,JorgeLeón,4,"V(25,33)",0,H(55),I-A,4
FABACEAE/MIM.,Inga,chocoensis,KillipexT.S.Elias,2,"V(25,33)",0,H(55),A(25)-I(25),4
FABACEAE/MIM.,Inga,cocleensis,Pittier,2,"V(25,33)",1,"H(1,15)","A(1,25)-I(15,25)",6
FABACEAE/MIM.,Inga,densiflora,Benth.,2,"V(25,33)",0,"H(1,3)","A(1,25)-I(15,25,28)",6
FABACEAE/MIM.,Inga,edulis,Mart,2,"V(25,33)",0,H(1),"A(1,25)-I(25)",5
FABACEAE/MIM.,Inga,jinicuil,na,2,V(33),0,H(55),I-A(25),5
FABACEAE/MIM.,Inga,leiocalycina,Benth.,4,"V(25,33)",1,H(55),I(25)-A(25),6
FABACEAE/MIM.,Inga,mortoniana,JorgeLeón,2,"V(25,33)",0,H(1),"I(1,25,28)-A(25,28)",1
FABACEAE/MIM.,Inga,pezizifera,Benth.,3,"V(25,33)",1,"H(1,3,15)","A(1,25)-I(15,25)",4
FABACEAE/MIM.,Inga,punctata,Willd.,3,"V(25,33)",1,H(1),"I(1,25,28)-A(25,28)",4
FABACEAE/MIM.,Inga,samanensis,L.Uribe,2,"V(25,33)",1,H(55),"I(15,25)-A(25)",4
FABACEAE/MIM.,Inga,sapindoides,Willd.,2,"V(25,33)",1,"H(1,3)","I(1,25)-A(25)",1
FABACEAE/MIM.,Inga,sertulifera,DC.,2,"V(25,33)",1,H(1),"A(1,25)-I(15,25)",1
FABACEAE/MIM.,Inga,spectabilis,(Vahl)Willd.,2,"V(25,33)",1,H(15),"I(15,25)-A(15,25)",1
FABACEAE/MIM.,Inga,thibaudiana-thiboudiana?,DC.,2,"V(25,33)",1,"H(1,3,15)","A(1,25)-I(25)",6
FABACEAE/MIM.,Inga,umbellifera,(Vahl)Steud.,2,"V(25,33)",1,"H(1,3,15)","A(1,25)-I(15,25)",6
ARECACEAE,Iriartea,deltoidea,Ruiz&Pav.,3,V(13),0,"M(1,15)","I(1,15)",5
BIGNONIACEAE,Jacaranda,copaia,(Aubl.)D.Don.,2,"W(1,5,10,15)",1,"H(1,3,15)","I(1,15)",4
CARICACEAE,Jacaratia,costaricensis,I.M.Johnst,4,V(66),0,D(3),I(4),5
CARICACEAE,Jacaratia,dolichaula,(Donn.Sm.)Woodson,1,V(36),0,"D(1,2,3,15)","I(1,2,4,15)",5
CARICACEAE,Jacaratia,spinosa,(Aubl.)DC.,4,V(15),0,"D(2,15)","I(2,15)-MA(15)",2
FLACOURTIACEAE,Lacistema,aggregatum,(Bergius)Rusby,2,"V(6,13,15)",1,H(1),I(15),3
APOCYNACEAE,Lacmellea,panamensis,(Woodson)Markgr.,4,V(66),1,"H(1,2,3,15)","I(1,2,4,15)",4
QUIINACEAE,Lacunaria,panamensis,(Standl.)Standl.,2,V(66),0,"D(3,37)",I(66),3
FLACOURTIACEAE,Laetia,procera,(Poepp.)Eichler.,4,V(13),1,"H(1,2,3,15)","I(1,2,4,15)",6
FABACEAE/PAP.,Lecointea,amazonica,Ducke,3,V(37),0,H(44),I(66),3
LECYTHIDACEAE,Lecythis,ampla,Miers,4,NV(37)-V(37),0,"H(1,2,3,15)","I(1,2,4,15)",4
LAURACEAE,Licaria,aff.cufodontisii,Kosterm.,2,V(13),0,H(40),I(66),5
LAURACEAE,Licaria,aff.excelsa,Kosterm.,2,V(13),0,H(66),I(66),1
LAURACEAE,Licaria,aff.triandra,(Sw.)Kosterm.,2,V(13),0,H(1),I(1),na
LAURACEAE,Licaria,misantlae,(Brandegee)Kosterm.,2,V(13),0,H(40),I(66),3
LAURACEAE,Licaria,sarapiquensis,Hammel,2,V(13),0,H(1),I(1),5
FABACEAE/PAP.,Lonchocarpus,oliganthus,F.J.Herm.,2,"A(15)-W(1,15)",1,"H(1,2,3,15)","I(1,2,4,15)",5
FLACOURTIACEAE,Lozania,pittieri,(S.F.Blake)L.B.Sm.,2,V(66),0,"H(2,3)",I(66),5
FLACOURTIACEAE,Lunania,mexicana,Brandegee,2,V(66),0,D(21),I(66),3
FABACEAE/CAES.,Macrolobium,costaricense,W.C.Burger,2,NV(15),0,H(3),I(15),5
MORACEAE,Maquira,costaricana,(Standl.)C.C.Berg,2,V(33)-NV(33),1,"D(1,2,3,15,33)","W(1,33)",5
CHRYSOBALANACEAE,Maranthes,panamensis,(Standl.)Prance&F.White,4,NV(34),1,H(38),I(15),1
CLUSIACEAE,Marila,laxiflora,Rusby,2,W(33),0,H(15),I(66),3
SAPINDACEAE,Matayba,oppositifolia,(A.Rich.)Britton,4,V(13),1,P(41),I(33),4
FLACOURTIACEAE,Mayna,odorata,Aubl.,1,V866),0,D(48),I(66),5
SABIACEAE,Meliosma,brenesii,Standl.,2,V(66),0,H(60),I(66),1
SABIACEAE,Meliosma,donnellsmithii,Urb.,2,V(66),0,"H(1,2,3,15)","I(1,2,15)",5
SABIACEAE,Meliosma,vernicosa,(Liebm.)Griseb.,2,NV(15),0,H(60),I(66),4
MELASTOMATACEAE,Miconia,affinis,DC.,2,V(13),1,"H(1,2,3,33)","I(1,2,4,33)",6
MELASTOMATACEAE,Miconia,dorsiloba,Gleason,2,V(13),0,"H(1,2,3,33)","I(1,33)",5
MELASTOMATACEAE,Miconia,minutiflora,(Bonpl.)DC.,2,V(13),0,H(33),I(33),4
MELASTOMATACEAE,Miconia,multispicata,Naudin,2,V(13),1,"H(1,3,33)","I(1,33)",1
MELASTOMATACEAE,Miconia,punctata,(Desr.)D.Don,2,"V(13,15)",1,"H(3,33)",I(33),1
MELASTOMATACEAE,Miconia,simplex,Triana,1,V(9),1,"H(1,2,33)","I(1,33)",1
MELASTOMATACEAE,Miconia,stevensiana,Almeda,2,"V(13,15)",1,"H(1,3,33)","I(1,33)",5
SAPOTACEAE,Micropholis,crotonoides,(Pierre)Pierre,3,V(66),0,H(43),"I(15,33)",6
OLACACEAE,Minquartia,guianensis,Aubl.,4,NV(37),1,"H(1,33)",I(1),6
MONIMIACEAE,Mollinedia,costaricensis,Donn.Sm.,1,V(66),0,D(59),I(66),3
MONIMIACEAE,Mollinedia,pinchotiana,Perkins,1,V(66),1,D(59),I(66),3
TILIACEAE,Mortoniodendron,costaricense,Standl.&L.O.Williams,2,A(66)-V(66),0,H(3),I(33),5
MELASTOMATACEAE,Mouriri,gleasoniana,Standl.exStand.&Steyerm.,3,V(15),0,"H(1,33)","I(1,33)",5
MYRTACEAE,Myrcia,leptoclada,DC.,2,V(13),0,"H(27,50)",I(27),6
MYRTACEAE,Myrcia,splendens,(Sw.)DC.,2,"V(6,13,15)",1,"H(1,2,15,27,50)",I(27),3
MORACEAE,Naucleopsis,naga,Pittier,2,NV(37),0,"D(1,3,37)",I(66),5
LAURACEAE,Nectandra,cissiflora,Nees,3,V(13),1,"H(1,15)",I(66),6
LAURACEAE,Nectandra,glabrescens,Benth,3,V(13),0,H(58),I(66),5
LAURACEAE,Nectandra,membranacea,(Sw.)Griseb.,3,V(13),1,"H(1,3)",I(1),1
LAURACEAE,Nectandra,purpurea,(Ruiz&Pav.)Mez,3,V(13),1,H(58),I(66),2
LAURACEAE,Nectandra,salicina,C.K.Allen,4,"V(7,13)",0,H(58),I(66),3
LAURACEAE,Nectandra,umbrosa,(Kunth)Mez,2,V(13),1,H(58),I(66),6
NYCTAGINACEAE,Neea,elegans,P.H.Allen,1,V(13),0,D(40),I(66),3
