,ABARAD,ABARRA,ALCOFL,AMPEMA,ANDIIN,ANNOMO,APEIME,ARDIFI,ASPI01,ASPISP,ASPISR,BALIEL,BEIL01,BEILCO,BILLCO,BROSGU,BROSLA,BROSPA,BYRSAR,BYRSSP,CALOBR,CALTCO,CARAGU,CASEAR,CASESP,CECRIN,CECROB,CECRPE,CEDROD,CEIBPE,CESPSA,CHIMPA,CHRYCO,CLETCO,COCCTU,COJOCA,COJOCO,CONCPL,CONORU,CORDBI,CORDCY,CORDLU,CORDME,CORDSP,COUEPO,COUMMA,CROTSM,CUPALI,CUPASP,CYNORE,DENBBO,DENDAR,DENDSP,DIALGU,DICHMO,DIPTPA,DUSS01,DUSS02,DUSSMA,DYSTPA,ELAEGL,ENTESC,ESCH01,ESCH02,ESCH03,ESCHCA,ESCHIN,ESCHLO,EUGE01,FICUSP,GARCMA,GARCSP,GOETME,GRIACA,GUAR01,GUAR02,GUAR03,GUARBU,GUARGE,GUARGL,GUARGR,GUARHO,GUARKU,GUATAE,GUATRE,GUETSP,HAMPAP,HERNDI,HIRTME,HIRTSP,HIRTTR,HUMIDI,HYERAL,HYEROB,HYMEME,ILEXSK,INGA01,INGA02,INGA03,INGA04,INGA05,INGA06,INGA07,INGA08,INGA09,INGA10,INGAAC,INGAAE,INGAAL,INGACH,INGAJI,INGALE,INGAMO,INGAOE,INGAPE,INGASE,INGATH,JACACO,JACTCO,LACMPA,LACUPA,LAETPR,LECOAM,LECYAM,LICNAF,LICNHY,LICNKA,LICNSA,LICNSP,LONCFE,LONCSP,MACAMA,MACRCO,MACRHA,MACRSP,MANICH,MANIST,MANIZA,MARAPA,MARILA,MATASP,MAYTGU,MICOMU,MICRCR,MICRME,MINQGU,MORTAN,MOURGL,NAUCNA,NECTSP,OCHRPY,OCOTAT,OCOTIN,OCOTMA,OCOTSP,ORMOCC,ORMOIN,OTOBNO,PACHAQ,PARATR,PENTMA,PERAAR,PESCAR,PODOGU,POSOLA,POURBI,POURMI,POUT01,POUT02,POUT03,POUT04,POUT05,POUT06,POUT07,POUT08,POUT09,POUT10,POUT11,POUT12,POUT13,POUT14,POUT15,POUT16,POUT17,POUT18,POUTBE,POUTCA,POUTCM,POUTCU,POUTDU,POUTFP,POUTRE,POUTSI,POUTSP,POUTTO,PRADAT,PROTPA,PROTPI,PROTRA,PROTSC,PROTSP,PSEUSU,PSYCPA,PTEROF,PTERRO,QUALPO,QUARBR,QUAROB,QUETOC,RICHOB,ROLLPI,RUPTCA,SACOTR,SAPIGL,SAPIRI,SAPISP,SCLECO,SIMAAM,SLOAGU,SLOAMI,SLOARU,SLOASP,SPACCO,SPONMO,STEPCO,STERRE,STRYMI,SWARSP,TABECH,TABRAL,TALAGL,TAPIGU,TAPUGU,TERMAM,TERMBU,TERMOL,TERMSP,TETRPA,THEOAN,THEOSP,TOVOWE,UNONPI,UNONSP,VANTOC,VATALU,VIROKO,VIROMU,VIROSE,VIROSP,VITECO,VOCHAL,VOCHFE,VOCHGU,XYLOSE,ZANTPA,ZYGISP
F12P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,0.9228,,1.7956,,,0.3,,,2.378,,,,,,,,,,,,,,,,,0.3784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2828,,,,,,,,,,,,,,,,,,,,,,,,,,0.4276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1072,1.0424,,,,
F13P1,,,,,,,,,,,,,,,,,0.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3524,,,0.4184,,,0.4952,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2924,,,,,,,,,,,0.3484,,,,,0.694,,,0.4464,,,,,,,,,,,,,0.3524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6448,,,,,,0.5076,,,,,,,,,,,,,,,,,,,,0.344,,,,,,0.5228,,,,,,,,,,,,,,,,,,
F13P2,,,,,,,1.5264,,,,0.4184,,,0.332,,,,,,,,,,,,,,,,,,,,,,0.3696,,,,,,,,,,,,,,,0.6108,,,,,1.4784,,,,,0.3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332,,,,,,,,0.296,,,1.2548,,,,,,0.3652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3548,,,,,,,,,,,,,,,,0.344,,,,,,0.4952,,,,,,,,,0.398,,,,,,,,,,,,,0.7636,,,,0.5596,,,,,,,1.7764,0.694,0.3504,,,,0.528,0.294,,,,
F13P3,,,,,,,1.2,,,,,,,,,0.4608,0.3176,,,,,,1.2548,,,,,,,,,,,,,,,,,,,,,,,,,0.636,,0.344,0.6792,,,0.34,,,,,,,0.2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.116,,,,,,,,,,,,,,,,,,,,,,,,,0.3464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3916,,,,,,,,,,,,,,,,1.064,,,,,,,,,,,,,,,,,,,,0.5256,,,,,,0.3548,,,,,,,,,,,,,,0.376,,,,
F13P4,,,,0.3276,,,,,,,,,,,,0.5756,0.3612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,0.6108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.356,,,0.2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6476,,,,,,,,,,,,0.4372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2628,,,,,,,1.2908,,,,,,,,,,,
F1P1,,,,,,,,,,,,,,,,,,,,,,,0.9504,,,,,,,12.5664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3804,0.4072,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3156,,,,,,,,,,,,,,,,,,,,,,,,
F1P2,,,1.7204,,,,4.2272,,,,,,,,,,,,,,,,0.4804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2168,,,,,,,,,,,,,,,,,,,,,,,,,0.3256,,,,1.1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1P3,,,,,,,,,,,,,,,,,,,,,,,0.662,,,0.6852,,,,,,0.694,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.694,,,,,,,,,,,,,,,,,,,,,,,,
F1P4,,,,,,,6.8628,,,,,,,,,,,,,,,,1.1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.936,,,,,,,,,,,,,,,0.3096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2P1,,,,,,,0.724,,,,,,,,,,0.9228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4256,,,,0.8792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.398,,,,,,,,,,0.5596,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4416,,,,,0.4372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,,0.306,,,,,,,,,,,,,,
