familia,especie,coespec,af,afe,cfms,dm,n,p
HERNANDIACEAE,Hernandia_didymantha,HERNDI,16149.76,12.82,290,0.26,26.1,1.24
HUMIRIACEAE,Humiriastrum_diguense,HUMIDI,3346.2,12.9,450,0.77,18.47,0.74
SAPOTACEAE,Pouteria_durlandii,POUTDU,6825.76,14.12,410,0.76,33,0.96
FABACEAE/MIM.,Balizia_elegans,BALIEL,32382.79,14.13,400,0.47,28.37,0.84
ARECACEAE,Socratea_exorrhiza,SOCREX,2188167.13,11.46,390,0.4,21.01,1.06
VOCHYSIACEAE,Vochysia_ferruginea,VOCHFE,4042.13,13.18,370,0.31,21.84,0.76
FABACEAE/PAP.,Lonchocarpus_ferrugineus,LONCFE,119749.91,17.07,386.62,0.71,33.6,1.4
SAPOTACEAE,Pouteria_filipes,POUTFP,6885.59,11.93,530,0.77,32.82,0.9
MYRSINACEAE,Ardisia_fimbrillifera,ARDIFI,14156.61,13.99,230,0.58,18.84,0.89
EUPHORBIACEAE,Alchorneopsis_floribunda,ALCOFL,4483.15,13.39,389.39,0.36,32.8,1.2
MELIACEAE,Guarea_gentryi,GUARGE,60481.21,15.3,398.52,0.61,25.6,1.1
MELIACEAE,Guarea_glabra,GUARGL,72124.2,18.19,300,0.67,28.38,1.59
SAPOTACEAE,Elaeoluma_glabrescens,ELAEGL,5091.08,8.47,397.09,0.6,16.3,0.7
EUPHORBIACEAE,Sapium_glandulosum,SAPIGL,7650.12,12.79,328.15,0.49,22.6,1.8
MELASTOMATACEAE,Mouriri_gleasoniana,MOURGL,3109.16,7.63,437.62,0.73,15.1,0.8
MAGNOLIACEAE,Talauma_gloriensis,TALAGL,19173.84,9.5,359.44,0.53,23.5,0.8
MELIACEAE,Guarea_grandifolia,GUARGR,61130.53,17.45,344.81,0.61,28.11,1.5
PODOCARPACEAE,Podocarpus_guatemalensis,PODOGU,485.88,6.28,441.11,0.45,14,0.6
VOCHYSIACEAE,Vochysia_guatemalensis,VOCHGU,7888.38,11.27,301.76,0.38,23.6,1.3
MORACEAE,Brosimum_guianense,BROSGU,3541.24,22.32,430,0.77,28.85,0.88
FABACEAE/CAES.,Dialium_guianense,DIALGU,5491.33,11.62,473.29,0.83,24.6,1
MELIACEAE,Carapa_guianensis,CARAGU,337534.79,11.78,400,0.53,18.92,0.77
OLACACEAE,Minquartia_guianensis,MINQGU,14546.32,14.98,440,0.75,26.6,1.36
ELAEOCARPACEAE,Sloanea_guianensis,SLOAGU,2429.35,15.62,457.95,0.72,21,0.8
ANACARDIACEAE,Tapirira_guianensis,TAPIGU,67030.96,16.93,390,0.51,19.22,0.85
DICHAPETALACEAE,Tapura_guianensis,TAPUGU,6030.36,9.82,380,0.63,16.48,0.54
FABACEAE/CAES.,Macrolobium_hartshornii,MACRHA,12699.26,17.86,370,0.62,28.27,1.32
CHRYSOBALANACEAE,Licania_hypoleuca,LICNHY,2603.68,11.42,520.72,0.82,22.2,0.7
FABACEAE/PAP.,Andira_inermis,ANDIIN,13600.64,18.86,407.55,0.66,28.8,1.1
CECROPIACEAE,Cecropia_insignis,CECRIN,352125.03,16.59,310,0.19,33.38,1.63
LAURACEAE,Ocotea_insularis,OCOTIN,14189.44,10.09,419.1,0.43,22.3,1
LECYTHIDACEAE,Eschweilera_integrifolia,ESCHIN,7608.16,8.74,469.77,0.69,22.3,0.9
FABACEAE/PAP.,Ormosia_intermedia,ORMOIN,22596.96,12.64,415.51,0.68,26.1,1
FABACEAE/MIM.,Inga_jinicuil,INGAJI,37513.69,16.88,480.71,0.54,31.47,1.19
CHRYSOBALANACEAE,Licania_kallunkiae,LICNKA,6947.6,5.78,561.06,0.79,14.2,0.5
MYRISTICACEAE,Virola_koschnyi,VIROKO,21919.11,12.89,320,0.41,19.27,0.79
MELIACEAE,Guarea_kunthiana,GUARKU,45464.09,13.47,334.34,0.63,25.2,1.4
MORACEAE,Brosimum_lactescens,BROSLA,10376.53,15.99,500,0.6,23.19,0.88
RUBIACEAE,Posoqueria_latifolia,POSOLA,21020.56,6.79,343.35,0.58,13.3,0.5
CLUSIACEAE,Marila_laxiflora,MARILA,13427.7,16.76,370,0.62,21.81,1.04
FABACEAE/MIM.,Inga_leiocalycina,INGALE,58767.46,15.7,430,0.54,34.36,1.25
SAPINDACEAE,Cupania_livida,CUPALI,29047.2,17.7,313.95,0.59,21.9,1.4
LECYTHIDACEAE,Eschweilera_longirachis,ESCHLO,7608.16,8.74,469.77,0.69,22.3,0.9
BORAGINACEAE,Cordia_lucidula,CORDLU,11577.16,10.84,394.5,0.35,22.6,1
FABACEAE/PAP.,Vatairea_lundellii,VATALU,32248.15,12.92,451.42,0.7,21.4,0.8
ULMACEAE,Ampelocera_macrocarpa,AMPEMA,14106.51,8.4,411.83,0.66,24.8,1
APOCYNACEAE,Couma_macrocarpa,COUMMA,22461.24,13.02,351.93,0.47,17.3,0.8
FABACEAE/MIM.,Pentaclethra_macroloba,PENTMA,28525.51,12.87,430,0.47,29.24,1.14
OCHNACEAE,Cespedesia_macrophylla,CESPSA,66871.24,5.69,501.61,0.62,13.5,0.9
LAURACEAE,Ocotea_macropoda,OCOTMA,14306.4,10.63,416.62,0.48,25.9,1.3
FABACEAE/PAP.,Dussia_macroprophyllata,DUSSMA,122491.92,13.41,320,0.55,28.23,2.3
FLACOURTIACEAE,Macrohasseltia_macroterantha,MACAMA,5506.21,23.83,366.67,0.49,33.51,1.36
CLUSIACEAE,Garcinia_madruno,GARCMA,5519.12,9.93,482.13,0.66,18.5,1
RUBIACEAE,Simira_maxonii,PSYCPA,13427.12,14.29,288.52,0.74,26.4,0.9
CHRYSOBALANACEAE,Hirtella_media,HIRTME,1567.68,10.84,397.19,0.67,18.4,0.8
BORAGINACEAE,Cordia_megalantha,CORDME,11048.56,10,355.33,0.41,28,1.3
TILIACEAE,Goethalsia_meiantha,GOETME,9545.35,27.5,380,0.36,33.05,0.74
ELAEOCARPACEAE,Sloanea_meianthera,SLOAMI,15102.32,13.08,450.89,0.77,19.45,0.75
SAPOTACEAE,Micropholis_melinoniana,MICRME,7202.36,9.25,442.03,0.64,2.9,0.7
TILIACEAE,Apeiba_membranacea,APEIME,12612.94,31.65,290,0.16,31.4,1.46
FABACEAE/PAP.,Hymenolobium_mesoamericanum,HYMEME,16461.09,15.46,460.08,0.62,26.9,1.3
CLETHRACEAE,Clethra_mexicana,CLETCO,18510.92,46.75,270.21,0.42,19.2,0.9
FABACEAE/MIM.,Stryphnodendron_microstachyum,STRYMI,114093.15,18.2,390,0.38,37.78,1.47
CECROPIACEAE,Pourouma_minor,POURMI,21128.29,17.89,350,0.36,29.38,1.23
ANACARDIACEAE,Spondias_mombin,SPONMO,66024.02,15.28,365.47,0.38,17.7,1.5
ANNONACEAE,Annona_montana,ANNOMO,7107.93,14.11,350.89,0.28,22.5,1
DICHAPETALACEAE,Dichapetalum_morenoi,DICHMO,2545,19.95,411.88,0.56,31.3,1
FABACEAE/MIM.,Inga_mortoniana,INGAMO,29073.25,20.54,645.35,0.54,35.9,1.2
MYRISTICACEAE,Virola_multiflora,VIROMU,3262.96,14.81,412.78,0.45,21.4,0.7
MELASTOMATACEAE,Miconia_multispicata,MICOMU,16041.17,11.55,370,0.56,25.39,1.12
MORACEAE,Naucleopsis_naga,NAUCNA,24187.92,12.75,450,0.53,21.89,0.77
MYRISTICACEAE,Otoba_novogranatensis,OTOBNO,23686.65,13.09,260,0.33,19.26,0.96
BOMBACACEAE,Quararibea_obliquifolia,QUAROB,28363.2,13.86,264.3,0.31,25,1.4
EUPHORBIACEAE,Hyeronima_oblonga,HYEROB,3624.92,14.77,283.99,0.65,25.3,1.1
EUPHORBIACEAE,Richeria_obovata,RICHOB,10267.2,15.55,229.46,0.52,24.2,1.1
CECROPIACEAE,Cecropia_obtusifolia,CECROB,211347.8,12.52,285.09,0.34,31.9,2.1
MELIACEAE,Cedrela_odorata,CEDROD,45985.94,7.48,328.09,0.34,26,2.1
FABACEAE/MIM.,Inga_oerstediana,INGAOE,83198.2,14.51,506.05,0.46,34.3,1.7
FABACEAE/PAP.,Pterocarpus_officinalis,PTEROF,18267.92,22.93,405.27,0.53,33,1.2
MORACEAE,Brosimum_panamense,BROSPA,6533.18,16.44,447.26,0.68,24.75,0.92
BURSERACEAE,Protium_panamense,PROTPA,43565.36,17.76,390,0.5,21.75,1.16
RUTACEAE,Zanthoxylum_panamense,ZANTPA,45713.7,15.91,367.48,0.49,28.1,1.5
FABACEAE/PAP.,Dipteryx_panamensis,DIPTPA,29148.11,11,446.37,0.87,25.6,1.4
APOCYNACEAE,Lacmellea_panamensis,LACMPA,2556.93,21.93,345.17,0.57,22.5,1
QUIINACEAE,Lacunaria_panamensis,LACUPA,4792.8,14.06,488.94,0.73,19.7,1
CHRYSOBALANACEAE,Maranthes_panamensis,MARAPA,9810.47,14.95,390,0.78,20.32,0.59
BURSERACEAE,Tetragastris_panamensis,TETRPA,60288.54,12.25,520,0.76,16.09,0.64
CLUSIACEAE,Dystovomita_paniculata,DYSTPA,33818.67,13.81,190,0.47,17,0.79
VOCHYSIACEAE,Qualea_paraensis,QUALPO,3280.8,8.74,313.89,0.55,18.1,1
RUBIACEAE,Chimarrhis_parviflora,CHIMPA,6066.24,14.12,296.39,0.62,27,1.4
CECROPIACEAE,Cecropia_peltata,CECRPE,323363.68,7.22,418.31,0.35,17.8,1
BOMBACACEAE,Ceiba_pentandra,CEIBPE,25358.12,12.61,323.4,0.34,23.2,1.9
FABACEAE/MIM.,Inga_pezizifera,INGAPE,32894.77,14.35,500,0.51,33.23,1.06
BURSERACEAE,Protium_pittieri,PROTPI,54042.42,16.1,420,0.44,23.86,1
ANNONACEAE,Rollinia_pittieri,ROLLPI,6246.86,17.04,420,0.32,26.82,1.39
ANNONACEAE,Unonopsis_pittieri,UNONPI,9687.8,14.86,427.94,0.42,29.9,1.5
EUPHORBIACEAE,Conceveiba_pleiostemona,CONCPL,103260.84,19.53,360,0.43,34.6,1.52
CHRYSOBALANACEAE,Couepia_polyandra,COUEPO,10203.97,15.64,430,0.72,24.22,0.76
ARECACEAE,Euterpe_precatoria,EUTEPR,2190170.22,8.97,470,0.6,19.78,1.01
FLACOURTIACEAE,Laetia_procera,LAETPR,6982.83,25.73,360,0.58,29.18,1.25
BOMBACACEAE,Ochroma_pyramidale,OCHRPY,37884.76,11.24,408.1,0.2,21.9,1.4
FABACEAE/MIM.,Abarema_racemiflora,ABARRA,14183.24,19.66,443.66,0.51,26.7,1.1
BURSERACEAE,Protium_ravenii,PROTRA,154159.05,17.88,340,0.37,24.1,1.13
STERCULIACEAE,Sterculia_recordiana,STERRE,91929.54,13.49,430,0.39,20.38,0.99
ANNONACEAE,Guatteria_recurvisepala,GUATRE,12575.34,9.79,447.2,0.47,21,0.8
ARECACEAE,Welfia_regia,WELFRE,3553833.17,8.63,440,0.12,17.7,0.77
SAPOTACEAE,Pouteria_reticulata,POUTRE,6680.86,14.38,450,0.6,28.5,0.89
FABACEAE/CAES.,Cynometra_retusa,CYNORE,8965.36,10.59,472.71,0.73,18.1,0.9
EUPHORBIACEAE,Sapium_rigidifolium,SAPIRI,24316.59,15.04,308.38,0.44,27.29,1.76
FABACEAE/PAP.,Pterocarpus_rohrii,PTERRO,56757.28,26.01,260,0.47,37.18,1.81
MELASTOMATACEAE,Conostegia_rufescens,CONORU,10887.89,11.36,387.99,0.64,23.91,0.83
