cwm,plot,traits,forest_type,longitude,latitude
0.950526316,F13P3,p,Q. paraensis,-84.2442516,10.6895657
752693.1433,F13P4,af,Q. paraensis,-84.2389339,10.6777063
11.79533333,F13P4,afe,Q. paraensis,-84.2389339,10.6777063
421.7113333,F13P4,cfms,Q. paraensis,-84.2389339,10.6777063
0.55,F13P4,dm,Q. paraensis,-84.2389339,10.6777063
21.62533333,F13P4,n,Q. paraensis,-84.2389339,10.6777063
0.928666667,F13P4,p,Q. paraensis,-84.2389339,10.6777063
81690.73667,F1P1,af,P. macroloba,-83.9567415,10.6073418
15.235,F1P1,afe,P. macroloba,-83.9567415,10.6073418
372.865,F1P1,cfms,P. macroloba,-83.9567415,10.6073418
0.52,F1P1,dm,P. macroloba,-83.9567415,10.6073418
24.99666667,F1P1,n,P. macroloba,-83.9567415,10.6073418
1.126666667,F1P1,p,P. macroloba,-83.9567415,10.6073418
69600.25875,F1P2,af,P. macroloba,-83.9595468,10.6058258
16.31125,F1P2,afe,P. macroloba,-83.9595468,10.6058258
355.47875,F1P2,cfms,P. macroloba,-83.9595468,10.6058258
0.41875,F1P2,dm,P. macroloba,-83.9595468,10.6058258
27.73625,F1P2,n,P. macroloba,-83.9595468,10.6058258
1.28875,F1P2,p,P. macroloba,-83.9595468,10.6058258
119250.1529,F1P3,af,P. macroloba,-83.9555052,10.6041479
13.50714286,F1P3,afe,P. macroloba,-83.9555052,10.6041479
390.13,F1P3,cfms,P. macroloba,-83.9555052,10.6041479
0.56,F1P3,dm,P. macroloba,-83.9555052,10.6041479
25.29428571,F1P3,n,P. macroloba,-83.9555052,10.6041479
1.147142857,F1P3,p,P. macroloba,-83.9555052,10.6041479
578269.6171,F1P4,af,P. macroloba,-83.954781,10.6009397
14.34714286,F1P4,afe,P. macroloba,-83.954781,10.6009397
393.4357143,F1P4,cfms,P. macroloba,-83.954781,10.6009397
0.472857143,F1P4,dm,P. macroloba,-83.954781,10.6009397
23.56571429,F1P4,n,P. macroloba,-83.954781,10.6009397
1.105714286,F1P4,p,P. macroloba,-83.954781,10.6009397
427907.7279,F2P1,af,P. macroloba,-83.9715025,10.609406
14.83928571,F2P1,afe,P. macroloba,-83.9715025,10.609406
384.8892857,F2P1,cfms,P. macroloba,-83.9715025,10.609406
0.478571429,F2P1,dm,P. macroloba,-83.9715025,10.609406
24.63071429,F2P1,n,P. macroloba,-83.9715025,10.609406
1.087142857,F2P1,p,P. macroloba,-83.9715025,10.609406
657595.2422,F2P2,af,P. macroloba,-83.97251,10.6126653
13.94666667,F2P2,afe,P. macroloba,-83.97251,10.6126653
374.4166667,F2P2,cfms,P. macroloba,-83.97251,10.6126653
0.434444444,F2P2,dm,P. macroloba,-83.97251,10.6126653
22.43333333,F2P2,n,P. macroloba,-83.97251,10.6126653
1.105555556,F2P2,p,P. macroloba,-83.97251,10.6126653
428749.9179,F2P3,af,P. macroloba,-83.969427,10.612848
15.895,F2P3,afe,P. macroloba,-83.969427,10.612848
369.6342857,F2P3,cfms,P. macroloba,-83.969427,10.612848
0.464285714,F2P3,dm,P. macroloba,-83.969427,10.612848
25.67928571,F2P3,n,P. macroloba,-83.969427,10.612848
1.206428571,F2P3,p,P. macroloba,-83.969427,10.612848
543802.9314,F30P1,af,P. macroloba,-84.0639773,10.3883445
12.33238095,F30P1,afe,P. macroloba,-84.0639773,10.3883445
425.397619,F30P1,cfms,P. macroloba,-84.0639773,10.3883445
0.61952381,F30P1,dm,P. macroloba,-84.0639773,10.3883445
22.89761905,F30P1,n,P. macroloba,-84.0639773,10.3883445
0.877619048,F30P1,p,P. macroloba,-84.0639773,10.3883445
950914.8775,F30P2,af,P. macroloba,-84.0610744,10.3887788
13.2275,F30P2,afe,P. macroloba,-84.0610744,10.3887788
