plot,forest_type,longitude,latitude,fdiv,feve,fdis
F44P1,Q. paraensis,-84.1155173,10.6638577,0.820499935,0.847730816,2.142047891
F44P2,Q. paraensis,-84.1127646,10.6662797,0.658818193,0.73119677,1.670894085
F44P3,P. macroloba,-84.1107653,10.6536999,0.774643595,0.764933507,1.570898131
F44P4,P. macroloba,-84.1111978,10.6581828,0.781552068,0.707449503,1.768684879
F45P1,Q. paraensis,-84.0843067,10.7026788,0.832447455,0.754259467,1.602265632
F45P2,P. macroloba,-84.0823594,10.700078,0.68865527,0.806295847,1.793450393
F46P1,Q. paraensis,-84.0719112,10.7516056,0.840791331,0.759886219,1.728299166
F46P2,Q. paraensis,-84.0690556,10.7494203,0.810939999,0.760934415,2.408487123
F47P1,P. macroloba,-84.0511006,10.7091117,0.744809744,0.770532276,1.648296781
F47P2,Q. paraensis,-84.0470962,10.7077556,0.768902536,0.842898514,2.096362046
F47P3,Q. paraensis,-84.0467599,10.7113552,0.902788842,0.892680976,1.646946542
F48P1,Q. paraensis,-84.0353032,10.6904144,0.853451176,0.778803983,1.676688509
F48P2,P. macroloba,-84.0381514,10.6904685,0.659115411,0.735870764,1.582550251
F49P1,P. macroloba,-84.1005513,10.6399875,0.85836091,0.729515549,0.860254708
F49P2,P. macroloba,-84.1039852,10.6388814,0.605707571,0.667746497,2.162181855
F49P3,P. macroloba,-84.1027717,10.6359353,0.602761056,0.73193578,1.263522176
F4P1,P. macroloba,-84.039014,10.5296889,0.660113391,0.658022086,0.949355398
F4P2,P. macroloba,-84.0355138,10.531299,0.602624469,0.655518313,1.685823852
F50P1,Q. paraensis,-84.0064314,10.6851905,0.738116824,0.777282335,1.796770902
F50P2,P. macroloba,-84.0049931,10.6782238,0.888205618,0.770435255,1.62375393
F50P3,Q. paraensis,-84.001291,10.680545,0.688163772,0.737809978,1.436691001
F50P4,P. macroloba,-83.9983157,10.6781559,0.842117042,0.583228602,1.055009125
F51P1,Q. paraensis,-84.1176438,10.721962,0.74820178,0.729327226,2.267250954
F51P2,Q. paraensis,-84.1187313,10.7257107,0.803742704,0.871346149,1.536782985
F51P3,Q. paraensis,-84.1158291,10.728447,0.775890702,0.869632059,2.019514594
F52P1,Foothills,-84.0632124,10.3217756,0.719274197,0.791347567,2.220058692
