code,plot
TETRPA,F45P2
WELFRE,F45P2
COUMMA,F46P1
DIPTPA,F46P1
ELAEGL,F46P1
ENTESC,F46P1
EUTEPR,F46P1
HIRTTR,F46P1
LICNAF,F46P1
LICNHY,F46P1
MARAPA,F46P1
MICRCR,F46P1
QUALPO,F46P1
SOCREX,F46P1
TETRPA,F46P1
WELFRE,F46P1
BROSGU,F46P2
DIPTPA,F46P2
DUSS02,F46P2
DUSSMA,F46P2
EUGE01,F46P2
EUTEPR,F46P2
IRIADE,F46P2
POUTFP,F46P2
SOCREX,F46P2
TETRPA,F46P2
VIROKO,F46P2
VIROSE,F46P2
VOCHFE,F46P2
WELFRE,F46P2
BROSGU,F47P1
COUMMA,F47P1
EUTEPR,F47P1
IRIADE,F47P1
PENTMA,F47P1
POUT13,F47P1
POUTDU,F47P1
PSEUSU,F47P1
PTEROF,F47P1
QUALPO,F47P1
SOCREX,F47P1
STERRE,F47P1
TETRPA,F47P1
VOCHAL,F47P1
WELFRE,F47P1
BALIEL,F47P2
BROSGU,F47P2
DIALGU,F47P2
DIPTPA,F47P2
ELAEGL,F47P2
EUTEPR,F47P2
IRIADE,F47P2
LICNAF,F47P2
LICNHY,F47P2
PENTMA,F47P2
QUALPO,F47P2
SOCREX,F47P2
STERRE,F47P2
STRYMI,F47P2
TAPIGU,F47P2
VOCHAL,F47P2
WELFRE,F47P2
COUMMA,F47P3
DIALGU,F47P3
DIPTPA,F47P3
ELAEGL,F47P3
ESCH02,F47P3
EUTEPR,F47P3
IRIADE,F47P3
LACUPA,F47P3
PENTMA,F47P3
POUTDU,F47P3
QUALPO,F47P3
SOCREX,F47P3
STERRE,F47P3
TETRPA,F47P3
WELFRE,F47P3
BALIEL,F48P1
COUMMA,F48P1
ENTESC,F48P1
EUTEPR,F48P1
IRIADE,F48P1
LICNAF,F48P1
MANIZA,F48P1
MICRCR,F48P1
PENTMA,F48P1
PODOGU,F48P1
QUALPO,F48P1
SOCREX,F48P1
VANTOC,F48P1
VOCHFE,F48P1
ABARAD,F48P2
BROSLA,F48P2
CESPSA,F48P2
CLETCO,F48P2
DIALGU,F48P2
DIPTPA,F48P2
ELAEGL,F48P2
ESCHCA,F48P2
EUTEPR,F48P2
IRIADE,F48P2
NAUCNA,F48P2
PENTMA,F48P2
POUT14,F48P2
QUALPO,F48P2
SIMAAM,F48P2
SOCREX,F48P2
STERRE,F48P2
VOCHFE,F48P2
WELFRE,F48P2
XYLOSE,F48P2
BROSLA,F49P1
CARAGU,F49P1
EUTEPR,F49P1
IRIADE,F49P1
LICNAF,F49P1
NAUCNA,F49P1
PENTMA,F49P1
POURBI,F49P1
POURMI,F49P1
POUT05,F49P1
SOCREX,F49P1
TETRPA,F49P1
WELFRE,F49P1
CLETCO,F49P2
CORDBI,F49P2
CROTSM,F49P2
EUTEPR,F49P2
HYMEME,F49P2
IRIADE,F49P2
LACMPA,F49P2
MANIZA,F49P2
NAUCNA,F49P2
ORMOIN,F49P2
PENTMA,F49P2
POURBI,F49P2
SOCREX,F49P2
TETRPA,F49P2
VOCHAL,F49P2
WELFRE,F49P2
BROSGU,F49P3
BROSLA,F49P3
COUMMA,F49P3
DUSSMA,F49P3
EUTEPR,F49P3
IRIADE,F49P3
LAETPR,F49P3
LICNHY,F49P3
NAUCNA,F49P3
PENTMA,F49P3
QUALPO,F49P3
SOCREX,F49P3
WELFRE,F49P3
XYLOSE,F49P3
CORDBI,F4P1
DIPTPA,F4P1
EUTEPR,F4P1
IRIADE,F4P1
OCOTAT,F4P1
ORMOIN,F4P1
PENTMA,F4P1
SIMAAM,F4P1
SOCREX,F4P1
TETRPA,F4P1
WELFRE,F4P1
APEIME,F4P2
BROSLA,F4P2
DENDAR,F4P2
DIPTPA,F4P2
EUTEPR,F4P2
IRIADE,F4P2
LICNAF,F4P2
NAUCNA,F4P2
ORMOIN,F4P2
PENTMA,F4P2
SIMAAM,F4P2
SOCREX,F4P2
TETRPA,F4P2
WELFRE,F4P2
CALOBR,F50P1
DIPTPA,F50P1
ELAEGL,F50P1
EUTEPR,F50P1
FICUSP,F50P1
HERNDI,F50P1
IRIADE,F50P1
LECYAM,F50P1
PENTMA,F50P1
PTEROF,F50P1
QUALPO,F50P1
SOCREX,F50P1
TAPUGU,F50P1
VANTOC,F50P1
VOCHFE,F50P1
WELFRE,F50P1
CESPSA,F50P2
CORDBI,F50P2
EUTEPR,F50P2
HIRTTR,F50P2
IRIADE,F50P2
LACMPA,F50P2
LECYAM,F50P2
LICNAF,F50P2
ORMOIN,F50P2
PENTMA,F50P2
POUT15,F50P2
SOCREX,F50P2
TETRPA,F50P2
VOCHFE,F50P2
WELFRE,F50P2
ASPI01,F50P3
BROSGU,F50P3
COUMMA,F50P3
DIPTPA,F50P3
ELAEGL,F50P3
EUTEPR,F50P3
LICNAF,F50P3
MANICH,F50P3
MANIZA,F50P3
MICRCR,F50P3
PENTMA,F50P3
POUTDU,F50P3
QUALPO,F50P3
SLOASP,F50P3
TETRPA,F50P3
VANTOC,F50P3
VATALU,F50P3
WELFRE,F50P3
CARAGU,F50P4
DIPTPA,F50P4
EUTEPR,F50P4
IRIADE,F50P4
LAETPR,F50P4
PENTMA,F50P4
PSEUSU,F50P4
VATALU,F50P4
WELFRE,F50P4
BROSGU,F51P1
CESPSA,F51P1
CLETCO,F51P1
DIALGU,F51P1
DIPTPA,F51P1
DUSS02,F51P1
EUTEPR,F51P1
HIRTTR,F51P1
IRIADE,F51P1
LICNHY,F51P1
MANIZA,F51P1
MARAPA,F51P1
MICRCR,F51P1
POUTDU,F51P1
POUTFP,F51P1
QUALPO,F51P1
SOCREX,F51P1
TERMAM,F51P1
TETRPA,F51P1
VIROKO,F51P1
VOCHFE,F51P1
WELFRE,F51P1
COUMMA,F51P2
DIALGU,F51P2
DIPTPA,F51P2
ELAEGL,F51P2
EUTEPR,F51P2
IRIADE,F51P2
LICNAF,F51P2
LICNHY,F51P2
MANIZA,F51P2
MICRCR,F51P2
QUALPO,F51P2
SOCREX,F51P2
VANTOC,F51P2
VATALU,F51P2
WELFRE,F51P2
BROSLA,F51P3
CESPSA,F51P3
DIPTPA,F51P3
ELAEGL,F51P3
EUTEPR,F51P3
IRIADE,F51P3
MANIZA,F51P3
MARAPA,F51P3
MICRCR,F51P3
POURBI,F51P3
POUT16,F51P3
POUTFP,F51P3
SCLECO,F51P3
SIMAAM,F51P3
SOCREX,F51P3
TETRPA,F51P3
VANTOC,F51P3
VIROKO,F51P3
VOCHAL,F51P3
WELFRE,F51P3
APEIME,F52P1
BROSPA,F52P1
BYRSAR,F52P1
CALTCO,F52P1
CEDROD,F52P1
CUPASP,F52P1
DUSS01,F52P1
GUATAE,F52P1
HYEROB,F52P1
INGA05,F52P1
INGAAL,F52P1
IRIADE,F52P1
MACRCO,F52P1
PROTPA,F52P1
SLOASP,F52P1
VOCHAL,F52P1
BYRSAR,F52P2
CALOBR,F52P2
CARAGU,F52P2
CLETCO,F52P2
CONCPL,F52P2
CUPASP,F52P2
DUSSMA,F52P2
ESCH03,F52P2
GUARBU,F52P2
INGAAL,F52P2
LECYAM,F52P2
PARATR,F52P2
POURBI,F52P2
PROTPA,F52P2
PROTPI,F52P2
PROTSC,F52P2
QUARBR,F52P2
SACOTR,F52P2
STRYMI,F52P2
TAPIGU,F52P2
TERMAM,F52P2
VOCHAL,F52P2
ALCOFL,F52P3
CESPSA,F52P3
ESCH03,F52P3
EUTEPR,F52P3
INGA05,F52P3
IRIADE,F52P3
LACMPA,F52P3
LICNHY,F52P3
MACRCO,F52P3
MICOMU,F52P3
POUTDU,F52P3
POUTFP,F52P3
PROTPI,F52P3
PTERRO,F52P3
SACOTR,F52P3
SOCREX,F52P3
TAPIGU,F52P3
VOCHFE,F52P3
CARAGU,F52P4
CEDROD,F52P4
EUTEPR,F52P4
HAMPAP,F52P4
HYERAL,F52P4
INGAAL,F52P4
IRIADE,F52P4
MINQGU,F52P4
POURBI,F52P4
PTERRO,F52P4
SACOTR,F52P4
SOCREX,F52P4
STERRE,F52P4
STRYMI,F52P4
TAPIGU,F52P4
WELFRE,F52P4
AMPEMA,F52P5
CARAGU,F52P5
CESPSA,F52P5
DUSSMA,F52P5
ELAEGL,F52P5
ESCH03,F52P5
EUTEPR,F52P5
HIRTTR,F52P5
IRIADE,F52P5
LICNHY,F52P5
MANICH,F52P5
MANIZA,F52P5
MINQGU,F52P5
POUTDU,F52P5
POUTFP,F52P5
PROTPI,F52P5
SACOTR,F52P5
SOCREX,F52P5
TAPIGU,F52P5
TAPUGU,F52P5
VOCHFE,F52P5
ALCOFL,F52P6
ASPISR,F52P6
CARAGU,F52P6
CLETCO,F52P6
CUPASP,F52P6
ELAEGL,F52P6
EUTEPR,F52P6
GUETSP,F52P6
IRIADE,F52P6
JACACO,F52P6
LICNHY,F52P6
MANIZA,F52P6
ORMOIN,F52P6
POUTFP,F52P6
PROTPI,F52P6
PROTRA,F52P6
QUARBR,F52P6
SIMAAM,F52P6
SLOASP,F52P6
SOCREX,F52P6
TAPUGU,F52P6
BROSLA,F52P7
CESPSA,F52P7
CORDME,F52P7
CUPASP,F52P7
EUTEPR,F52P7
GUATAE,F52P7
HIRTTR,F52P7
IRIADE,F52P7
LICNHY,F52P7
MICRCR,F52P7
POUT05,F52P7
SCLECO,F52P7
SOCREX,F52P7
TAPIGU,F52P7
VOCHFE,F52P7
CONCPL,F53P1
DUSS01,F53P1
EUTEPR,F53P1
GUARBU,F53P1
HYEROB,F53P1
INGAAL,F53P1
IRIADE,F53P1
MICRCR,F53P1
PACHAQ,F53P1
POURBI,F53P1
PTERRO,F53P1
SCLECO,F53P1
STRYMI,F53P1
VOCHAL,F53P1
WELFRE,F53P1
CARAGU,F53P2
CONCPL,F53P2
DUSSMA,F53P2
EUTEPR,F53P2
GUARGR,F53P2
INGATH,F53P2
POURMI,F53P2
SOCREX,F53P2
STRYMI,F53P2
VOCHAL,F53P2
WELFRE,F53P2
APEIME,F54P1
BYRSSP,F54P1
COUEPO,F54P1
DUSS01,F54P1
EUTEPR,F54P1
GUARBU,F54P1
GUARGR,F54P1
HERNDI,F54P1
HYEROB,F54P1
INGA05,F54P1
IRIADE,F54P1
LACMPA,F54P1
MANICH,F54P1
OCOTMA,F54P1
STRYMI,F54P1
VOCHAL,F54P1
ARDIFI,F54P2
BYRSAR,F54P2
CASEAR,F54P2
CORDLU,F54P2
EUTEPR,F54P2
GUARBU,F54P2
INGA08,F54P2
INGACH,F54P2
INGAOE,F54P2
IRIADE,F54P2
MANICH,F54P2
PACHAQ,F54P2
POURBI,F54P2
PROTSC,F54P2
STRYMI,F54P2
TOVOWE,F54P2
VOCHAL,F54P2
CLETCO,F54P3
DUSS01,F54P3
EUTEPR,F54P3
GUARBU,F54P3
INGA09,F54P3
INGALE,F54P3
INGAOE,F54P3
IRIADE,F54P3
PARATR,F54P3
POURBI,F54P3
POURMI,F54P3
VOCHAL,F54P3
VOCHGU,F54P3
CARAGU,F54P4
DENDAR,F54P4
EUTEPR,F54P4
HERNDI,F54P4
INGA10,F54P4
MACAMA,F54P4
PACHAQ,F54P4
POUT04,F54P4
PROTSP,F54P4
STRYMI,F54P4
VIROSP,F54P4
BROSGU,F54P5
BROSLA,F54P5
CARAGU,F54P5
DENDAR,F54P5
GUARBU,F54P5
GUETSP,F54P5
HYMEME,F54P5
INGAAL,F54P5
INGALE,F54P5
MACAMA,F54P5
MANICH,F54P5
POURBI,F54P5
POUT17,F54P5
TAPIGU,F54P5
WELFRE,F54P5
APEIME,F54P6
BROSLA,F54P6
CARAGU,F54P6
CASEAR,F54P6
CORDME,F54P6
DENDAR,F54P6
DUSSMA,F54P6
GUARGR,F54P6
ILEXSK,F54P6
IRIADE,F54P6
MACAMA,F54P6
MANIZA,F54P6
MICRCR,F54P6
MINQGU,F54P6
PACHAQ,F54P6
POUT05,F54P6
POUT18,F54P6
PTERRO,F54P6
QUARBR,F54P6
SACOTR,F54P6
SCLECO,F54P6
TAPIGU,F54P6
VOCHAL,F54P6
AMPEMA,F5P1
APEIME,F5P1
CHIMPA,F5P1
DICHMO,F5P1
DUSSMA,F5P1
GOETME,F5P1
INGASE,F5P1
IRIADE,F5P1
PENTMA,F5P1
SIMAAM,F5P1
SOCREX,F5P1
VIROSE,F5P1
CESPSA,F5P2
CLETCO,F5P2
EUTEPR,F5P2
IRIADE,F5P2
LACMPA,F5P2
LAETPR,F5P2
MICRCR,F5P2
PENTMA,F5P2
RICHOB,F5P2
SOCREX,F5P2
VIROSE,F5P2
ASPISP,F5P3
BYRSAR,F5P3
CESPSA,F5P3
DENDAR,F5P3
GOETME,F5P3
INGATH,F5P3
IRIADE,F5P3
MICRCR,F5P3
PARATR,F5P3
PENTMA,F5P3
SOCREX,F5P3
XYLOSE,F5P3
GUARGE,F6P1
GUARHO,F6P1
HERNDI,F6P1
IRIADE,F6P1
MATASP,F6P1
OCOTMA,F6P1
PENTMA,F6P1
STERRE,F6P1
WELFRE,F6P1
BROSGU,F6P2
CARAGU,F6P2
CASEAR,F6P2
EUTEPR,F6P2
HYERAL,F6P2
INGAAC,F6P2
INGATH,F6P2
IRIADE,F6P2
MICOMU,F6P2
MINQGU,F6P2
PENTMA,F6P2
POURMI,F6P2
POUTDU,F6P2
PTERRO,F6P2
SIMAAM,F6P2
SLOAMI,F6P2
SOCREX,F6P2
WELFRE,F6P2
ABARRA,F6P3
BROSLA,F6P3
CARAGU,F6P3
DENDAR,F6P3
GUARGE,F6P3
IRIADE,F6P3
MICRCR,F6P3
PENTMA,F6P3
SOCREX,F6P3
STERRE,F6P3
TAPIGU,F6P3
WELFRE,F6P3
APEIME,F7P1
BROSGU,F7P1
CONCPL,F7P1
DENDAR,F7P1
GOETME,F7P1
INGAAE,F7P1
INGALE,F7P1
IRIADE,F7P1
PENTMA,F7P1
POURBI,F7P1
PTERRO,F7P1
SOCREX,F7P1
WELFRE,F7P1
CARAGU,F7P2
DENDAR,F7P2
GOETME,F7P2
INGAJI,F7P2
INGAMO,F7P2
IRIADE,F7P2
PENTMA,F7P2
PESCAR,F7P2
POUTCA,F7P2
PROTPA,F7P2
SOCREX,F7P2
SPONMO,F7P2
VIROSE,F7P2
WELFRE,F7P2
CECRPE,F8P1
CESPSA,F8P1
CROTSM,F8P1
DUSSMA,F8P1
LAETPR,F8P1
PENTMA,F8P1
POUTCM,F8P1
SOCREX,F8P1
TAPIGU,F8P1
TERMAM,F8P1
VIROKO,F8P1
VOCHAL,F8P1
WELFRE,F8P1
ESCHLO,F8P2
ORMOIN,F8P2
PENTMA,F8P2
SOCREX,F8P2
TABECH,F8P2
TETRPA,F8P2
VIROSE,F8P2
VOCHAL,F8P2
WELFRE,F8P2
CESPSA,F9P1
CORDCY,F9P1
DENDAR,F9P1
DIALGU,F9P1
GUARBU,F9P1
PENTMA,F9P1
POUTSP,F9P1
SCLECO,F9P1
WELFRE,F9P1
AMPEMA,F9P2
APEIME,F9P2
BROSLA,F9P2
CECROB,F9P2
CHIMPA,F9P2
DENDAR,F9P2
DIALGU,F9P2
DIPTPA,F9P2
GUARGE,F9P2
PENTMA,F9P2
POURBI,F9P2
WELFRE,F9P2
APEIME,F9P3
DENDAR,F9P3
DIALGU,F9P3
DUSSMA,F9P3
MINQGU,F9P3
PENTMA,F9P3
VITECO,F9P3
WELFRE,F9P3
