plot,fdis,feve,fric,forest_type,longitude,latitude
F41P5,2.113344145,0.774871555,3.211990188,Foothills,-84.0083697,10.2695576
F41P6,2.232482402,0.833191089,2.149044473,P. macroloba,-83.9952261,10.267953
F42P1,2.188920802,0.829829634,0.798611469,P. macroloba,-84.0107738,10.3472099
F42P2,2.229287838,0.902666903,0.503970412,P. macroloba,-84.0092627,10.3497784
F42P3,2.241880246,0.902543793,3.06586703,P. macroloba,-84.0050403,10.3498023
F42P4,2.284602482,0.86108177,5.223188261,Q. paraensis,-84.0077658,10.344184
F43P1,2.090972293,0.768992778,3.416645411,P. macroloba,-84.0015353,10.323204
F43P2,2.256695717,0.83340493,8.072398272,Q. paraensis,-84.008256,10.3241874
F43P3,2.207991154,0.834590691,4.124339002,P. macroloba,-83.9987572,10.324131
F44P1,2.300641172,0.899411206,4.030493858,Q. paraensis,-84.1155173,10.6638577
F44P2,2.193850011,0.853375268,1.485259773,Q. paraensis,-84.1127646,10.6662797
F44P3,2.240585347,0.882218682,1.583956971,P. macroloba,-84.1107653,10.6536999
F44P4,2.282959038,0.928848085,2.677586771,P. macroloba,-84.1111978,10.6581828
F45P1,2.266239112,0.883274356,4.98154916,Q. paraensis,-84.0843067,10.7026788
F45P2,2.203101974,0.854858168,4.150138936,P. macroloba,-84.0823594,10.700078
F46P1,2.26791361,0.87215708,3.142395119,Q. paraensis,-84.0719112,10.7516056
F46P2,2.268964436,0.841019988,1.346192417,Q. paraensis,-84.0690556,10.7494203
F47P1,2.25335657,0.918157257,2.564200517,P. macroloba,-84.0511006,10.7091117
F47P2,2.25248678,0.908630724,4.020421875,Q. paraensis,-84.0470962,10.7077556
F47P3,2.289074725,0.946024794,3.78337964,Q. paraensis,-84.0467599,10.7113552
F48P1,2.268188611,0.887429479,1.952188841,Q. paraensis,-84.0353032,10.6904144
F48P2,2.197289338,0.828753421,8.945993469,P. macroloba,-84.0381514,10.6904685
F49P1,2.213361645,0.909413499,0.695443746,P. macroloba,-84.1005513,10.6399875
F49P2,2.111894353,0.790942651,1.822399022,P. macroloba,-84.1039852,10.6388814
F49P3,2.220051377,0.874414497,1.421209666,P. macroloba,-84.1027717,10.6359353
F4P1,2.199907999,0.867805678,0.458524251,P. macroloba,-84.039014,10.5296889
F4P2,2.186857775,0.87262209,0.915199773,P. macroloba,-84.0355138,10.531299
F50P1,2.275585449,0.902982369,1.989524146,Q. paraensis,-84.0064314,10.6851905
F50P2,2.265657269,0.912244,2.73825812,P. macroloba,-84.0049931,10.6782238
F50P3,2.137598287,0.798634993,5.419137481,Q. paraensis,-84.001291,10.680545
F50P4,2.204229017,0.861264417,0.04056719,P. macroloba,-83.9983157,10.6781559
F51P1,2.213336001,0.82925897,7.311698182,Q. paraensis,-84.1176438,10.721962
F51P2,2.276167736,0.87640111,1.034961761,Q. paraensis,-84.1187313,10.7257107
F51P3,2.276353103,0.888644188,9.516907503,Q. paraensis,-84.1158291,10.728447
F52P1,2.12994247,0.748466194,5.181073788,Foothills,-84.0632124,10.3217756
F52P2,2.187995881,0.812016032,13.09617328,Foothills,-84.060733,10.3265391
F52P3,2.19025535,0.907898558,2.867225149,Q. paraensis,-84.0592819,10.353147
F52P4,2.221622909,0.891373042,2.34757923,Foothills,-84.0607413,10.3511647
F52P5,2.215144299,0.850117141,8.904291588,Q. paraensis,-84.0620738,10.3461831
F52P6,2.208715597,0.824406929,5.792732633,Q. paraensis,-84.0627015,10.3433803
F52P7,2.272328289,0.909572807,4.48399621,Q. paraensis,-84.0564418,10.3544846
F53P1,2.243257835,0.879298842,2.604182213,Foothills,-83.97431,10.195508
F53P2,2.235117532,0.868080992,0.398370904,Foothills,-83.9771867,10.197071
F54P1,2.213740482,0.819452496,5.759046592,Foothills,-83.9857582,10.2071333
F54P2,2.235367598,0.851252133,7.020305083,Foothills,-83.9832377,10.2066237
F54P3,2.209932436,0.834192059,3.291460738,Foothills,-83.9939764,10.2115909
F54P4,2.225866897,0.887047644,0.99467158,Foothills,-83.9963882,10.2130948
F54P5,2.187445432,0.820726059,2.465689064,Foothills,-83.9733006,10.2134057
F54P6,2.161714363,0.804512758,7.830962444,Foothills,-83.9715099,10.2159234
F5P1,2.191575522,0.874863125,0.847683916,P. macroloba,-83.9686333,10.4559144
F5P2,2.206938666,0.888422773,1.481675983,P. macroloba,-83.9691055,10.4527851
F5P3,2.205128028,0.8267265,0.81781967,P. macroloba,-83.9695685,10.4496564
F6P1,2.188354226,0.865652994,0.175333928,P. macroloba,-83.9248804,10.209997
F6P2,2.182618108,0.883739382,3.165406394,P. macroloba,-83.9286443,10.2098284
F6P3,2.211402401,0.892588315,1.231828956,P. macroloba,-83.9318257,10.2108022
F7P1,2.238340772,0.878309084,0.94394638,P. macroloba,-84.0804603,10.4423079
F7P2,2.19462003,0.896428468,2.261529283,P. macroloba,-84.0831522,10.4422512
F8P1,2.201101101,0.939358865,1.457765392,P. macroloba,-84.1698641,10.5401782
F8P2,2.175431176,0.894212883,0.189362318,P. macroloba,-84.1697863,10.542715
F9P1,2.172184581,0.820534373,0.1363444,P. macroloba,-84.2936342,10.5351467
F9P2,2.069781066,0.768155702,0.706612651,P. macroloba,-84.2919495,10.5315826
F9P3,2.129223641,0.759704088,0.038299908,P. macroloba,-84.2948566,10.5309667
