cwm,plot,traits,forest_type,longitude,latitude
1.161666667,F1P4,p,P. macroloba,-83.954781,10.6009397
15.63833333,F2P1,afe,P. macroloba,-83.9715025,10.609406
379.8708333,F2P1,cfms,P. macroloba,-83.9715025,10.609406
0.515,F2P1,dm,P. macroloba,-83.9715025,10.609406
25.51,F2P1,n,P. macroloba,-83.9715025,10.609406
1.115833333,F2P1,p,P. macroloba,-83.9715025,10.609406
15.06142857,F2P2,afe,P. macroloba,-83.97251,10.6126653
362.8214286,F2P2,cfms,P. macroloba,-83.97251,10.6126653
0.484285714,F2P2,dm,P. macroloba,-83.97251,10.6126653
23.31285714,F2P2,n,P. macroloba,-83.97251,10.6126653
1.16,F2P2,p,P. macroloba,-83.97251,10.6126653
16.87,F2P3,afe,P. macroloba,-83.969427,10.612848
362.0733333,F2P3,cfms,P. macroloba,-83.969427,10.612848
0.498333333,F2P3,dm,P. macroloba,-83.969427,10.612848
26.73333333,F2P3,n,P. macroloba,-83.969427,10.612848
1.255,F2P3,p,P. macroloba,-83.969427,10.612848
12.94,F30P1,afe,P. macroloba,-84.0639773,10.3883445
426.6676471,F30P1,cfms,P. macroloba,-84.0639773,10.3883445
0.691764706,F30P1,dm,P. macroloba,-84.0639773,10.3883445
23.64705882,F30P1,n,P. macroloba,-84.0639773,10.3883445
0.843529412,F30P1,p,P. macroloba,-84.0639773,10.3883445
14.96625,F30P2,afe,P. macroloba,-84.0610744,10.3887788
437.70125,F30P2,cfms,P. macroloba,-84.0610744,10.3887788
0.5525,F30P2,dm,P. macroloba,-84.0610744,10.3887788
25.07375,F30P2,n,P. macroloba,-84.0610744,10.3887788
0.9675,F30P2,p,P. macroloba,-84.0610744,10.3887788
13.28272727,F30P3,afe,P. macroloba,-84.0609103,10.3858604
421.3372727,F30P3,cfms,P. macroloba,-84.0609103,10.3858604
0.627272727,F30P3,dm,P. macroloba,-84.0609103,10.3858604
23.88090909,F30P3,n,P. macroloba,-84.0609103,10.3858604
0.825454545,F30P3,p,P. macroloba,-84.0609103,10.3858604
15.00222222,F30P4,afe,P. macroloba,-84.0576018,10.3855502
389.1972222,F30P4,cfms,P. macroloba,-84.0576018,10.3855502
0.518888889,F30P4,dm,P. macroloba,-84.0576018,10.3855502
24.89555556,F30P4,n,P. macroloba,-84.0576018,10.3855502
1.067777778,F30P4,p,P. macroloba,-84.0576018,10.3855502
14.8535,F31P1,afe,Foothills,-84.1523309,10.2892138
369.4685,F31P1,cfms,Foothills,-84.1523309,10.2892138
0.5445,F31P1,dm,Foothills,-84.1523309,10.2892138
23.665,F31P1,n,Foothills,-84.1523309,10.2892138
1.0915,F31P1,p,Foothills,-84.1523309,10.2892138
16.51777778,F31P2,afe,Foothills,-84.1540249,10.292507
376.2511111,F31P2,cfms,Foothills,-84.1540249,10.292507
0.5,F31P2,dm,Foothills,-84.1540249,10.292507
27.80166667,F31P2,n,Foothills,-84.1540249,10.292507
1.215555556,F31P2,p,Foothills,-84.1540249,10.292507
15.15769231,F32P1,afe,Foothills,-84.1049182,10.261566
396.7323077,F32P1,cfms,Foothills,-84.1049182,10.261566
0.610769231,F32P1,dm,Foothills,-84.1049182,10.261566
25.04615385,F32P1,n,Foothills,-84.1049182,10.261566
1.159230769,F32P1,p,Foothills,-84.1049182,10.261566
15.67692308,F32P2,afe,Foothills,-84.1011962,10.2637361
393.5438462,F32P2,cfms,Foothills,-84.1011962,10.2637361
0.586153846,F32P2,dm,Foothills,-84.1011962,10.2637361
25.72,F32P2,n,Foothills,-84.1011962,10.2637361
1.13,F32P2,p,Foothills,-84.1011962,10.2637361
15.34181818,F32P3,afe,Foothills,-84.1007223,10.2667571
370.4018182,F32P3,cfms,Foothills,-84.1007223,10.2667571
0.584545455,F32P3,dm,Foothills,-84.1007223,10.2667571
25.66818182,F32P3,n,Foothills,-84.1007223,10.2667571
1.25,F32P3,p,Foothills,-84.1007223,10.2667571
12.86266667,F33P1,afe,Q. paraensis,-84.004355,10.2786407
423.5733333,F33P1,cfms,Q. paraensis,-84.004355,10.2786407
0.636666667,F33P1,dm,Q. paraensis,-84.004355,10.2786407
21.596,F33P1,n,Q. paraensis,-84.004355,10.2786407
0.91,F33P1,p,Q. paraensis,-84.004355,10.2786407
14.685,F33P2,afe,P. macroloba,-83.9980482,10.2771554
398.2625,F33P2,cfms,P. macroloba,-83.9980482,10.2771554
0.5225,F33P2,dm,P. macroloba,-83.9980482,10.2771554
28.96,F33P2,n,P. macroloba,-83.9980482,10.2771554
1.14625,F33P2,p,P. macroloba,-83.9980482,10.2771554
15.93428571,F33P3,afe,P. macroloba,-84.0054834,10.2817664
391.8528571,F33P3,cfms,P. macroloba,-84.0054834,10.2817664
0.54,F33P3,dm,P. macroloba,-84.0054834,10.2817664
24.23714286,F33P3,n,P. macroloba,-84.0054834,10.2817664
1.198571429,F33P3,p,P. macroloba,-84.0054834,10.2817664
16.35692308,F33P4,afe,Foothills,-84.0134494,10.2801424
420.8076923,F33P4,cfms,Foothills,-84.0134494,10.2801424
0.516153846,F33P4,dm,Foothills,-84.0134494,10.2801424
