plot,cwm_afe,cwm_cfms,cwm_dm,cwm_n,cwm_p
F47P1,11.61087756,426.1591176,0.443508784,22.10070172,0.978771931
F47P2,10.37530626,440.1381603,0.503877542,20.4818368,0.984489793
F47P3,10.49823547,431.7639208,0.427843166,21.20039249,0.968039234
F48P1,10.63459459,425.4359459,0.523513514,22.15351351,0.921351351
F48P2,11.91895853,436.2585389,0.507291661,23.05749971,1.023333323
F49P1,11.06428601,427.4284119,0.386190493,23.05380992,1.034603172
F49P2,11.45283364,423.8399972,0.409000004,20.71816628,0.98533333
F49P3,11.42769266,428.2026872,0.42653847,22.62653857,1.019038474
F4P1,10.60659572,432.6882974,0.336808519,22.34851041,0.948510637
F4P2,11.55788464,420.7325029,0.384423093,22.2269226,1.039999971
F50P1,11.12918389,425.228567,0.457551006,21.6497961,0.983469385
F50P2,11.07938775,431.0195921,0.48632653,21.7971424,0.981836709
F50P3,10.19682941,443.5629237,0.551951214,20.49097569,0.849999981
F50P4,12.20454536,424.9193932,0.409696961,24.51151446,1.057878776
F51P1,11.43055577,429.3949964,0.496851843,21.42462978,0.987777776
F51P2,10.22021739,421.335433,0.51130435,20.00173905,0.947826069
F51P3,10.25135609,423.6364429,0.421525472,20.00610185,0.934067784
F52P1,15.64208333,369.70625,0.482083333,26.79291667,1.292083333
F52P2,17.11689655,390.6906897,0.530344828,23.19758621,1.186896552
F52P3,12.42279108,428.4579023,0.543488366,21.7723258,1.000465115
F52P4,13.13291667,394.0870833,0.409583333,24.52166667,1.198333333
F52P5,10.94475024,436.0189959,0.590249999,21.4252502,0.957499994
F52P6,13.56103448,408.28,0.566896552,22.18965517,0.897931034
F52P7,11.58117684,430.9670533,0.550294111,21.06558842,0.974117642
F53P1,12.48433333,394.4473333,0.432333333,22.06966667,1.143
F53P2,11.28909142,425.7768085,0.464090879,20.96136389,1.067727285
F54P1,14.89826087,376.4991304,0.445217391,22.7326087,1.190434783
F54P2,13.5312,401.2328,0.428,20.0696,1.1328
F54P3,13.6429176,421.4545736,0.492083312,22.90541729,1.169166699
F54P4,12.24303078,422.598781,0.535151506,22.94606107,1.076363646
F54P5,15.32,409.57,0.514375,24.819375,1.018125
F54P6,13.99382353,387.9264706,0.439705882,22.67558824,1.112941176
F5P1,13.49235303,388.9255824,0.372352927,25.19352884,1.16676471
F5P2,13.58179522,398.2879458,0.451025645,23.241538,1.074615378
F5P3,17.1441298,395.654998,0.413260869,27.0613035,0.956304351
F6P1,12.33516121,410.4483841,0.382580632,25.51967684,1.139354839
F6P2,13.470625,403.58,0.4309375,25.82375,1.1075
F6P3,12.95000001,416.4059978,0.430333327,25.25866603,1.072999989
F7P1,14.27024441,377.8478046,0.324390267,25.5982933,1.172682918
F7P2,12.85090941,396.51068,0.327500006,23.78409069,1.142954534
F8P1,11.53468101,416.4055281,0.357021289,22.80638284,1.047446827
F8P2,11.84815777,428.0939471,0.421842099,25.05842052,1.02447367
F9P1,12.82999999,423.4649989,0.502142863,27.38714254,1.097499993
F9P2,14.04258083,405.8067704,0.46064516,27.25870937,1.14935484
F9P3,12.85818182,419.0869681,0.440303026,26.32757533,1.133333332
