plot,N,D,Q,U,redundancy_sp
F52P5,18,0.930056711,0.242482672,0.260718157,0.739281843
F52P6,18,0.927083333,0.235451389,0.253970037,0.746029963
F52P7,12,0.865051903,0.309134948,0.35736,0.64264
F53P1,12,0.888888889,0.423024691,0.475902778,0.524097222
F53P2,8,0.864197531,0.422057613,0.488380952,0.511619048
F54P1,14,0.913580247,0.291358025,0.318918919,0.681081081
F54P2,15,0.91,0.347,0.381318681,0.618681319
F54P3,11,0.887573964,0.455857988,0.5136,0.4864
F54P4,10,0.871111111,0.3456,0.396734694,0.603265306
F54P5,14,0.928571429,0.38755102,0.417362637,0.582637363
F54P6,22,0.946745562,0.344329389,0.363697917,0.636302083
F5P1,10,0.742382381,0.32003698,0.431094525,0.568905475
F5P2,8,0.731302043,0.278559575,0.380909062,0.619090938
F5P3,10,0.708571472,0.249240823,0.35175114,0.64824886
F6P1,7,0.499054902,0.27175807,0.544545438,0.455454562
F6P2,14,0.834710744,0.374793388,0.449009901,0.550990099
F6P3,9,0.608695743,0.34056715,0.559503092,0.440496908
F7P1,10,0.826388889,0.421805556,0.510420168,0.489579832
F7P2,11,0.780045447,0.364444481,0.467209292,0.532790708
F8P1,11,0.647929077,0.289112466,0.446210051,0.553789949
F8P2,7,0.426020469,0.172525534,0.404970059,0.595029941
F9P1,8,0.581618731,0.228367651,0.392641501,0.607358499
F9P2,11,0.673008398,0.373698009,0.555265001,0.444734999
F9P3,7,0.485596775,0.190946527,0.393220336,0.606779664
