plot,N,D,Q,U,redundancy
F4P1,11,0.730647385,0.323648699,0.442961551,0.557038449
F4P2,14,0.866863931,0.327869804,0.378225223,0.621774777
F50P1,16,0.849646011,0.305989189,0.360137263,0.639862737
F50P2,15,0.849646016,0.292378168,0.344117623,0.655882377
F50P3,18,0.868530669,0.240690078,0.277123292,0.722876708
F50P4,9,0.734618971,0.355922868,0.484499967,0.515500033
F51P1,22,0.885459556,0.215370383,0.243230063,0.756769937
F51P2,15,0.830812897,0.196899838,0.236996607,0.763003393
F51P3,20,0.899741479,0.210158022,0.233576007,0.766423993
F52P1,16,0.927083333,0.3925,0.423370787,0.576629213
F52P2,22,0.946492271,0.368545382,0.389380235,0.610619765
F52P3,18,0.85992432,0.320043282,0.372176103,0.627823897
F52P4,16,0.920138889,0.328333333,0.356830189,0.643169811
F52P5,21,0.895000029,0.250383345,0.279757919,0.720242081
F52P6,21,0.939357907,0.250558859,0.266734177,0.733265823
F52P7,15,0.813148844,0.277871994,0.341723408,0.658276592
F53P1,15,0.897777778,0.390688889,0.435173267,0.564826733
F53P2,11,0.789256285,0.306997292,0.388970348,0.611029652
F54P1,16,0.922495274,0.30926276,0.335245902,0.664754098
F54P2,17,0.9152,0.36608,0.4,0.6
F54P3,13,0.819444522,0.425173654,0.518855935,0.481144065
F54P4,11,0.675849468,0.241983496,0.358043481,0.641956519
F54P5,15,0.9296875,0.386875,0.416134454,0.583865546
F54P6,23,0.91349481,0.336441753,0.368301768,0.631698232
F5P1,12,0.821799332,0.37321221,0.454140318,0.545859682
F5P2,11,0.795529302,0.317527923,0.39914045,0.60085955
F5P3,12,0.796786423,0.331332708,0.415836288,0.584163712
F6P1,9,0.688865828,0.35204996,0.511057372,0.488942628
F6P2,18,0.880859375,0.384765625,0.436807095,0.563192905
F6P3,12,0.746666735,0.39493335,0.528928546,0.471071454
F7P1,13,0.844735309,0.424866171,0.502957751,0.497042249
F7P2,14,0.813016566,0.329173539,0.404879252,0.595120748
F8P1,13,0.765052099,0.38812133,0.507313594,0.492686406
F8P2,9,0.641274287,0.330512485,0.515399559,0.484600441
F9P1,9,0.609693952,0.250102065,0.410209195,0.589790805
F9P2,12,0.709677489,0.39363166,0.554662739,0.445337261
F9P3,8,0.622589589,0.303250712,0.487079639,0.512920361
