"","plot","feve","fdiv","fdis"
"1","F10P1",0.533381708235961,0.595112159861834,0.283020343652673
"2","F10P2",0.459658372911562,0.440414293208078,0.256709981584707
"3","F10P3",0.515653450210743,0.388469655916415,0.268178003744057
"4","F10P4",0.523700503925203,0.393447839229043,0.203688250223036
"5","F11P1",0.514963062508623,0.437453981216648,0.187337432444449
"6","F11P2",0.436838241463529,0.450351703571647,0.231743748690298
"7","F11P3",0.578857973997752,0.471352988523108,0.238769317008175
"8","F12P1",0.503384936869083,0.418061936685721,0.16303420931369
"9","F12P2",0.413904374590455,0.52777276661202,0.294138168048605
"10","F12P3",0.44627043035939,0.391875949247644,0.315206686898566
"11","F12P4",0.415087768743552,0.338733644529164,0.312917256756491
"12","F13P1",0.638351237046757,0.356049881905612,0.189085623483766
"13","F13P2",0.513713875766984,0.550140254204769,0.210068409031153
"14","F13P3",0.552160220315686,0.495648944701536,0.179579607328432
"15","F13P4",0.371337654267396,0.393721596407268,0.21009189664714
"16","F1P1",0.774600680206205,0.952784975448511,0.207470885806274
"17","F1P2",0.708538390840624,0.643172250788784,0.210901582750187
"18","F1P3",0.809982623115306,0.517358415008943,0.334704468372057
"19","F1P4",0.583211736241331,0.462572700594706,0.271147727724063
"20","F2P1",0.760012316400289,0.540232429785114,0.312051491271566
"21","F2P2",0.737825932363402,0.557337477993965,0.329391597548734
"22","F2P3",0.499736195459302,0.427743102899976,0.323342007433358
"23","F30P1",0.494667026669025,0.460614083870866,0.249810373846619
"24","F30P2",0.492593433300497,0.484816929062814,0.289951066490897
"25","F30P3",0.452949842051527,0.397375714683059,0.286310357536754
"26","F30P4",0.606331473348036,0.406029552197901,0.305415876666363
"27","F31P1",0.608665752608514,0.821280585688454,0.215525505111592
"28","F31P2",0.53159542389333,0.499102145759578,0.257564575466497
"29","F32P1",0.454545454545455,0.691845961927999,0.279941116301563
"30","F32P2",0.545454545454545,0.736484619423053,0.251335601190743
"31","F32P3",0.521081101908883,0.638012458818481,0.271811738571274
"32","F33P1",0.466666666666667,0.732643978909307,0.191402374893008
"33","F33P2",0.638397299982334,0.56360893973455,0.302808221728985
"34","F33P3",0.779425009163037,0.50441799225479,0.330044301855765
"35","F33P4",0.712995328645864,0.581175197800432,0.240674404325888
"36","F34P1",0.67114678861482,0.56373238447782,0.263148150400714
"37","F34P2",0.733632913217116,0.548391086606501,0.320089726901954
"38","F34P3",0.700330314281418,0.610786257369775,0.258412391384567
"39","F34P4",0.841756686557274,0.48454051766582,0.303877555768286
"40","F35P1",0.49202372418526,0.596381310833201,0.160695533369282
"41","F35P2",0.615987387609611,0.483177064450347,0.214814587790621
"42","F36P1",0.606216574842611,0.52391574229562,0.250080574557537
"43","F36P2",0.542285337486844,0.314053016969207,0.217289766396945
"44","F37P1",0.534707360684513,0.542883438268796,0.276339664074978
"45","F37P2",0.571302222239933,0.426873638223334,0.295759318249742
"46","F37P3",0.584004219658843,0.401736875546855,0.24985228430668
"47","F37P4",0.617404963599448,0.467892842949329,0.279389441801426
"48","F38P1",0.4375,0.485448455533803,0.290725037766092
"49","F38P2",0.639856656588979,0.618395348166186,0.218529957860409
"50","F38P3",0.441756943218584,0.578478902197126,0.197995800526847
"51","F38P4",0.507808000917316,0.657578789783315,0.304860137502823
"52","F39P1",0.51414884559879,0.514575924205359,0.278836216755925
"53","F39P2",0.473654010589037,0.492370011179058,0.296047436599833
"54","F3P1",0.607903292204584,0.49956383415955,0.271246318279384
"55","F3P2",0.655519528068951,0.450837240482632,0.318879826335895
"56","F3P3",0.525548736488346,0.78707372036983,0.187178325822941
"57","F3P4",0.430002121024621,0.51155244681535,0.266992605408046
"58","F40P1",0.659556478218909,0.504975392893846,0.331284405527544
"59","F40P2",0.480588935164326,0.427188755430639,0.280866421475262
"60","F40P3",0.534451116981076,0.493620476806196,0.285047459597496
"61","F40P4",0.72083199445661,0.576061224774267,0.327872557735751
"62","F41P1",0.6,0.622242394716194,0.237542151427051
"63","F41P2",0.802443006496638,0.515693708472908,0.310620441749841
"64","F41P3",0.732156687915931,0.645020437066589,0.256074974239041
"65","F41P4",0.534939764482632,0.563939600783043,0.22000243871255
"66","F41P5",0.733348199333376,0.530968227124501,0.334730885712328
"67","F41P6",0.631666477599168,0.559638004764257,0.311418007488877
"68","F42P1",0.435747869956541,0.430246624766073,0.301183755164469
"69","F42P2",0.459132350673887,0.422160133424392,0.275881449628265
"70","F42P3",0.664327775650545,0.454069740105717,0.284755615581969
"71","F42P4",0.4311503585714,0.565591341667877,0.224061188618864
"72","F43P1",0.594906852789119,0.573385557694869,0.252501148006461
"73","F43P2",0.441067783514954,0.610402412212662,0.165620616889087
"74","F43P3",0.539742166091929,0.457953241761737,0.292661227631441
"75","F44P1",0.428299274522336,0.333399744342495,0.165394249994092
"76","F44P2",0.608738758648685,0.33426578013478,0.229371768866661
"77","F44P3",0.436631081512338,0.351536503399849,0.309328628364604
"78","F44P4",0.425283087216775,0.444023854762541,0.258459433387848
"79","F45P1",0.46051279863237,0.319688272831567,0.250564571691672
"80","F45P2",0.533046217231466,0.442003724676339,0.274814197724764
"81","F46P1",0.534471220448208,0.41811263952646,0.230215350747793
"82","F46P2",0.399522853611181,0.285682192117691,0.145690248021832
"83","F47P1",0.42444448365483,0.397503658031622,0.316934107966587
"84","F47P2",0.619660393748864,0.394841884884774,0.208969709924218
"85","F47P3",0.620575407150357,0.421459023840506,0.245898446819174
"86","F48P1",0.464762326909603,0.450104473909203,0.289298777235456
"87","F48P2",0.401654923868795,0.435402701339992,0.313078285213991
"88","F49P1",0.42402121682189,0.496927620737071,0.317351072538034
"89","F49P2",0.545459913241815,0.391494714953515,0.257420079685079
"90","F49P3",0.454089629199511,0.461378069784622,0.303173351410785
"91","F4P1",0.47757708506097,0.400259400045123,0.290509510497205
"92","F4P2",0.604450919718677,0.417098877024823,0.274282756349356
"93","F50P1",0.511451778195133,0.448951516517104,0.259188279191493
"94","F50P2",0.3875527315283,0.371223203156939,0.251794996679855
"95","F50P3",0.462331182887925,0.44308851116595,0.179232543040556
"96","F50P4",0.604381621647032,0.542586603118865,0.318969197973159
"97","F51P1",0.417362758709024,0.370685728440866,0.176395587999343
"98","F51P2",0.345297317041132,0.369615801018877,0.172255481636447
"99","F51P3",0.333333333333333,0.427117225774091,0.170827368125267
"100","F52P1",0.755577949234301,0.648187093666987,0.293414223425009
"101","F52P2",0.693139425907907,0.64706733495347,0.260119991132275
"102","F52P3",0.540240713041993,0.405149665588533,0.250424062798276
"103","F52P4",0.642857142857143,0.563787213326416,0.247239758284196
"104","F52P5",0.433696206447886,0.492314510660246,0.186646100808053
"105","F52P6",0.526315789473684,0.684626379282331,0.18815079432389
"106","F52P7",0.409175874343674,0.400106405812079,0.223185400473925
"107","F53P1",0.752900636778731,0.558147014589063,0.304790404424584
"108","F53P2",0.697879704250395,0.525941360383698,0.256337189348011
"109","F54P1",0.693043062237189,0.648031240010687,0.237293565889591
"110","F54P2",0.637116696598411,0.62899544936427,0.28431992269445
"111","F54P3",0.568734373357214,0.508861098875085,0.345549829193767
"112","F54P4",0.818764286610231,0.42870482711464,0.197161585807879
"113","F54P5",0.672497790284851,0.686929224611006,0.286347109357306
"114","F54P6",0.625388425862124,0.479963118060572,0.257206366628257
"115","F5P1",0.521403495424045,0.409186626205748,0.320247023635306
"116","F5P2",0.704091465035431,0.485696991866133,0.271087780718729
"117","F5P3",0.63027974696118,0.653042358124135,0.266463396816928
"118","F6P1",0.43661079730082,0.611035185095009,0.327857809462764
"119","F6P2",0.480434298970831,0.425021893057215,0.314356017742646
"120","F6P3",0.681253313219571,0.676986561190605,0.343978699646117
"121","F7P1",0.509285797861899,0.505807192116185,0.353248400233987
"122","F7P2",0.553684364229513,0.344487096605453,0.278557816893193
"123","F8P1",0.591912982904555,0.434963192680495,0.338274287092237
"124","F8P2",0.71751918939922,0.464705670632206,0.294894798464074
"125","F9P1",0.599014923931541,0.483622290892863,0.221365603753637
"126","F9P2",0.652435588564062,0.51564569108287,0.334251048564596
"127","F9P3",0.467174958028257,0.408448959542866,0.275336441881499
