plot,N,D,Q,U,redundancy
F4P1,11,0.730647385,0.05550949,0.075973022,0.924026978
F4P2,14,0.866863931,0.119740044,0.138130149,0.861869851
F50P1,16,0.849646011,0.112306224,0.132180017,0.867819983
F50P2,15,0.849646016,0.092994535,0.109450917,0.890549083
F50P3,18,0.868530669,0.086290711,0.099352521,0.900647479
F50P4,9,0.734618971,0.06438203,0.087640032,0.912359968
F51P1,22,0.885459556,0.132983523,0.15018588,0.84981412
F51P2,15,0.830812897,0.120421914,0.144944685,0.855055315
F51P3,20,0.899741479,0.125219453,0.139172702,0.860827298
F52P1,16,0.927083333,0.183588711,0.198028272,0.801971728
F52P2,22,0.946492271,0.118085491,0.124761179,0.875238821
F52P3,18,0.85992432,0.135179837,0.157199691,0.842800309
F52P4,16,0.920138889,0.145717143,0.158364291,0.841635709
F52P5,21,0.895000029,0.115489397,0.129038428,0.870961572
F52P6,21,0.939357907,0.159366928,0.169655173,0.830344827
F52P7,15,0.813148844,0.139649604,0.171739289,0.828260711
F53P1,15,0.897777778,0.161731638,0.180146627,0.819853373
F53P2,11,0.789256285,0.12218289,0.154807623,0.845192377
F54P1,16,0.922495274,0.158066889,0.171347099,0.828652901
F54P2,17,0.9152,0.137176209,0.149886592,0.850113408
F54P3,13,0.819444522,0.159818991,0.195033327,0.804966673
F54P4,11,0.675849468,0.151110929,0.223586665,0.776413335
F54P5,15,0.9296875,0.138751853,0.149245691,0.850754309
F54P6,23,0.91349481,0.14220781,0.155674459,0.844325541
F5P1,12,0.821799332,0.100684373,0.12251698,0.87748302
F5P2,11,0.795529302,0.121245533,0.152408633,0.847591367
F5P3,12,0.796786423,0.096986041,0.121721503,0.878278497
F6P1,9,0.688865828,0.076784447,0.111465025,0.888534975
F6P2,18,0.880859375,0.114374473,0.129844192,0.870155808
F6P3,12,0.746666735,0.086998706,0.116516114,0.883483886
F7P1,13,0.844735309,0.139676869,0.165349865,0.834650135
F7P2,14,0.813016566,0.1123031,0.138131379,0.861868621
F8P1,13,0.765052099,0.088230667,0.115326351,0.884673649
F8P2,9,0.641274287,0.053877684,0.084016599,0.915983401
F9P1,9,0.609693952,0.127366652,0.208902601,0.791097399
F9P2,12,0.709677489,0.121902689,0.171771955,0.828228045
F9P3,8,0.622589589,0.091094595,0.146315642,0.853684358
