plot,forest_type,longitude,latitude,fdiv,feve,fdis
F41P5,Foothills,-84.0083697,10.2695576,0.638440058,0.721991454,2.616205671
F41P6,P.macroloba,-83.9952261,10.267953,0.604355005,0.735880836,1.661413674
F42P1,P.macroloba,-84.0107738,10.3472099,0.769337621,0.557728077,3.795979235
F42P2,P.macroloba,-84.0092627,10.3497784,0.821026812,0.782058291,3.924111373
F42P3,P.macroloba,-84.0050403,10.3498023,0.656230238,0.749449856,2.706096888
F42P4,Q.paraensis,-84.0077658,10.344184,0.81637445,0.788062046,3.805112808
F43P1,P.macroloba,-84.0015353,10.323204,0.685935972,0.711238638,2.890692561
F43P2,Q.paraensis,-84.008256,10.3241874,0.809837676,0.802582009,3.590079868
F43P3,P.macroloba,-83.9987572,10.324131,0.760411327,0.7054926,3.740285039
F44P1,Q.paraensis,-84.1155173,10.6638577,0.915918217,0.807853666,4.182226711
F44P2,Q.paraensis,-84.1127646,10.6662797,0.861869774,0.714173102,3.662046563
F44P3,P.macroloba,-84.1107653,10.6536999,0.79724878,0.699028389,4.151205074
F44P4,P.macroloba,-84.1111978,10.6581828,0.860049682,0.683989562,4.227540786
F45P1,Q.paraensis,-84.0843067,10.7026788,0.829481351,0.721301491,4.140468024
F45P2,P.macroloba,-84.0823594,10.700078,0.811826762,0.764816263,4.673515033
F46P1,Q.paraensis,-84.0719112,10.7516056,0.820750247,0.765653339,3.910977683
F46P2,Q.paraensis,-84.0690556,10.7494203,0.903429284,0.71052556,3.3071363
F47P1,P.macroloba,-84.0511006,10.7091117,0.786761515,0.741358445,4.2664719
F47P2,Q.paraensis,-84.0470962,10.7077556,0.884301586,0.782821808,3.587032367
F47P3,Q.paraensis,-84.0467599,10.7113552,0.854085581,0.804134827,4.565613104
F48P1,Q.paraensis,-84.0353032,10.6904144,0.750298263,0.732913435,3.350093187
F48P2,P.macroloba,-84.0381514,10.6904685,0.731781418,0.665551695,3.832988306
F49P1,P.macroloba,-84.1005513,10.6399875,0.851250195,0.659981222,4.355716695
F49P2,P.macroloba,-84.1039852,10.6388814,0.835075693,0.639974592,4.15596215
F49P3,P.macroloba,-84.1027717,10.6359353,0.818827242,0.69322451,4.117497152
F4P1,P.macroloba,-84.039014,10.5296889,0.857731695,0.583493001,4.987689585
F4P2,P.macroloba,-84.0355138,10.531299,0.831752401,0.614141438,4.536816655
F50P1,Q.paraensis,-84.0064314,10.6851905,0.839809287,0.744854145,4.144601104
F50P2,P.macroloba,-84.0049931,10.6782238,0.831354466,0.752087581,3.72530144
F50P3,Q.paraensis,-84.001291,10.680545,0.855590821,0.742036843,4.271333854
F50P4,P.macroloba,-83.9983157,10.6781559,0.767306652,0.614234501,4.554320826
F51P1,Q.paraensis,-84.1176438,10.721962,0.8728206,0.718933905,4.174031272
F51P2,Q.paraensis,-84.1187313,10.7257107,0.868561301,0.827194077,3.400087772
F51P3,Q.paraensis,-84.1158291,10.728447,0.886401205,0.805587333,4.566501558
F52P1,Foothills,-84.0632124,10.3217756,0.687563395,0.710097031,2.918919101
F52P2,Foothills,-84.060733,10.3265391,0.725139271,0.742849258,2.231630495
F52P3,Q.paraensis,-84.0592819,10.353147,0.78147935,0.753562628,3.685668927
F52P4,Foothills,-84.0607413,10.3511647,0.797786663,0.785095226,4.332287506
F52P5,Q.paraensis,-84.0620738,10.3461831,0.802794208,0.759706135,3.468624776
