plot,forest_type,longitude,latitude,cwm_afe,cwm_cfms,cwm_dm,cwm_n,cwm_p
F40P4,P. macroloba,-84.0038574,10.3543243,14.38230769,400,0.466153846,27.16153846,1.089230769
F41P1,Foothills,-84.0093151,10.2659814,16.59380952,385.7290476,0.486666667,24.52333333,1.134285714
F41P2,Foothills,-84.0134041,10.267491,12.42928571,428.1092857,0.48,22.08571429,0.932857143
F41P3,Foothills,-84.0143658,10.2640865,15.36708333,385.0920833,0.52,24.71375,1.102916667
F41P4,Foothills,-84.0109991,10.2634054,15.27875,392.560625,0.49875,20.771875,1.00875
F41P5,Foothills,-84.0083697,10.2695576,16.54521739,367.6795652,0.432608696,27.59565217,1.235652174
F41P6,P. macroloba,-83.9952261,10.267953,14.07466667,425.262,0.517666667,27.174,1.135666667
F42P1,P. macroloba,-84.0107738,10.3472099,13.50807692,423.1184615,0.548846154,25.74769231,0.964615385
F42P2,P. macroloba,-84.0092627,10.3497784,14.706875,419.20375,0.58,26.554375,1.039375
F42P3,P. macroloba,-84.0050403,10.3498023,13.97238095,396.582381,0.517142857,24.7347619,0.96952381
F42P4,Q. paraensis,-84.0077658,10.344184,11.88677419,418.2203226,0.613870968,22.53516129,0.907741935
F43P1,P. macroloba,-84.0015353,10.323204,12.83625,435.5090625,0.5740625,24.8834375,1.04125
F43P2,Q. paraensis,-84.008256,10.3241874,13.60086957,410.9330435,0.629565217,21.88521739,0.878695652
F43P3,P. macroloba,-83.9987572,10.324131,14.69642857,422.1885714,0.561428571,25.19928571,0.985
F44P1,Q. paraensis,-84.1155173,10.6638577,11.90214286,421.205,0.617857143,20.55928571,0.912142857
F44P2,Q. paraensis,-84.1127646,10.6662797,14.63166667,406.5411111,0.544444444,27.17166667,1.158888889
F44P3,P. macroloba,-84.1107653,10.6536999,12.791,437.237,0.588666667,26.66366667,1.087333333
F44P4,P. macroloba,-84.1111978,10.6581828,13.2152381,443.2990476,0.576666667,23.67761905,0.954285714
F45P1,Q. paraensis,-84.0843067,10.7026788,12.98827586,410.5072414,0.575172414,23.71517241,0.961724138
F45P2,P. macroloba,-84.0823594,10.700078,13.83888889,419.8522222,0.57962963,25.56703704,1.081111111
F46P1,Q. paraensis,-84.0719112,10.7516056,11.31714286,407.7609524,0.666666667,20.42904762,0.816190476
F46P2,Q. paraensis,-84.0690556,10.7494203,14.1225,391.2233333,0.610833333,25.3975,1.200833333
F47P1,P. macroloba,-84.0511006,10.7091117,13.32,418.4709375,0.516875,24.2703125,0.9990625
F47P2,Q. paraensis,-84.0470962,10.7077556,12.51,422.7511765,0.582352941,22.09529412,0.955882353
F47P3,Q. paraensis,-84.0467599,10.7113552,11.94913043,431.7373913,0.606086957,23.79043478,1.002173913
F48P1,Q. paraensis,-84.0353032,10.6904144,11.08083333,418.3804167,0.535,23.21,0.855
F48P2,P. macroloba,-84.0381514,10.6904685,13.73344828,426.2210345,0.535517241,25.33758621,1.03862069
F49P1,P. macroloba,-84.1005513,10.6399875,12.87310345,432.6893103,0.497586207,27.19724138,1.054827586
F49P2,P. macroloba,-84.1039852,10.6388814,14.22875,410.4333333,0.485,22.60458333,1.0275
F49P3,P. macroloba,-84.1027717,10.6359353,13.94,422.1154545,0.523636364,26.95363636,1.100454545
F4P1,P. macroloba,-84.039014,10.5296889,12.62714286,431.2547619,0.531904762,27.33714286,1.073333333
F4P2,P. macroloba,-84.0355138,10.531299,13.82565217,432.9604348,0.556521739,25.4373913,1.033478261
F50P1,Q. paraensis,-84.0064314,10.6851905,13.52863636,399.3727273,0.517727273,24.41545455,0.99
F50P2,P. macroloba,-84.0049931,10.6782238,12.56,435.2361905,0.575714286,24.18333333,0.940952381
F50P3,Q. paraensis,-84.001291,10.680545,11.38,431.64,0.685,21.86136364,0.799090909
F50P4,P. macroloba,-83.9983157,10.6781559,13.9652381,424.8733333,0.527619048,27.69904762,1.108095238
F51P1,Q. paraensis,-84.1176438,10.721962,14.36571429,425.1109524,0.696190476,24.25333333,0.97047619
